team,games,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,year,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
CAR,16.0,364.0,562.0,64.8,3645.0,7.0,227.8,81.0,25.0,14.0,40.0,268.0,89.5,2014,397.0,1792.0,4.5,112.0,89.0,14.0,6.0,2.0,364.0,3913.0,10.8,244.6,81.0,25.0,8.0,4.0,309.0,91.0,193.0,25.0,89.0,210.0,42.4,5.0,11.0,45.5,97.0,760.0
IND,16.0,320.0,543.0,58.9,3669.0,7.2,229.3,63.0,27.0,12.0,41.0,263.0,88.7,2014,423.0,1814.0,4.3,113.4,52.0,14.0,9.0,5.0,320.0,3932.0,12.3,245.8,63.0,27.0,7.0,5.0,309.0,103.0,175.0,31.0,67.0,201.0,33.3,4.0,17.0,23.5,101.0,866.0
DET,16.0,383.0,592.0,64.7,3706.0,6.8,231.6,50.0,23.0,20.0,42.0,295.0,83.0,2014,350.0,1109.0,3.2,69.3,35.0,8.0,6.0,5.0,383.0,4001.0,10.4,250.1,50.0,23.0,4.0,0.0,310.0,59.0,209.0,42.0,77.0,207.0,37.2,6.0,15.0,40.0,99.0,849.0
NYJ,16.0,345.0,538.0,64.1,3746.0,7.5,234.1,87.0,31.0,6.0,45.0,310.0,101.5,2014,393.0,1489.0,3.8,93.1,97.0,10.0,5.0,1.0,345.0,4056.0,11.8,253.5,87.0,31.0,3.0,1.0,300.0,74.0,194.0,32.0,99.0,219.0,45.2,0.0,4.0,0.0,91.0,780.0
TEN,16.0,347.0,545.0,63.7,3773.0,7.3,235.8,80.0,28.0,12.0,39.0,222.0,93.6,2014,515.0,2195.0,4.3,137.2,62.0,17.0,2.0,1.0,347.0,3995.0,11.5,249.7,80.0,28.0,2.0,2.0,357.0,119.0,211.0,27.0,94.0,227.0,41.4,5.0,11.0,45.5,93.0,731.0
LV,16.0,343.0,538.0,63.8,3810.0,7.4,238.1,70.0,29.0,9.0,22.0,157.0,96.9,2014,481.0,1911.0,4.0,119.4,89.0,17.0,7.0,3.0,343.0,3967.0,11.6,247.9,70.0,29.0,2.0,1.0,320.0,95.0,190.0,35.0,85.0,221.0,38.5,4.0,9.0,44.4,116.0,941.0
NE,16.0,342.0,574.0,59.6,3837.0,7.2,239.8,50.0,24.0,16.0,40.0,282.0,84.0,2014,419.0,1669.0,4.0,104.3,48.0,6.0,6.0,2.0,342.0,4119.0,12.0,257.4,50.0,24.0,5.0,3.0,329.0,88.0,196.0,45.0,84.0,209.0,40.2,8.0,23.0,34.8,92.0,752.0
NYG,16.0,324.0,522.0,62.1,3850.0,8.0,240.6,74.0,25.0,17.0,47.0,313.0,89.4,2014,438.0,2162.0,4.9,135.1,46.0,15.0,10.0,3.0,324.0,4163.0,12.8,260.2,74.0,25.0,1.0,1.0,326.0,112.0,187.0,27.0,72.0,200.0,36.0,4.0,10.0,40.0,105.0,948.0
LAR,16.0,368.0,540.0,68.1,3861.0,7.6,241.3,80.0,18.0,13.0,40.0,265.0,91.8,2014,425.0,1765.0,4.2,110.3,67.0,12.0,13.0,4.0,368.0,4126.0,11.2,257.9,80.0,18.0,5.0,5.0,301.0,83.0,189.0,29.0,82.0,213.0,38.5,0.0,10.0,0.0,105.0,882.0
CIN,16.0,365.0,608.0,60.0,3888.0,6.6,243.0,94.0,18.0,20.0,20.0,125.0,75.8,2014,439.0,1861.0,4.2,116.3,53.0,16.0,7.0,4.0,365.0,4013.0,11.0,250.8,94.0,18.0,0.0,0.0,337.0,105.0,197.0,35.0,79.0,215.0,36.7,10.0,19.0,52.6,105.0,876.0
HOU,16.0,363.0,619.0,58.6,3890.0,6.7,243.1,80.0,28.0,20.0,38.0,251.0,80.4,2014,420.0,1681.0,4.0,105.1,41.0,6.0,8.0,4.0,363.0,4141.0,11.4,258.8,80.0,28.0,7.0,5.0,329.0,89.0,206.0,34.0,74.0,218.0,34.0,6.0,17.0,35.3,99.0,786.0
JAC,16.0,355.0,541.0,65.6,3899.0,7.7,243.7,73.0,24.0,6.0,45.0,275.0,99.1,2014,499.0,2033.0,4.1,127.1,60.0,15.0,4.0,1.0,355.0,4174.0,11.8,260.9,73.0,24.0,5.0,3.0,330.0,107.0,200.0,23.0,101.0,236.0,42.8,4.0,10.0,40.0,115.0,886.0
BAL,16.0,382.0,595.0,64.2,3979.0,7.3,248.7,77.0,22.0,11.0,49.0,362.0,90.6,2014,390.0,1412.0,3.6,88.3,67.0,8.0,8.0,5.0,382.0,4341.0,11.4,271.3,77.0,22.0,6.0,3.0,311.0,75.0,205.0,31.0,89.0,221.0,40.3,5.0,14.0,35.7,110.0,1007.0
WAS,16.0,345.0,519.0,66.5,3990.0,8.2,249.4,79.0,35.0,7.0,36.0,241.0,108.3,2014,421.0,1722.0,4.1,107.6,65.0,11.0,12.0,5.0,345.0,4231.0,12.3,264.4,79.0,35.0,3.0,2.0,307.0,77.0,195.0,35.0,89.0,207.0,43.0,5.0,9.0,55.6,144.0,1164.0
NO,16.0,341.0,546.0,62.5,4019.0,7.7,251.2,73.0,26.0,12.0,34.0,188.0,92.9,2014,442.0,2125.0,4.8,132.8,69.0,17.0,5.0,0.0,341.0,4207.0,12.3,262.9,73.0,26.0,5.0,2.0,345.0,111.0,205.0,29.0,99.0,215.0,46.1,4.0,8.0,50.0,105.0,889.0
DAL,16.0,371.0,558.0,66.5,4031.0,7.5,251.9,72.0,22.0,18.0,28.0,156.0,88.5,2014,392.0,1650.0,4.2,103.1,62.0,18.0,2.0,2.0,371.0,4187.0,11.3,261.7,72.0,22.0,9.0,7.0,315.0,86.0,195.0,34.0,89.0,204.0,43.6,10.0,20.0,50.0,104.0,861.0
PIT,16.0,350.0,543.0,64.5,4049.0,7.8,253.1,81.0,30.0,11.0,33.0,194.0,98.3,2014,368.0,1605.0,4.4,100.3,41.0,9.0,9.0,4.0,350.0,4243.0,12.1,265.2,81.0,30.0,4.0,3.0,314.0,88.0,193.0,33.0,71.0,189.0,37.6,10.0,14.0,71.4,97.0,835.0
TB,16.0,387.0,563.0,68.7,4084.0,7.6,255.3,56.0,28.0,14.0,36.0,210.0,97.4,2014,468.0,1819.0,3.9,113.7,57.0,15.0,8.0,4.0,387.0,4294.0,11.1,268.4,56.0,28.0,5.0,2.0,353.0,103.0,223.0,27.0,93.0,213.0,43.7,5.0,9.0,55.6,106.0,935.0
ARI,16.0,365.0,579.0,63.0,4152.0,7.6,259.5,86.0,22.0,18.0,35.0,244.0,86.0,2014,396.0,1739.0,4.4,108.7,79.0,9.0,4.0,1.0,365.0,4396.0,12.0,274.8,86.0,22.0,4.0,4.0,300.0,77.0,195.0,28.0,81.0,215.0,37.7,5.0,13.0,38.5,130.0,1192.0
CHI,16.0,366.0,548.0,66.8,4230.0,8.1,264.4,73.0,34.0,14.0,39.0,228.0,101.7,2014,421.0,1803.0,4.3,112.7,48.0,12.0,5.0,1.0,366.0,4458.0,12.2,278.6,73.0,34.0,8.0,4.0,325.0,78.0,227.0,20.0,85.0,201.0,42.3,12.0,19.0,63.2,106.0,978.0
PHI,16.0,345.0,591.0,58.4,4238.0,7.8,264.9,81.0,30.0,12.0,49.0,357.0,91.6,2014,473.0,1771.0,3.7,110.7,37.0,14.0,10.0,6.0,345.0,4595.0,13.3,287.2,81.0,30.0,4.0,4.0,338.0,88.0,211.0,39.0,88.0,232.0,37.9,3.0,12.0,25.0,121.0,1089.0
ATL,16.0,359.0,566.0,63.4,4478.0,8.2,279.9,76.0,20.0,16.0,22.0,140.0,88.9,2014,450.0,1894.0,4.2,118.4,55.0,21.0,5.0,2.0,359.0,4618.0,12.9,288.6,76.0,20.0,5.0,4.0,358.0,108.0,224.0,26.0,95.0,203.0,46.8,4.0,8.0,50.0,91.0,744.0
