,Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
55,Geno SmithSEA,0.7,0.5,5.4,0.1,0.0,0.1,0.1,0.0,0.0,0.4
56,Case KeenumCLE,0.7,0.4,4.6,0.1,0.0,0.1,0.4,0.0,0.0,0.4
57,Mike WhiteNYJ,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4
58,John WolfordLAR,0.8,0.5,7.6,0.0,0.0,0.2,0.4,0.0,0.0,0.4
59,Taylor HeinickeWAS,0.8,0.5,4.5,0.1,0.1,0.1,0.5,0.0,0.0,0.4
60,Logan WoodsideTEN,0.4,0.3,2.5,0.0,0.0,0.2,0.4,0.0,0.0,0.1
61,Kellen MondMIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Garrett GilbertWAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Tim BoyleDET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Trace McSorleyARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Gardner Minshew IIPHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
