,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
194,195,Seth Williams(DEN),1,1,34,34.0,34,0,0,0,0,0,0,1,3.4,3.4,0.0%
195,196,Trenton Irwin(CIN),2,5,34,17.0,25,0,0,0,0,0,0,5,3.4,0.7,0.0%
196,197,Cody Hollister(TEN),4,7,33,8.3,14,0,0,0,0,0,0,3,3.3,1.1,0.0%
197,198,Cody White(PIT),5,6,33,6.6,11,0,0,0,0,0,0,6,3.3,0.6,0.0%
198,199,KJ Hill Jr.(FA),3,3,30,10.0,19,0,0,0,0,0,0,6,3.0,0.5,0.1%
199,200,Jake Kumerow(BUF),2,6,28,14.0,15,0,0,0,0,0,0,7,2.8,0.4,0.1%
200,201,Mike Strachan(IND),2,3,26,13.0,16,0,0,0,0,0,0,2,2.6,1.3,0.0%
201,202,Christian Blake(ATL),4,10,25,6.3,8,0,0,0,0,0,0,10,2.5,0.3,0.0%
202,203,Marcus Kemp(KC),2,5,24,12.0,16,0,0,0,0,0,0,12,2.4,0.2,0.0%
203,204,Tylan Wallace(BAL),2,6,23,11.5,18,0,0,0,0,0,0,10,2.3,0.2,0.1%
204,205,Dazz Newsome(CHI),2,5,23,11.5,13,0,0,0,0,0,0,3,2.3,0.8,0.0%
205,206,Davion Davis(HOU),1,3,17,17.0,17,0,0,0,0,0,0,2,1.7,0.9,0.0%
206,207,Keith Kirkwood(FA),3,7,17,5.7,7,0,0,0,0,0,0,3,1.7,0.6,0.0%
207,208,David Sills V(NYG),2,6,17,8.5,12,0,0,0,0,0,0,4,1.7,0.4,0.0%
208,209,Tyron Johnson(LV),2,5,16,8.0,10,0,0,0,0,0,0,7,1.6,0.2,0.0%
209,210,Tyrell Williams(FA),2,3,14,7.0,7,0,0,0,0,0,0,1,1.4,1.4,4.8%
210,211,Frank Darby(ATL),1,4,14,14.0,14,0,0,0,0,0,0,4,1.4,0.4,0.0%
211,212,Stanley Morgan Jr.(CIN),2,4,11,5.5,8,0,0,1,3,0,0,11,1.4,0.1,0.0%
212,213,Andy Isabella(ARI),1,1,13,13.0,13,0,0,0,0,0,0,3,1.3,0.4,0.1%
213,214,Kirk Merritt(NO),1,3,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3,0.0%
214,215,C.J. Saunders(CAR),2,2,11,5.5,8,0,0,0,0,0,0,1,1.1,1.1,0.0%
215,216,Marvin Hall(FA),1,1,10,10.0,10,0,0,0,0,0,0,1,1.0,1.0,0.0%
216,217,Jaydon Mickens(JAC),2,3,10,5.0,12,0,0,0,0,0,0,12,1.0,0.1,0.0%
217,218,Tarik Black(NYJ),1,2,10,10.0,10,0,0,0,0,0,0,1,1.0,1.0,0.0%
218,219,Tommylee Lewis(MIA),1,2,7,7.0,7,0,0,0,0,0,0,2,0.7,0.4,0.0%
219,220,Miles Boykin(BAL),1,1,6,6.0,6,0,0,0,0,0,0,2,0.6,0.3,0.0%
220,221,Keke Coutee(IND),1,1,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.0%
221,222,Easop Winston Jr.(NO),1,1,5,5.0,5,0,0,0,0,0,0,3,0.5,0.2,0.0%
222,223,Maurice Ffrench(LAC),0,0,0,0,0,0,0,1,3,0,0,2,0.3,0.2,0.0%
223,224,Steven Sims Jr.(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
224,225,Andre Baccellia(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
225,226,Dan Chisena(MIN),0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
226,227,Aleva Hifo(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
227,228,Josh Hammond(JAC),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
228,229,Jeff Cotton(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
229,230,T.J. Vasher(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
230,231,Thomas Ives(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
231,232,Demetric Felton(CLE),18,21,181,10.1,33,0,2,7,24,0,0,15,0.0,0.0,0.7%
232,233,Pooka Williams Jr.(CIN),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
233,234,Tutu Atwell(LAR),0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.2%
234,235,Trishton Jackson(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
235,236,Isaiah Coulter(CHI),0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
236,237,Antonio Gandy-Golden(WAS),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
237,238,Aaron Parker(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
238,239,Chris Finke(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
239,240,Mason Kinsey(TEN),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
240,241,Lawrence Cager(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
241,242,Austin Mack(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
242,243,Isaiah Hodgins(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
243,244,Tyrie Cleveland(DEN),0,1,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
244,245,Aaron Fuller(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
245,246,Binjimen Victor(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
246,247,Kalija Lipscomb(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
