rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_yr,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
84,Quinton Patton,3,6,25,8.3,11,0,0,0,0,0,0,1,2.5,2.5,0.2,FA,WR,2,2016
85,Pierre Garcon,2,7,25,12.5,16,0,0,0,0,0,0,1,2.5,2.5,0.0,FA,WR,2,2016
86,Jordan Norwood,3,4,24,8.0,9,0,0,0,0,0,0,1,2.4,2.4,0.0,FA,WR,2,2016
87,Jordan Taylor,1,1,20,20.0,20,1,0,0,0,0,0,1,2.0,2.0,0.0,FA,WR,2,2016
88,Sammy Watkins,2,5,20,10.0,11,0,0,0,0,0,0,1,2.0,2.0,7.0,BAL,WR,2,2016
89,Alex Erickson,1,1,20,20.0,20,1,0,0,0,0,0,1,2.0,2.0,0.0,CAR,WR,2,2016
90,Doug Baldwin,3,6,20,6.7,8,0,0,0,0,0,0,1,2.0,2.0,0.0,FA,WR,2,2016
91,Mohamed Sanu Sr.,3,5,19,6.3,15,0,0,0,0,0,0,1,1.9,1.9,0.1,SF,WR,2,2016
92,Johnny Holton,1,1,4,4.0,4,0,0,1,14,0,0,1,1.8,1.8,0.0,NYG,WR,2,2016
93,Dorial Green-Beckham,2,4,18,9.0,9,0,0,0,0,0,0,1,1.8,1.8,0.4,FA,WR,2,2016
94,Russell Shepard,2,2,16,8.0,10,0,0,0,0,0,0,1,1.6,1.6,0.0,FA,WR,2,2016
95,Charles Johnson,2,2,15,7.5,10,0,0,0,0,0,0,1,1.5,1.5,0.0,FA,WR,2,2016
96,Chris Conley,2,4,15,7.5,10,0,0,0,0,0,0,1,1.5,1.5,0.4,HOU,WR,2,2016
97,Malcolm Mitchell,1,2,15,15.0,15,0,0,0,0,0,0,1,1.5,1.5,0.0,FA,WR,2,2016
98,Brandon Coleman,2,4,15,7.5,10,0,0,0,0,0,0,1,1.5,1.5,0.0,FA,WR,2,2016
99,Corey Brown,3,6,15,5.0,8,0,0,0,0,0,0,1,1.5,1.5,0.2,FA,WR,2,2016
100,John Brown,1,3,14,14.0,14,0,0,0,0,0,0,1,1.4,1.4,1.3,FA,WR,2,2016
101,Rod Streater,1,2,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3,0.1,FA,WR,2,2016
102,Golden Tate,2,9,13,6.5,8,0,0,0,0,0,0,1,1.3,1.3,0.1,FA,WR,2,2016
103,Cecil Shorts,1,2,12,12.0,12,0,0,0,0,0,0,1,1.2,1.2,0.0,FA,WR,2,2016
104,Cody Latimer,2,2,12,6.0,8,0,0,0,0,0,0,1,1.2,1.2,0.0,FA,WR,2,2016
105,Jermaine Kearse,2,6,11,5.5,9,0,0,0,0,0,0,1,1.1,1.1,0.0,FA,WR,2,2016
106,Albert Wilson,2,3,11,5.5,7,0,0,0,0,0,0,1,1.1,1.1,0.8,MIA,WR,2,2016
107,James Wright,1,1,10,10.0,10,0,0,0,0,0,0,1,1.0,1.0,0.0,FA,WR,2,2016
108,Robert Woods,1,2,10,10.0,10,0,0,0,0,0,0,1,1.0,1.0,29.9,LAR,WR,2,2016
109,Eli Rogers,1,3,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,0.0,FA,WR,2,2016
