,Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
99,Dede WestbrookMIN,1.0,10.7,0.1,0.0,0.2,0.0,0.0,1.4
100,J.J. KoskiLAR,0.7,8.6,0.1,0.0,0.4,0.0,0.0,1.3
101,John HightowerPHI,0.7,9.2,0.1,0.0,0.7,0.0,0.0,1.3
102,Dezmon PatmonIND,0.6,8.4,0.1,0.0,0.1,0.0,0.0,1.2
103,Kevin WhiteNO,0.6,8.5,0.0,0.0,0.1,0.0,0.0,1.1
104,Greg WardPHI,0.6,6.6,0.1,0.0,0.1,0.0,0.0,1.1
105,Maurice FfrenchLAC,0.7,7.8,0.0,0.0,0.3,0.0,0.0,1.1
106,Isaiah McKenzieBUF,0.5,5.6,0.0,0.4,2.5,0.0,0.0,1.0
107,Jake KumerowBUF,0.4,7.4,0.0,0.0,0.0,0.0,0.0,1.0
108,Kristian WilkersonNE,0.6,6.4,0.1,0.0,0.1,0.0,0.0,1.0
109,Jauan JenningsSF,0.6,7.1,0.0,0.0,0.0,0.0,0.0,0.9
110,Jeff SmithNYJ,0.6,7.3,0.0,0.3,0.9,0.0,0.0,0.9
111,Frank DarbyATL,0.6,7.1,0.0,0.0,0.2,0.0,0.0,0.9
112,Dillon StonerLV,0.5,6.9,0.0,0.0,0.2,0.0,0.0,0.9
113,Equanimeous St. BrownGB,0.5,6.5,0.0,0.0,0.5,0.0,0.0,0.8
114,Damiere ByrdCHI,0.5,7.4,0.0,0.0,0.0,0.0,0.0,0.8
115,Kirk MerrittNO,0.5,6.3,0.0,0.0,0.0,0.0,0.0,0.7
116,Malik TurnerDAL,0.4,5.5,0.0,0.0,0.0,0.0,0.0,0.7
117,Gunner OlszewskiNE,0.4,5.4,0.0,0.0,0.2,0.0,0.0,0.7
118,Laquon TreadwellJAC,0.5,5.5,0.0,0.0,0.0,0.0,0.0,0.7
119,Mike ThomasCIN,0.4,4.8,0.0,0.0,0.0,0.0,0.0,0.6
120,Amari RodgersGB,0.3,4.0,0.0,0.3,0.8,0.0,0.0,0.6
