,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
18,19,Dalton Schultz(DAL),6,6,45,7.5,16,0,0,0,0,0,0,1,4.5,4.5,89.9%
19,20,Cole Kmet(CHI),5,7,42,8.4,10,0,0,0,0,0,0,1,4.2,4.2,33.3%
20,21,Dawson Knox(BUF),4,4,41,10.3,13,0,0,0,0,0,0,1,4.1,4.1,87.2%
21,22,Tyler Conklin(MIN),4,4,41,10.3,27,0,0,0,0,0,0,1,4.1,4.1,40.5%
22,23,Will Dissly(SEA),3,3,37,12.3,22,0,0,0,0,0,0,1,3.7,3.7,0.2%
23,24,C.J. Uzomah(CIN),2,2,35,17.5,32,0,0,0,0,0,0,1,3.5,3.5,20.8%
24,25,Zach Ertz(ARI),2,2,34,17.0,28,0,0,0,0,0,0,1,3.4,3.4,85.8%
25,26,Kyle Pitts(ATL),4,8,31,7.8,18,0,0,0,0,0,0,1,3.1,3.1,97.4%
26,27,Hunter Henry(NE),3,3,31,10.3,16,0,0,0,0,0,0,1,3.1,3.1,65.9%
27,28,Hayden Hurst(ATL),4,4,28,7.0,9,0,0,0,0,0,0,1,2.8,2.8,0.9%
28,29,Austin Hooper(CLE),3,3,27,9.0,14,0,0,0,0,0,0,1,2.7,2.7,28.8%
29,30,Tyler Kroft(NYJ),3,5,26,8.7,10,0,0,0,0,0,0,1,2.6,2.6,0.2%
30,31,Pat Freiermuth(PIT),1,1,24,24.0,24,0,0,0,0,0,0,1,2.4,2.4,56.7%
31,32,Ryan Griffin(NYJ),3,6,22,7.3,8,0,0,0,0,0,0,1,2.2,2.2,0.6%
32,33,Jack Doyle(IND),3,4,21,7.0,9,0,0,0,0,0,0,1,2.1,2.1,2.2%
33,34,Blake Jarwin(DAL),3,3,20,6.7,7,0,0,0,0,0,0,1,2.0,2.0,2.7%
34,35,Mark Andrews(BAL),3,5,20,6.7,10,0,0,0,0,0,0,1,2.0,2.0,99.9%
35,36,Marcedes Lewis(GB),1,1,19,19.0,19,0,0,0,0,0,0,1,1.9,1.9,0.2%
36,37,Anthony Firkser(TEN),3,4,19,6.3,11,0,0,0,0,0,0,1,1.9,1.9,3.7%
37,38,Eric Ebron(PIT),1,2,19,19.0,19,0,0,0,0,0,0,1,1.9,1.9,3.0%
38,39,Adam Trautman(NO),3,6,18,6.0,8,0,0,0,0,0,0,1,1.8,1.8,3.7%
39,40,Harrison Bryant(CLE),1,2,17,17.0,17,0,0,0,0,0,0,1,1.7,1.7,0.2%
40,41,Ian Thomas(CAR),1,2,17,17.0,17,0,0,0,0,0,0,1,1.7,1.7,0.1%
41,42,Jimmy Graham(CHI),1,2,11,11.0,11,0,0,0,0,0,0,1,1.1,1.1,0.8%
42,43,Durham Smythe(MIA),1,2,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,0.1%
43,44,Kyle Rudolph(NYG),2,5,8,4.0,6,0,0,0,0,0,0,1,0.8,0.8,0.3%
44,45,Robert Tonyan(GB),2,4,8,4.0,5,0,0,0,0,0,0,1,0.8,0.8,18.6%
45,46,Eric Saubert(DEN),1,2,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,0.0%
46,47,Dan Arnold(JAC),2,3,6,3.0,5,0,0,0,0,0,0,1,0.6,0.6,6.7%
47,48,Blake Bell(KC),1,1,3,3.0,3,0,0,1,2,0,0,1,0.5,0.5,0.2%
48,49,Darren Fells(FA),1,1,2,2.0,2,0,0,0,0,0,0,1,0.2,0.2,0.0%
49,50,Stephen Anderson(LAC),1,2,1,1.0,1,0,0,0,0,0,0,1,0.1,0.1,0.2%
50,51,Devin Asiasi(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
51,52,Josiah Deguara(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4%
52,53,Colby Parkinson(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
53,54,Luke Farrell(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
54,55,Jared Pinkney(DET),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
55,56,Mitchell Wilcox(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
56,57,Noah Gray(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
57,58,Dalton Keene(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
58,59,Kyle Markway(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
59,60,Stephen Sullivan(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
