player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,rost,team,week,position,opponent,home,year
Ryan Santoso,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,LAR,1,K,IND,True,2017
Austin MacGinnis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,LAR,1,K,IND,True,2017
Graham Gano,3,3,100.0,39,0,1,2,0,0,2,2,1,11.0,31.4,NYG,1,K,DAL,False,2017
Mark Hickok,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYG,1,K,DAL,False,2017
Justin Tucker,2,2,100.0,25,0,2,0,0,0,2,2,1,8.0,98.0,BAL,1,K,CIN,False,2017
Matt Prater,1,1,100.0,58,0,0,0,0,1,2,2,1,7.0,52.8,ARI,1,K,DET,False,2017
Cairo Santos,0,0,0.0,0,0,0,0,0,0,6,6,1,6.0,2.1,CHI,1,K,ATL,True,2017
Brandon McManus,1,2,50.0,20,0,1,0,0,0,3,3,1,6.0,44.3,DEN,1,K,LAC,True,2017
Mason Crosby,1,1,100.0,40,0,0,0,1,0,2,2,1,6.0,40.7,GB,1,K,SEA,True,2017
JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GB,1,K,SEA,True,2017
Dustin Hopkins,1,1,100.0,33,0,0,1,0,0,2,2,1,5.0,14.5,LAC,1,K,DEN,False,2017
Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.7,LAC,1,K,DEN,False,2017
Robbie Gould,1,1,100.0,44,0,0,0,1,0,0,0,1,4.0,22.5,SF,1,K,CAR,True,2017
Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,1,K,CAR,True,2017
MacKenzie Hoambrecker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,1,K,CAR,True,2017
Andrew Jacas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,1,K,CAR,True,2017
Zane Gonzalez,1,1,100.0,24,0,1,0,0,0,1,1,1,4.0,2.6,CAR,1,K,SF,False,2017
Alex Kessman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,1,K,SF,False,2017
Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,CAR,1,K,SF,False,2017
Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,1,K,SF,False,2017
Younghoe Koo,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,40.9,ATL,1,K,CHI,False,2017
Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,1,K,CHI,False,2017
Garrett Lindholm,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,1,K,CHI,False,2017
Chris Boswell,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,51.0,PIT,1,K,CLE,False,2017
Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,1,K,CLE,False,2017
Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,1,K,CLE,False,2017
Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,1,K,CLE,False,2017
Ka'imi Fairbairn,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,0.8,HOU,1,K,JAC,True,2017
Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,19.9,IND,1,K,LAR,False,2017
Rodrigo Blankenship,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,4.1,IND,1,K,LAR,False,2017
Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,IND,1,K,LAR,False,2017
Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,CLE,1,K,PIT,True,2017
Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,7.1,CLE,1,K,PIT,True,2017
Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CLE,1,K,PIT,True,2017
Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DET,1,K,ARI,True,2017
Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,DET,1,K,ARI,True,2017
Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,JAC,1,K,HOU,False,2017
Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,69.1,MIN,1,K,NO,True,2017
Jake Elliott,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,22.5,PHI,1,K,WAS,False,2017
Harrison Butker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,76.6,KC,1,K,NE,False,2017
Daniel Carlson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,74.3,LV,1,K,TEN,False,2017
Jason Sanders,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,22.6,MIA,1,K,TB,True,2017
Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,33.3,MIA,1,K,TB,True,2017
Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,NYJ,1,K,BUF,False,2017
Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NYJ,1,K,BUF,False,2017
Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,1,K,BUF,False,2017
Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,1,K,BUF,False,2017
Sergio Castillo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,1,K,BUF,False,2017
Joey Slye,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.6,WAS,1,K,PHI,True,2017
Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,6.6,WAS,1,K,PHI,True,2017
Clint Stitser,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,1,K,PHI,True,2017
Saverio Rocca,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,1,K,PHI,True,2017
Evan McPherson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,34.2,CIN,1,K,BAL,True,2017
Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NE,1,K,KC,True,2017
Nick Folk,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,81.8,NE,1,K,KC,True,2017
Tyler Bass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,84.8,BUF,1,K,NYJ,True,2017
Chris Boswell,4,4,100.0,46,0,1,1,2,0,2,2,1,16.0,51.0,PIT,2,K,MIN,True,2017
Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,2,K,MIN,True,2017
Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,2,K,MIN,True,2017
Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,2,K,MIN,True,2017
Cody Parkey,4,4,100.0,54,0,1,2,0,1,1,1,1,15.0,0.4,FA,2,K,,,2017
Matt Bryant,2,2,100.0,53,0,0,0,0,2,4,4,1,14.0,1.1,FA,2,K,,,2017
Stephen Gostkowski,3,3,100.0,28,0,3,0,0,0,3,4,1,12.0,0.1,FA,2,K,,,2017
Phil Dawson,3,4,75.0,40,0,1,1,1,0,1,1,1,11.0,0.1,FA,2,K,,,2017
Chandler Catanzaro,2,2,100.0,46,0,0,0,2,0,2,2,1,10.0,0.0,FA,2,K,,,2017
Adam Vinatieri,2,2,100.0,46,0,1,0,1,0,1,1,1,8.0,0.2,FA,2,K,,,2017
Dan Bailey,1,1,100.0,56,0,0,0,0,1,2,2,1,7.0,0.0,FA,2,K,,,2017
Blair Walsh,2,2,100.0,27,0,2,0,0,0,0,1,1,6.0,0.1,FA,2,K,,,2017
Stephen Hauschka,1,1,100.0,45,0,0,0,1,0,0,0,1,4.0,0.0,FA,2,K,,,2017
Aldrick Rosas,1,1,100.0,25,0,1,0,0,0,1,1,1,4.0,1.8,FA,2,K,,,2017
Connor Barth,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,0.0,FA,2,K,,,2017
Ryan Succop,3,3,100.0,41,0,1,0,2,0,4,4,1,15.0,57.4,TB,2,K,CHI,True,2017
Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,2,K,CHI,True,2017
Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,2,K,CHI,True,2017
Nick Folk,3,3,100.0,50,0,1,0,1,1,2,3,1,14.0,81.8,NE,2,K,NO,False,2017
Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NE,2,K,NO,False,2017
Robbie Gould,3,3,100.0,40,0,0,2,1,0,0,0,1,10.0,22.5,SF,2,K,SEA,False,2017
Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,2,K,SEA,False,2017
MacKenzie Hoambrecker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,2,K,SEA,False,2017
Andrew Jacas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,2,K,SEA,False,2017
Dustin Hopkins,2,3,66.7,41,0,1,0,1,0,3,3,1,10.0,14.5,LAC,2,K,MIA,True,2017
Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.7,LAC,2,K,MIA,True,2017
Cairo Santos,2,2,100.0,39,0,0,2,0,0,3,3,1,9.0,2.1,CHI,2,K,TB,False,2017
Giorgio Tavecchio,1,1,100.0,29,0,1,0,0,0,6,6,1,9.0,1.0,TEN,2,K,JAC,False,2017
Randy Bullock,3,3,100.0,39,0,1,2,0,0,0,0,1,9.0,10.8,TEN,2,K,JAC,False,2017
Sam Ficken,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,TEN,2,K,JAC,False,2017
Graham Gano,3,3,100.0,34,0,2,1,0,0,0,0,1,9.0,31.4,NYG,2,K,DET,True,2017
Mark Hickok,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYG,2,K,DET,True,2017
Jake Elliott,2,3,66.7,40,0,0,1,1,0,2,2,1,9.0,22.5,PHI,2,K,KC,False,2017
Greg Zuerlein,2,2,100.0,40,0,0,1,1,0,2,2,1,9.0,74.2,DAL,2,K,DEN,False,2017
Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DAL,2,K,DEN,False,2017
Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,2,K,DEN,False,2017
Connor Hughes,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,2,K,DEN,False,2017
Wil Lutz,2,3,66.7,46,0,0,1,1,0,2,2,1,9.0,3.3,NO,2,K,NE,True,2017
Brett Maher,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.9,NO,2,K,NE,True,2017
Matt Prater,1,1,100.0,56,0,0,0,0,1,3,3,1,8.0,52.8,ARI,2,K,IND,False,2017
Ka'imi Fairbairn,2,2,100.0,42,0,1,0,1,0,1,1,1,8.0,0.8,HOU,2,K,CIN,False,2017
Justin Tucker,1,2,50.0,28,0,1,0,0,0,3,3,1,6.0,98.0,BAL,2,K,CLE,True,2017
Brandon McManus,0,1,0.0,0,0,0,0,0,0,6,6,1,6.0,44.3,DEN,2,K,DAL,True,2017
Younghoe Koo,1,3,33.3,41,0,0,0,1,0,2,2,1,6.0,40.9,ATL,2,K,GB,True,2017
Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,2,K,GB,True,2017
Garrett Lindholm,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,2,K,GB,True,2017
Mason Crosby,1,1,100.0,28,0,1,0,0,0,2,2,1,5.0,40.7,GB,2,K,ATL,False,2017
JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GB,2,K,ATL,False,2017
Jason Myers,1,1,100.0,43,0,0,0,1,0,1,1,1,5.0,22.1,SEA,2,K,SF,True,2017
Kai Forbath,1,1,100.0,42,0,0,0,1,0,0,1,1,4.0,3.0,LAR,2,K,WAS,True,2017
Matt Gay,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,89.8,LAR,2,K,WAS,True,2017
Ryan Santoso,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,LAR,2,K,WAS,True,2017
Austin MacGinnis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,LAR,2,K,WAS,True,2017
Zane Gonzalez,1,1,100.0,38,0,0,1,0,0,1,1,1,4.0,2.6,CAR,2,K,BUF,True,2017
Alex Kessman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,2,K,BUF,True,2017
Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,CAR,2,K,BUF,True,2017
Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,2,K,BUF,True,2017
Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,JAC,2,K,TEN,True,2017
Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,CLE,2,K,BAL,False,2017
Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,7.1,CLE,2,K,BAL,False,2017
Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CLE,2,K,BAL,False,2017
Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DET,2,K,NYG,False,2017
Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,DET,2,K,NYG,False,2017
Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,19.9,IND,2,K,ARI,True,2017
Rodrigo Blankenship,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,4.1,IND,2,K,ARI,True,2017
Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,IND,2,K,ARI,True,2017
Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,69.1,MIN,2,K,PIT,False,2017
Harrison Butker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,76.6,KC,2,K,PHI,True,2017
Daniel Carlson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,74.3,LV,2,K,NYJ,True,2017
Jason Sanders,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,22.6,MIA,2,K,LAC,False,2017
Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,33.3,MIA,2,K,LAC,False,2017
Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,NYJ,2,K,LV,False,2017
Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NYJ,2,K,LV,False,2017
Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,2,K,LV,False,2017
Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,2,K,LV,False,2017
Sergio Castillo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,2,K,LV,False,2017
Joey Slye,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.6,WAS,2,K,LAR,False,2017
Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,6.6,WAS,2,K,LAR,False,2017
Clint Stitser,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,2,K,LAR,False,2017
Saverio Rocca,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,2,K,LAR,False,2017
Evan McPherson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,34.2,CIN,2,K,HOU,True,2017
Tyler Bass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,84.8,BUF,2,K,CAR,False,2017
Matt Prater,4,4,100.0,57,0,0,1,1,2,2,2,1,19.0,52.8,ARI,3,K,DAL,True,2017
Stephen Hauschka,4,4,100.0,55,0,1,0,1,2,2,2,1,19.0,0.0,FA,3,K,,,2017
Matt Bryant,3,3,100.0,48,0,0,1,2,0,3,3,1,14.0,1.1,FA,3,K,,,2017
Chandler Catanzaro,2,3,66.7,40,0,1,0,1,0,2,2,1,9.0,0.0,FA,3,K,,,2017
Aldrick Rosas,1,1,100.0,41,0,0,0,1,0,3,3,1,7.0,1.8,FA,3,K,,,2017
Adam Vinatieri,1,1,100.0,33,0,0,1,0,0,4,4,1,7.0,0.2,FA,3,K,,,2017
Phil Dawson,1,2,50.0,37,0,0,1,0,0,2,2,1,5.0,0.1,FA,3,K,,,2017
Connor Barth,1,2,50.0,24,0,1,0,0,0,2,2,1,5.0,0.0,FA,3,K,,,2017
Stephen Gostkowski,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,0.1,FA,3,K,,,2017
Dan Bailey,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,0.0,FA,3,K,,,2017
Blair Walsh,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,0.1,FA,3,K,,,2017
Cody Parkey,0,0,0.0,0,0,0,0,0,0,0,1,1,0.0,0.4,FA,3,K,,,2017
Ryan Succop,4,4,100.0,47,0,1,2,1,0,3,3,1,16.0,57.4,TB,3,K,MIN,False,2017
Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,3,K,MIN,False,2017
Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,3,K,MIN,False,2017
Ka'imi Fairbairn,4,4,100.0,40,0,0,3,1,0,3,3,1,16.0,0.8,HOU,3,K,NE,False,2017
Jason Myers,3,3,100.0,45,0,2,0,1,0,5,5,1,15.0,22.1,SEA,3,K,TEN,False,2017
Greg Zuerlein,2,2,100.0,48,1,0,0,1,0,5,5,1,12.0,74.2,DAL,3,K,ARI,False,2017
Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DAL,3,K,ARI,False,2017
Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,3,K,ARI,False,2017
Connor Hughes,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,3,K,ARI,False,2017
Jake Elliott,2,3,66.7,61,0,0,0,1,1,3,3,1,12.0,22.5,PHI,3,K,NYG,True,2017
Wil Lutz,2,3,66.7,50,0,0,1,0,1,4,4,1,12.0,3.3,NO,3,K,CAR,False,2017
Brett Maher,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.9,NO,3,K,CAR,False,2017
Kai Forbath,2,2,100.0,37,0,1,1,0,0,4,4,1,10.0,3.0,LAR,3,K,SF,False,2017
Ryan Santoso,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,LAR,3,K,SF,False,2017
Matt Gay,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,89.8,LAR,3,K,SF,False,2017
Austin MacGinnis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,LAR,3,K,SF,False,2017
Robbie Gould,2,2,100.0,48,0,0,1,1,0,3,4,1,10.0,22.5,SF,3,K,LAR,True,2017
Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,3,K,LAR,True,2017
MacKenzie Hoambrecker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,3,K,LAR,True,2017
Andrew Jacas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,3,K,LAR,True,2017
Brandon McManus,3,3,100.0,38,0,1,2,0,0,1,1,1,10.0,44.3,DEN,3,K,BUF,False,2017
Dustin Hopkins,2,3,66.7,28,0,2,0,0,0,3,3,1,9.0,14.5,LAC,3,K,KC,True,2017
Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.7,LAC,3,K,KC,True,2017
Mason Crosby,2,2,100.0,28,0,2,0,0,0,3,3,1,9.0,40.7,GB,3,K,CIN,True,2017
JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GB,3,K,CIN,True,2017
Graham Gano,2,2,100.0,48,0,0,1,1,0,1,1,1,8.0,31.4,NYG,3,K,PHI,False,2017
Mark Hickok,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYG,3,K,PHI,False,2017
Randy Bullock,1,2,50.0,46,0,0,0,1,0,3,3,1,7.0,10.8,TEN,3,K,SEA,True,2017
Giorgio Tavecchio,1,1,100.0,22,0,1,0,0,0,1,1,1,4.0,1.0,TEN,3,K,SEA,True,2017
Sam Ficken,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,TEN,3,K,SEA,True,2017
Nick Folk,1,1,100.0,40,0,0,0,1,0,2,2,1,6.0,81.8,NE,3,K,HOU,True,2017
Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NE,3,K,HOU,True,2017
Cairo Santos,1,1,100.0,34,0,0,1,0,0,3,3,1,6.0,2.1,CHI,3,K,PIT,True,2017
Chris Boswell,1,2,50.0,32,0,0,1,0,0,2,2,1,5.0,51.0,PIT,3,K,CHI,False,2017
Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,3,K,CHI,False,2017
Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,3,K,CHI,False,2017
Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,3,K,CHI,False,2017
Zane Gonzalez,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,2.6,CAR,3,K,NO,True,2017
Alex Kessman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,3,K,NO,True,2017
Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,CAR,3,K,NO,True,2017
Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,3,K,NO,True,2017
Younghoe Koo,1,1,100.0,29,0,1,0,0,0,1,1,1,4.0,40.9,ATL,3,K,DET,False,2017
Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,3,K,DET,False,2017
Garrett Lindholm,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,3,K,DET,False,2017
Justin Tucker,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,98.0,BAL,3,K,JAC,False,2017
Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,19.9,IND,3,K,CLE,True,2017
Rodrigo Blankenship,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,4.1,IND,3,K,CLE,True,2017
Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,IND,3,K,CLE,True,2017
Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DET,3,K,ATL,True,2017
Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,DET,3,K,ATL,True,2017
Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,JAC,3,K,BAL,True,2017
Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,CLE,3,K,IND,False,2017
Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,7.1,CLE,3,K,IND,False,2017
Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CLE,3,K,IND,False,2017
Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,69.1,MIN,3,K,TB,True,2017
Harrison Butker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,76.6,KC,3,K,LAC,False,2017
Daniel Carlson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,74.3,LV,3,K,WAS,False,2017
Jason Sanders,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,22.6,MIA,3,K,NYJ,False,2017
Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,33.3,MIA,3,K,NYJ,False,2017
