player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,rost,team,week,position,opponent,home
Tyler Bass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,84.8,BUF,2,K,NYG,False
Graham Gano,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,31.4,NYG,2,K,BUF,True
Mark Hickok,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYG,2,K,BUF,True
Matt Gay,4,5,80.0,52,0,2,0,1,1,1,3,1,16.0,89.8,LAR,3,K,CLE,False
Ryan Santoso,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,LAR,3,K,CLE,False
Austin MacGinnis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,LAR,3,K,CLE,False
Kai Forbath,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,3.0,LAR,3,K,CLE,False
Dan Bailey,2,2,100.0,50,0,1,0,0,1,4,4,1,12.0,0.0,FA,3,K,,
Adam Vinatieri,2,2,100.0,49,0,1,0,1,0,3,3,1,10.0,0.2,FA,3,K,,
Josh Lambo,2,2,100.0,48,0,0,0,2,0,2,2,1,10.0,3.2,FA,3,K,,
Stephen Hauschka,2,3,66.7,45,0,0,1,1,0,1,1,1,8.0,0.0,FA,3,K,,
Stephen Gostkowski,1,1,100.0,37,0,0,1,0,0,3,4,1,6.0,0.1,FA,3,K,,
Aldrick Rosas,1,1,100.0,36,0,0,1,0,0,3,3,1,6.0,1.8,FA,3,K,,
Matt Bryant,1,1,100.0,34,0,0,1,0,0,3,3,1,6.0,1.1,FA,3,K,,
Mason Crosby,2,3,66.7,42,0,0,0,2,0,3,3,1,11.0,40.7,GB,3,K,DEN,True
JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GB,3,K,DEN,True
Greg Zuerlein,2,3,66.7,53,0,0,1,0,1,2,2,1,10.0,74.2,DAL,3,K,MIA,True
Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DAL,3,K,MIA,True
Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,3,K,MIA,True
Connor Hughes,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,3,K,MIA,True
Harrison Butker,2,2,100.0,42,0,0,1,1,0,3,4,1,10.0,76.6,KC,3,K,BAL,True
Ty Long,2,2,100.0,43,0,0,1,1,0,2,2,1,9.0,0.7,LAC,3,K,HOU,True
Dustin Hopkins,1,2,50.0,35,0,0,1,0,0,0,0,1,3.0,14.5,LAC,3,K,HOU,True
Zane Gonzalez,2,2,100.0,47,0,0,1,1,0,2,2,1,9.0,2.6,CAR,3,K,ARI,False
Alex Kessman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,3,K,ARI,False
Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,CAR,3,K,ARI,False
Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,3,K,ARI,False
Matt Prater,2,3,66.7,33,0,1,1,0,0,3,3,1,9.0,52.8,ARI,3,K,CAR,True
Chris Boswell,2,2,100.0,46,0,1,0,1,0,2,2,1,9.0,51.0,PIT,3,K,SF,False
Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,3,K,SF,False
Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,3,K,SF,False
Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,3,K,SF,False
Joey Slye,1,1,100.0,36,0,0,1,0,0,5,5,1,8.0,1.6,WAS,3,K,CHI,True
Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,6.6,WAS,3,K,CHI,True
Saverio Rocca,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,3,K,CHI,True
Clint Stitser,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,3,K,CHI,True
Eddy Pineiro,1,2,50.0,38,0,0,1,0,0,4,4,1,7.0,0.2,NYJ,3,K,NE,False
Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NYJ,3,K,NE,False
Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,3,K,NE,False
Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,3,K,NE,False
Sergio Castillo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,3,K,NE,False
Austin Seibert,2,2,100.0,35,0,1,1,0,0,1,1,1,7.0,0.1,DET,3,K,PHI,False
Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,DET,3,K,PHI,False
Brett Maher,1,2,50.0,28,0,1,0,0,0,4,4,1,7.0,1.9,NO,3,K,SEA,False
Wil Lutz,0,0,0.0,0,0,0,0,0,0,3,4,1,3.0,3.3,NO,3,K,SEA,False
Robbie Gould,1,1,100.0,24,0,1,0,0,0,3,3,1,6.0,22.5,SF,3,K,PIT,True
Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,3,K,PIT,True
MacKenzie Hoambrecker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,3,K,PIT,True
Andrew Jacas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,3,K,PIT,True
Jason Sanders,2,3,66.7,33,0,1,1,0,0,0,0,1,6.0,22.6,MIA,3,K,DAL,False
Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,33.3,MIA,3,K,DAL,False
Randy Bullock,1,1,100.0,43,0,0,0,1,0,2,2,1,6.0,10.8,TEN,3,K,JAC,False
Sam Ficken,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,0.1,TEN,3,K,JAC,False
Giorgio Tavecchio,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,TEN,3,K,JAC,False
Jake Elliott,1,1,100.0,25,0,1,0,0,0,3,3,1,6.0,22.5,PHI,3,K,DET,True
Brandon McManus,1,1,100.0,30,0,0,1,0,0,1,2,1,4.0,44.3,DEN,3,K,GB,False
Justin Tucker,1,1,100.0,39,0,0,1,0,0,1,1,1,4.0,98.0,BAL,3,K,KC,False
Jason Myers,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,22.1,SEA,3,K,NO,True
Ka'imi Fairbairn,0,1,0.0,0,0,0,0,0,0,3,4,1,3.0,0.8,HOU,3,K,LAC,False
Daniel Carlson,0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,74.3,LV,3,K,MIN,False
Cairo Santos,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,2.1,CHI,3,K,WAS,False
Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,CLE,3,K,LAR,True
Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,7.1,CLE,3,K,LAR,True
Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CLE,3,K,LAR,True
Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,JAC,3,K,TEN,True
Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,19.9,IND,3,K,ATL,True
Rodrigo Blankenship,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,4.1,IND,3,K,ATL,True
Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,IND,3,K,ATL,True
Younghoe Koo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,40.9,ATL,3,K,IND,False
Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,3,K,IND,False
Garrett Lindholm,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,3,K,IND,False
Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,69.1,MIN,3,K,LV,True
Evan McPherson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,34.2,CIN,3,K,BUF,False
Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,3,K,NYG,True
Ryan Succop,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,57.4,TB,3,K,NYG,True
Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,3,K,NYG,True
Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NE,3,K,NYJ,True
Nick Folk,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,81.8,NE,3,K,NYJ,True
Tyler Bass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,84.8,BUF,3,K,CIN,True
Graham Gano,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,31.4,NYG,3,K,TB,False
Mark Hickok,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYG,3,K,TB,False
Ty Long,3,3,100.0,51,0,0,0,2,1,3,3,1,16.0,0.7,LAC,4,K,MIA,False
Dustin Hopkins,1,1,100.0,21,0,1,0,0,0,0,0,1,3.0,14.5,LAC,4,K,MIA,False
Matt Prater,3,3,100.0,53,0,1,0,1,1,3,3,1,15.0,52.8,ARI,4,K,SEA,True
Josh Lambo,4,4,100.0,40,0,1,2,1,0,2,2,1,15.0,3.2,FA,4,K,,
Aldrick Rosas,1,1,100.0,30,0,0,1,0,0,3,3,1,6.0,1.8,FA,4,K,,
Adam Vinatieri,1,2,50.0,26,0,1,0,0,0,3,3,1,6.0,0.2,FA,4,K,,
Stephen Hauschka,1,2,50.0,46,0,0,0,1,0,1,1,1,5.0,0.0,FA,4,K,,
Matt Bryant,1,2,50.0,42,0,0,0,1,0,1,1,1,5.0,1.1,FA,4,K,,
Stephen Gostkowski,1,1,100.0,23,0,1,0,0,0,1,2,1,4.0,0.1,FA,4,K,,
