player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,rost,team,week,position,opponent,home,year
Wil Lutz,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,3.3,NO,1,K,GB,True,2021
Brett Maher,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.9,NO,1,K,GB,True,2021
Ka'imi Fairbairn,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.8,HOU,1,K,JAC,True,2021
Sam Ficken,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,TEN,1,K,ARI,True,2021
Randy Bullock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,10.8,TEN,1,K,ARI,True,2021
Giorgio Tavecchio,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,TEN,1,K,ARI,True,2021
Zane Gonzalez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.6,CAR,1,K,NYJ,True,2021
Alex Kessman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,1,K,NYJ,True,2021
Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,CAR,1,K,NYJ,True,2021
Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,1,K,NYJ,True,2021
Graham Gano,5,5,100.0,55,0,1,1,1,2,2,2,1,22.0,31.4,NYG,2,K,WAS,False,2021
Mark Hickok,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYG,2,K,WAS,False,2021
Daniel Carlson,4,4,100.0,46,0,0,1,3,0,2,2,1,17.0,74.3,LV,2,K,PIT,False,2021
Nick Folk,4,4,100.0,49,0,1,1,2,0,1,2,1,15.0,81.8,NE,2,K,NYJ,False,2021
Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NE,2,K,NYJ,False,2021
Randy Bullock,4,5,80.0,36,0,1,3,0,0,3,3,1,15.0,10.8,TEN,2,K,SEA,False,2021
Sam Ficken,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,TEN,2,K,SEA,False,2021
Giorgio Tavecchio,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,TEN,2,K,SEA,False,2021
Dustin Hopkins,3,3,100.0,49,0,0,1,2,0,3,3,1,14.0,14.5,LAC,2,K,DAL,True,2021
Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.7,LAC,2,K,DAL,True,2021
Greg Joseph,2,3,66.7,52,0,0,0,0,2,3,4,1,13.0,69.1,MIN,2,K,ARI,False,2021
Brandon McManus,3,3,100.0,46,0,0,1,2,0,2,2,1,13.0,44.3,DEN,2,K,JAC,False,2021
Matt Prater,2,2,100.0,62,0,1,0,0,1,4,4,1,12.0,52.8,ARI,2,K,MIN,True,2021
Rodrigo Blankenship,3,3,100.0,48,0,0,1,2,0,1,1,1,12.0,4.1,IND,2,K,LAR,True,2021
Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,19.9,IND,2,K,LAR,True,2021
Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,IND,2,K,LAR,True,2021
Greg Zuerlein,2,2,100.0,56,0,0,1,0,1,2,2,1,10.0,74.2,DAL,2,K,LAC,False,2021
Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DAL,2,K,LAC,False,2021
Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,2,K,LAC,False,2021
Connor Hughes,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,2,K,LAC,False,2021
Tristan Vizcaino,3,4,75.0,46,0,1,1,1,0,0,0,1,10.0,0.8,FA,2,K,,,2021
Aldrick Rosas,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.8,FA,2,K,,,2021
Josh Lambo,0,2,0.0,0,0,0,0,0,0,1,1,1,1.0,3.2,FA,2,K,,,2021
Zane Gonzalez,2,3,66.7,42,0,1,0,1,0,2,3,1,9.0,2.6,CAR,2,K,NO,True,2021
Alex Kessman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,2,K,NO,True,2021
Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,CAR,2,K,NO,True,2021
Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,2,K,NO,True,2021
Matt Gay,2,2,100.0,38,0,0,2,0,0,3,3,1,9.0,89.8,LAR,2,K,IND,False,2021
Ryan Santoso,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,LAR,2,K,IND,False,2021
Austin MacGinnis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,LAR,2,K,IND,False,2021
Kai Forbath,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,3.0,LAR,2,K,IND,False,2021
Cairo Santos,2,2,100.0,28,0,2,0,0,0,2,2,1,8.0,2.1,CHI,2,K,CIN,True,2021
Justin Tucker,1,1,100.0,43,0,0,0,1,0,3,3,1,7.0,98.0,BAL,2,K,KC,True,2021
Chris Boswell,1,1,100.0,56,0,0,0,0,1,2,2,1,7.0,51.0,PIT,2,K,LV,True,2021
Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,PIT,2,K,LV,True,2021
Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,2,K,LV,True,2021
Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,2,K,LV,True,2021
Chase McLaughlin,1,1,100.0,30,0,0,1,0,0,4,4,1,7.0,7.1,CLE,2,K,HOU,True,2021
Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,CLE,2,K,HOU,True,2021
Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CLE,2,K,HOU,True,2021
Evan McPherson,1,1,100.0,53,0,0,0,0,1,2,2,1,7.0,34.2,CIN,2,K,CHI,False,2021
Austin Seibert,1,1,100.0,43,0,0,0,1,0,2,2,1,6.0,0.1,DET,2,K,GB,False,2021
Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,DET,2,K,GB,False,2021
Matt Ammendola,2,3,66.7,35,0,1,1,0,0,0,0,1,6.0,0.1,NYJ,2,K,NE,True,2021
Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,NYJ,2,K,NE,True,2021
Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,2,K,NE,True,2021
Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,2,K,NE,True,2021
Sergio Castillo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,2,K,NE,True,2021
Ryan Succop,0,0,0.0,0,0,0,0,0,0,6,7,1,6.0,57.4,TB,2,K,ATL,True,2021
Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,2,K,ATL,True,2021
Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,2,K,ATL,True,2021
Robbie Gould,1,1,100.0,46,0,0,0,1,0,2,2,1,6.0,22.5,SF,2,K,PHI,False,2021
Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,2,K,PHI,False,2021
MacKenzie Hoambrecker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,2,K,PHI,False,2021
Andrew Jacas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,2,K,PHI,False,2021
Jason Myers,1,1,100.0,31,0,0,1,0,0,3,4,1,6.0,22.1,SEA,2,K,TEN,True,2021
Mason Crosby,0,0,0.0,0,0,0,0,0,0,5,5,1,5.0,40.7,GB,2,K,DET,True,2021
JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GB,2,K,DET,True,2021
Tyler Bass,0,1,0.0,0,0,0,0,0,0,5,5,1,5.0,84.8,BUF,2,K,MIA,False,2021
Harrison Butker,0,0,0.0,0,0,0,0,0,0,5,5,1,5.0,76.6,KC,2,K,BAL,False,2021
Younghoe Koo,1,1,100.0,36,0,0,1,0,0,2,2,1,5.0,40.9,ATL,2,K,TB,False,2021
Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,2,K,TB,False,2021
Garrett Lindholm,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,2,K,TB,False,2021
Jake Elliott,1,2,50.0,45,0,0,0,1,0,0,0,1,4.0,22.5,PHI,2,K,SF,True,2021
Joey Slye,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,1.6,WAS,2,K,NYG,True,2021
Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,6.6,WAS,2,K,NYG,True,2021
Saverio Rocca,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,2,K,NYG,True,2021
Clint Stitser,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,2,K,NYG,True,2021
Jason Sanders,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,22.6,MIA,2,K,BUF,True,2021
Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,33.3,MIA,2,K,BUF,True,2021
Ka'imi Fairbairn,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.8,HOU,2,K,CLE,False,2021
Wil Lutz,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,3.3,NO,2,K,CAR,False,2021
Brett Maher,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.9,NO,2,K,CAR,False,2021
Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,JAC,2,K,DEN,True,2021
Chase McLaughlin,4,4,100.0,57,0,1,0,1,2,2,2,1,19.0,7.1,CLE,3,K,CHI,True,2021
Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,CLE,3,K,CHI,True,2021
Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CLE,3,K,CHI,True,2021
Justin Tucker,4,5,80.0,66,0,0,2,0,2,1,1,1,17.0,98.0,BAL,3,K,DET,False,2021
Brandon McManus,4,4,100.0,47,0,1,1,2,0,2,2,1,16.0,44.3,DEN,3,K,NYJ,True,2021
Mason Crosby,3,3,100.0,54,0,0,1,0,2,3,3,1,16.0,40.7,GB,3,K,SF,False,2021
JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GB,3,K,SF,False,2021
Tyler Bass,3,3,100.0,48,0,2,0,1,0,4,4,1,14.0,84.8,BUF,3,K,WAS,True,2021
Daniel Carlson,3,3,100.0,50,0,1,1,0,1,2,3,1,13.0,74.3,LV,3,K,MIA,True,2021
Greg Joseph,3,3,100.0,43,0,1,1,1,0,3,3,1,13.0,69.1,MIN,3,K,SEA,True,2021
Rodrigo Blankenship,3,4,75.0,43,0,2,0,1,0,1,1,1,11.0,4.1,IND,3,K,TEN,False,2021
Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,19.9,IND,3,K,TEN,False,2021
Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,IND,3,K,TEN,False,2021
Jason Sanders,2,3,66.7,50,0,0,0,1,1,2,2,1,11.0,22.6,MIA,3,K,LV,False,2021
Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,33.3,MIA,3,K,LV,False,2021
Matt Gay,2,2,100.0,48,0,1,0,1,0,4,4,1,11.0,89.8,LAR,3,K,TB,True,2021
Ryan Santoso,1,1,100.0,35,0,0,1,0,0,2,2,1,5.0,0.1,LAR,3,K,TB,True,2021
Austin MacGinnis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,LAR,3,K,TB,True,2021
Kai Forbath,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,3.0,LAR,3,K,TB,True,2021
Nick Folk,2,2,100.0,45,0,1,0,1,0,1,1,1,8.0,81.8,NE,3,K,NO,True,2021
Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NE,3,K,NO,True,2021
Evan McPherson,1,1,100.0,43,0,0,0,1,0,3,3,1,7.0,34.2,CIN,3,K,PIT,False,2021
Cairo Santos,2,2,100.0,47,0,1,0,1,0,0,0,1,7.0,2.1,CHI,3,K,CLE,False,2021
Matt Prater,1,2,50.0,34,0,0,1,0,0,4,4,1,7.0,52.8,ARI,3,K,JAC,False,2021
Jason Myers,1,2,50.0,53,0,0,0,0,1,2,2,1,7.0,22.1,SEA,3,K,MIN,False,2021
Graham Gano,2,2,100.0,31,0,1,1,0,0,0,0,1,6.0,31.4,NYG,3,K,ATL,True,2021
Mark Hickok,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYG,3,K,ATL,True,2021
Younghoe Koo,1,1,100.0,40,0,0,0,1,0,2,2,1,6.0,40.9,ATL,3,K,NYG,False,2021
Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,3,K,NYG,False,2021
Garrett Lindholm,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,3,K,NYG,False,2021
Zane Gonzalez,1,1,100.0,21,0,1,0,0,0,3,3,1,6.0,2.6,CAR,3,K,HOU,False,2021
Alex Kessman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,3,K,HOU,False,2021
Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,CAR,3,K,HOU,False,2021
Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,3,K,HOU,False,2021
Ryan Succop,1,2,50.0,26,0,1,0,0,0,3,3,1,6.0,57.4,TB,3,K,LAR,False,2021
Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,3,K,LAR,False,2021
Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,3,K,LAR,False,2021
Harrison Butker,1,1,100.0,34,0,0,1,0,0,3,3,1,6.0,76.6,KC,3,K,LAC,True,2021
Joey Slye,1,1,100.0,53,0,0,0,0,1,0,1,1,5.0,1.6,WAS,3,K,BUF,False,2021
Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,6.6,WAS,3,K,BUF,False,2021
Saverio Rocca,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,3,K,BUF,False,2021
Clint Stitser,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,3,K,BUF,False,2021
Greg Zuerlein,0,0,0.0,0,0,0,0,0,0,5,6,1,5.0,74.2,DAL,3,K,PHI,True,2021
Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DAL,3,K,PHI,True,2021
Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,3,K,PHI,True,2021
Connor Hughes,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,3,K,PHI,True,2021
Randy Bullock,1,1,100.0,32,0,0,1,0,0,2,2,1,5.0,10.8,TEN,3,K,IND,True,2021
Sam Ficken,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,TEN,3,K,IND,True,2021
Giorgio Tavecchio,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,TEN,3,K,IND,True,2021
Chris Boswell,1,2,50.0,26,0,1,0,0,0,1,1,1,4.0,51.0,PIT,3,K,CIN,True,2021
Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,3,K,CIN,True,2021
Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,PIT,3,K,CIN,True,2021
Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,3,K,CIN,True,2021
Robbie Gould,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,22.5,SF,3,K,GB,True,2021
Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,3,K,GB,True,2021
MacKenzie Hoambrecker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,3,K,GB,True,2021
Andrew Jacas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,3,K,GB,True,2021
Tristan Vizcaino,1,1,100.0,24,0,1,0,0,0,1,3,1,4.0,0.8,FA,3,K,,,2021
Aldrick Rosas,0,2,0.0,0,0,0,0,0,0,4,4,1,4.0,1.8,FA,3,K,,,2021
Josh Lambo,0,0,0.0,0,0,0,0,0,0,1,3,1,1.0,3.2,FA,3,K,,,2021
Jake Elliott,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,22.5,PHI,3,K,DAL,False,2021
Dustin Hopkins,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,14.5,LAC,3,K,KC,False,2021
Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.7,LAC,3,K,KC,False,2021
Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,NYJ,3,K,DEN,False,2021
Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.1,NYJ,3,K,DEN,False,2021
Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,3,K,DEN,False,2021
Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,3,K,DEN,False,2021
Sergio Castillo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,3,K,DEN,False,2021
Ka'imi Fairbairn,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.8,HOU,3,K,CAR,True,2021
Wil Lutz,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,3.3,NO,3,K,NE,False,2021
Brett Maher,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.9,NO,3,K,NE,False,2021
Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DET,3,K,BAL,True,2021
Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,DET,3,K,BAL,True,2021
Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,JAC,3,K,ARI,True,2021
Tyler Bass,4,4,100.0,33,0,3,1,0,0,4,4,1,16.0,84.8,BUF,4,K,HOU,True,2021
Ryan Succop,4,5,80.0,48,0,2,0,2,0,1,1,1,15.0,57.4,TB,4,K,NE,False,2021
Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,4,K,NE,False,2021
Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,4,K,NE,False,2021
Matt Prater,3,3,100.0,55,0,2,0,0,1,4,4,1,15.0,52.8,ARI,4,K,LAR,False,2021
Justin Tucker,3,3,100.0,46,0,1,0,2,0,2,2,1,13.0,98.0,BAL,4,K,DEN,False,2021
Jake Elliott,3,3,100.0,31,0,2,1,0,0,3,3,1,12.0,22.5,PHI,4,K,KC,True,2021
Randy Bullock,3,4,75.0,46,0,0,1,2,0,1,1,1,12.0,10.8,TEN,4,K,NYJ,False,2021
Sam Ficken,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,TEN,4,K,NYJ,False,2021
Giorgio Tavecchio,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,TEN,4,K,NYJ,False,2021
Rodrigo Blankenship,2,2,100.0,43,0,0,1,1,0,3,3,1,10.0,4.1,IND,4,K,MIA,False,2021
Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,19.9,IND,4,K,MIA,False,2021
