player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,rost,team,week,position,opponent,home,year
Justin Tucker,2,2,100.0,41,0,0,1,1,0,5,5,1,12.0,98.0,BAL,1,K,BUF,True,2018
Jason Myers,2,2,100.0,35,0,0,2,0,0,6,6,1,12.0,22.1,SEA,1,K,DEN,False,2018
Ryan Succop,2,2,100.0,53,0,0,0,1,1,2,2,1,11.0,57.4,TB,1,K,NO,False,2018
Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,1,K,NO,False,2018
Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,1,K,NO,False,2018
Robbie Gould,3,3,100.0,42,0,1,1,1,0,1,1,1,11.0,22.5,SF,1,K,MIN,False,2018
Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,1,K,MIN,False,2018
MacKenzie Hoambrecker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,1,K,MIN,False,2018
Andrew Jacas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,1,K,MIN,False,2018
Randy Bullock,2,2,100.0,42,0,0,1,1,0,4,4,1,11.0,10.8,TEN,1,K,MIA,False,2018
Sam Ficken,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,TEN,1,K,MIA,False,2018
Giorgio Tavecchio,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,TEN,1,K,MIA,False,2018
Ka'imi Fairbairn,2,2,100.0,42,0,0,1,1,0,2,2,1,9.0,0.8,HOU,1,K,NE,False,2018
Jason Sanders,2,2,100.0,30,0,1,1,0,0,3,3,1,9.0,22.6,MIA,1,K,TEN,True,2018
Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,33.3,MIA,1,K,TEN,True,2018
Harrison Butker,1,1,100.0,46,0,0,0,1,0,5,5,1,9.0,76.6,KC,1,K,LAC,False,2018
Daniel Carlson,1,1,100.0,48,0,0,0,1,0,3,3,1,7.0,74.3,LV,1,K,LAR,True,2018
Mason Crosby,1,1,100.0,42,0,0,0,1,0,3,3,1,7.0,40.7,GB,1,K,CHI,True,2018
JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GB,1,K,CHI,True,2018
Wil Lutz,1,1,100.0,36,0,0,1,0,0,3,3,1,6.0,3.3,NO,1,K,TB,True,2018
Brett Maher,0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,1.9,NO,1,K,TB,True,2018
Dustin Hopkins,1,1,100.0,31,0,0,1,0,0,3,3,1,6.0,14.5,LAC,1,K,KC,True,2018
Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.7,LAC,1,K,KC,True,2018
Matt Prater,1,3,33.3,21,0,1,0,0,0,2,2,1,5.0,52.8,ARI,1,K,WAS,True,2018
Graham Gano,1,1,100.0,27,0,1,0,0,0,1,1,1,4.0,31.4,NYG,1,K,JAC,True,2018
Mark Hickok,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYG,1,K,JAC,True,2018
Jake Elliott,1,1,100.0,26,0,1,0,0,0,1,1,1,4.0,22.5,PHI,1,K,ATL,True,2018
Zane Gonzalez,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,2.6,CAR,1,K,DAL,True,2018
Alex Kessman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,1,K,DAL,True,2018
Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,CAR,1,K,DAL,True,2018
Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,1,K,DAL,True,2018
Chris Boswell,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,51.0,PIT,1,K,CLE,False,2018
Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,1,K,CLE,False,2018
Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,1,K,CLE,False,2018
Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,1,K,CLE,False,2018
Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,CLE,1,K,PIT,True,2018
Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,7.1,CLE,1,K,PIT,True,2018
Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CLE,1,K,PIT,True,2018
Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,JAC,1,K,NYG,False,2018
Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DET,1,K,NYJ,True,2018
Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,DET,1,K,NYJ,True,2018
Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,NYJ,1,K,DET,False,2018
Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NYJ,1,K,DET,False,2018
Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,1,K,DET,False,2018
Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,1,K,DET,False,2018
Sergio Castillo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,1,K,DET,False,2018
Matt Gay,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,89.8,LAR,1,K,LV,False,2018
Ryan Santoso,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,LAR,1,K,LV,False,2018
Austin MacGinnis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,LAR,1,K,LV,False,2018
Kai Forbath,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,3.0,LAR,1,K,LV,False,2018
Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,69.1,MIN,1,K,SF,True,2018
Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,19.9,IND,1,K,CIN,True,2018
Rodrigo Blankenship,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,4.1,IND,1,K,CIN,True,2018
Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,IND,1,K,CIN,True,2018
Younghoe Koo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,40.9,ATL,1,K,PHI,False,2018
Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,1,K,PHI,False,2018
Garrett Lindholm,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,1,K,PHI,False,2018
Evan McPherson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,34.2,CIN,1,K,IND,False,2018
Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NE,1,K,HOU,True,2018
Nick Folk,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,81.8,NE,1,K,HOU,True,2018
Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,6.6,WAS,1,K,ARI,False,2018
Joey Slye,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.6,WAS,1,K,ARI,False,2018
Saverio Rocca,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,1,K,ARI,False,2018
Clint Stitser,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,1,K,ARI,False,2018
Tyler Bass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,84.8,BUF,1,K,BAL,False,2018
Cairo Santos,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.1,CHI,1,K,GB,False,2018
Mason Crosby,5,6,83.3,48,0,0,3,2,0,2,2,1,19.0,40.7,GB,2,K,MIN,True,2018
JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GB,2,K,MIN,True,2018
Robbie Gould,3,3,100.0,45,0,0,1,2,0,3,3,1,14.0,22.5,SF,2,K,DET,True,2018
Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,2,K,DET,True,2018
MacKenzie Hoambrecker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,2,K,DET,True,2018
Andrew Jacas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,2,K,DET,True,2018
Dustin Hopkins,3,4,75.0,49,0,1,0,2,0,0,0,1,11.0,14.5,LAC,2,K,BUF,False,2018
Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.7,LAC,2,K,BUF,False,2018
Randy Bullock,2,2,100.0,40,0,1,0,1,0,4,4,1,11.0,10.8,TEN,2,K,HOU,True,2018
Sam Ficken,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,TEN,2,K,HOU,True,2018
Giorgio Tavecchio,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,TEN,2,K,HOU,True,2018
Matt Prater,2,2,100.0,43,0,1,0,1,0,3,3,1,10.0,52.8,ARI,2,K,LAR,False,2018
Stephen Hauschka,2,2,100.0,43,0,0,0,2,0,2,2,1,10.0,0.0,FA,2,K,,,2018
Stephen Gostkowski,2,3,66.7,46,0,1,0,1,0,2,2,1,9.0,0.1,FA,2,K,,,2018
Mike Nugent,2,2,100.0,46,0,1,0,1,0,1,2,1,8.0,1.0,FA,2,K,,,2018
Matt Bryant,1,1,100.0,44,0,0,0,1,0,4,4,1,8.0,1.1,FA,2,K,,,2018
Aldrick Rosas,2,2,100.0,38,0,1,1,0,0,1,1,1,7.0,1.8,FA,2,K,,,2018
Caleb Sturgis,1,1,100.0,24,0,1,0,0,0,4,4,1,7.0,0.0,FA,2,K,,,2018
Sebastian Janikowski,1,1,100.0,56,0,0,0,0,1,2,2,1,7.0,20.0,FA,2,K,,,2018
Josh Lambo,1,1,100.0,28,0,1,0,0,0,4,4,1,7.0,3.2,FA,2,K,,,2018
Cody Parkey,1,1,100.0,25,0,1,0,0,0,3,3,1,6.0,0.4,FA,2,K,,,2018
Chandler Catanzaro,0,0,0.0,0,0,0,0,0,0,3,4,1,3.0,0.0,FA,2,K,,,2018
Adam Vinatieri,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,0.2,FA,2,K,,,2018
Phil Dawson,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.1,FA,2,K,,,2018
Jason Myers,2,2,100.0,55,0,0,0,1,1,0,1,1,9.0,22.1,SEA,2,K,CHI,False,2018
Ryan Succop,2,2,100.0,42,0,0,1,1,0,2,2,1,9.0,57.4,TB,2,K,PHI,True,2018
Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,2,K,PHI,True,2018
Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,2,K,PHI,True,2018
Graham Gano,1,1,100.0,54,0,0,0,0,1,3,3,1,8.0,31.4,NYG,2,K,DAL,False,2018
Mark Hickok,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYG,2,K,DAL,False,2018
Brett Maher,2,2,100.0,37,0,1,1,0,0,2,2,1,8.0,1.9,NO,2,K,CLE,True,2018
Wil Lutz,2,3,66.7,44,0,0,1,1,0,1,1,1,8.0,3.3,NO,2,K,CLE,True,2018
Brandon McManus,2,2,100.0,39,0,0,2,0,0,2,2,1,8.0,44.3,DEN,2,K,LV,True,2018
Justin Tucker,1,1,100.0,55,0,0,0,0,1,2,2,1,7.0,98.0,BAL,2,K,CIN,False,2018
Zane Gonzalez,2,4,50.0,39,0,0,2,0,0,0,2,1,6.0,2.6,CAR,2,K,ATL,False,2018
Alex Kessman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,2,K,ATL,False,2018
Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,CAR,2,K,ATL,False,2018
Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,2,K,ATL,False,2018
Harrison Butker,0,0,0.0,0,0,0,0,0,0,6,6,1,6.0,76.6,KC,2,K,PIT,False,2018
Ka'imi Fairbairn,1,2,50.0,34,0,0,1,0,0,2,2,1,5.0,0.8,HOU,2,K,TEN,False,2018
Daniel Carlson,0,3,0.0,0,0,0,0,0,0,3,3,1,3.0,74.3,LV,2,K,DEN,False,2018
Chris Boswell,0,1,0.0,0,0,0,0,0,0,3,4,1,3.0,51.0,PIT,2,K,KC,True,2018
Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,2,K,KC,True,2018
Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,2,K,KC,True,2018
Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,2,K,KC,True,2018
Jake Elliott,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,22.5,PHI,2,K,TB,False,2018
Jason Sanders,0,0,0.0,0,0,0,0,0,0,2,3,1,2.0,22.6,MIA,2,K,NYJ,False,2018
Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,33.3,MIA,2,K,NYJ,False,2018
Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,NYJ,2,K,MIA,True,2018
Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NYJ,2,K,MIA,True,2018
Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,2,K,MIA,True,2018
Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,2,K,MIA,True,2018
Sergio Castillo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,2,K,MIA,True,2018
Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,6.6,WAS,2,K,IND,True,2018
Joey Slye,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.6,WAS,2,K,IND,True,2018
Saverio Rocca,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,2,K,IND,True,2018
Clint Stitser,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,2,K,IND,True,2018
Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DAL,2,K,NYG,True,2018
Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,2,K,NYG,True,2018
Greg Zuerlein,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,74.2,DAL,2,K,NYG,True,2018
Connor Hughes,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,2,K,NYG,True,2018
Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NE,2,K,JAC,False,2018
Nick Folk,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,81.8,NE,2,K,JAC,False,2018
Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,DET,2,K,SF,False,2018
Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DET,2,K,SF,False,2018
Younghoe Koo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,40.9,ATL,2,K,CAR,True,2018
Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,2,K,CAR,True,2018
Garrett Lindholm,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,2,K,CAR,True,2018
Evan McPherson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,34.2,CIN,2,K,BAL,True,2018
Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,69.1,MIN,2,K,GB,False,2018
Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,19.9,IND,2,K,WAS,False,2018
Rodrigo Blankenship,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,4.1,IND,2,K,WAS,False,2018
Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,IND,2,K,WAS,False,2018
Ryan Santoso,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,LAR,2,K,ARI,True,2018
Matt Gay,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,89.8,LAR,2,K,ARI,True,2018
Austin MacGinnis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,LAR,2,K,ARI,True,2018
Kai Forbath,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,3.0,LAR,2,K,ARI,True,2018
Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,CLE,2,K,NO,False,2018
Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,7.1,CLE,2,K,NO,False,2018
Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CLE,2,K,NO,False,2018
Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,JAC,2,K,NE,True,2018
Tyler Bass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,84.8,BUF,2,K,LAC,True,2018
Cairo Santos,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.1,CHI,2,K,SEA,True,2018
Wil Lutz,3,3,100.0,49,0,1,0,2,0,4,4,1,15.0,3.3,NO,3,K,ATL,False,2018
Brett Maher,2,2,100.0,50,0,0,1,0,1,1,1,1,9.0,1.9,NO,3,K,ATL,False,2018
Matt Prater,4,4,100.0,38,0,1,3,0,0,2,2,1,14.0,52.8,ARI,3,K,CHI,True,2018
Justin Tucker,2,3,66.7,52,0,0,0,0,2,3,3,1,13.0,98.0,BAL,3,K,DEN,True,2018
Cody Parkey,3,4,75.0,43,0,1,0,2,0,1,1,1,12.0,0.4,FA,3,K,,,2018
Stephen Hauschka,2,2,100.0,50,0,0,1,0,1,3,3,1,11.0,0.0,FA,3,K,,,2018
Mike Nugent,2,2,100.0,52,0,1,0,0,1,2,2,1,10.0,1.0,FA,3,K,,,2018
Aldrick Rosas,2,2,100.0,44,0,0,1,1,0,3,3,1,10.0,1.8,FA,3,K,,,2018
Adam Vinatieri,3,3,100.0,35,0,1,2,0,0,1,1,1,10.0,0.2,FA,3,K,,,2018
Chandler Catanzaro,2,2,100.0,28,0,2,0,0,0,3,3,1,9.0,0.0,FA,3,K,,,2018
Sebastian Janikowski,1,1,100.0,47,0,0,0,1,0,3,3,1,7.0,20.0,FA,3,K,,,2018
Josh Lambo,2,2,100.0,46,0,0,1,1,0,0,0,1,7.0,3.2,FA,3,K,,,2018
Caleb Sturgis,1,1,100.0,26,0,1,0,0,0,2,3,1,5.0,0.0,FA,3,K,,,2018
Stephen Gostkowski,1,1,100.0,36,0,0,1,0,0,1,1,1,4.0,0.1,FA,3,K,,,2018
Matt Bryant,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,1.1,FA,3,K,,,2018
Phil Dawson,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,0.1,FA,3,K,,,2018
Dan Bailey,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,FA,3,K,,,2018
Ka'imi Fairbairn,3,3,100.0,54,0,2,0,0,1,1,1,1,12.0,0.8,HOU,3,K,NYG,True,2018
Ryan Succop,3,4,75.0,39,0,1,2,0,0,0,0,1,9.0,57.4,TB,3,K,PIT,True,2018
Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,3,K,PIT,True,2018
Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,3,K,PIT,True,2018
Jake Elliott,2,3,66.7,33,0,1,1,0,0,2,2,1,8.0,22.5,PHI,3,K,IND,True,2018
Harrison Butker,1,1,100.0,37,0,0,1,0,0,5,5,1,8.0,76.6,KC,3,K,SF,True,2018
Greg Joseph,2,2,100.0,45,0,1,0,1,0,1,1,1,8.0,69.1,MIN,3,K,BUF,True,2018
Graham Gano,1,1,100.0,40,0,0,0,1,0,4,4,1,8.0,31.4,NYG,3,K,HOU,False,2018
Mark Hickok,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYG,3,K,HOU,False,2018
Dustin Hopkins,1,1,100.0,35,0,0,1,0,0,4,4,1,7.0,14.5,LAC,3,K,LAR,False,2018
Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.7,LAC,3,K,LAR,False,2018
Robbie Gould,2,2,100.0,39,0,0,2,0,0,1,2,1,7.0,22.5,SF,3,K,KC,False,2018
Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,3,K,KC,False,2018
MacKenzie Hoambrecker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,3,K,KC,False,2018
Andrew Jacas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,3,K,KC,False,2018
Mason Crosby,1,1,100.0,41,0,0,0,1,0,2,2,1,6.0,40.7,GB,3,K,WAS,False,2018
JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GB,3,K,WAS,False,2018
Chris Boswell,1,2,50.0,38,0,0,1,0,0,3,4,1,6.0,51.0,PIT,3,K,TB,False,2018
Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,3,K,TB,False,2018
Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,3,K,TB,False,2018
Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,3,K,TB,False,2018
Sam Ficken,0,1,0.0,0,0,0,0,0,0,5,5,1,5.0,0.1,TEN,3,K,JAC,False,2018
Randy Bullock,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,10.8,TEN,3,K,JAC,False,2018
Giorgio Tavecchio,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,TEN,3,K,JAC,False,2018
Jason Myers,1,1,100.0,28,0,1,0,0,0,2,2,1,5.0,22.1,SEA,3,K,DAL,True,2018
Jason Sanders,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,22.6,MIA,3,K,LV,True,2018
Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,33.3,MIA,3,K,LV,True,2018
Brandon McManus,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,44.3,DEN,3,K,BAL,False,2018
Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DAL,3,K,SEA,False,2018
Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,3,K,SEA,False,2018
Greg Zuerlein,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,74.2,DAL,3,K,SEA,False,2018
Connor Hughes,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,3,K,SEA,False,2018
Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NE,3,K,DET,False,2018
Nick Folk,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,81.8,NE,3,K,DET,False,2018
Zane Gonzalez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.6,CAR,3,K,CIN,True,2018
Alex Kessman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,3,K,CIN,True,2018
Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,CAR,3,K,CIN,True,2018
Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,3,K,CIN,True,2018
Younghoe Koo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,40.9,ATL,3,K,NO,True,2018
Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,3,K,NO,True,2018
Garrett Lindholm,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,3,K,NO,True,2018
Daniel Carlson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,74.3,LV,3,K,MIA,False,2018
Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,NYJ,3,K,CLE,False,2018
Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NYJ,3,K,CLE,False,2018
Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,3,K,CLE,False,2018
Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,3,K,CLE,False,2018
Sergio Castillo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,3,K,CLE,False,2018
Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,DET,3,K,NE,True,2018
Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DET,3,K,NE,True,2018
Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,19.9,IND,3,K,PHI,False,2018
Rodrigo Blankenship,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,4.1,IND,3,K,PHI,False,2018
Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,IND,3,K,PHI,False,2018
Ryan Santoso,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,LAR,3,K,LAC,True,2018
