Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
81,Brandon Weeden(FA),25,36,69.4,364,10.1,1,2,1,5,11,0,0,1,0.0,0.0,0.0%
82,Kirk Cousins(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.7%
83,Eli Manning(FA),20,33,60.6,280,8.5,1,0,1,1,5,0,0,1,0.0,0.0,2.3%
84,Jay Cutler(FA),17,26,65.4,233,9.0,2,0,0,5,27,0,0,1,0.0,0.0,0.2%
85,Chase Daniel(LAC),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
86,Josh Freeman(FA),18,39,46.2,242,6.2,2,1,1,2,7,0,0,1,0.0,0.0,0.2%
87,Brady Quinn(FA),19,23,82.6,201,8.7,2,0,1,3,12,0,0,1,0.0,0.0,0.0%
88,Brett Ratliff(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
89,Brian Brohm(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
90,Brian Hoyer(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
91,Carson Palmer(FA),34,54,63.0,351,6.5,2,1,1,1,3,0,0,1,0.0,0.0,5.6%
92,Josh Johnson(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%
93,Tony Romo(FA),22,27,81.5,303,11.2,3,0,2,3,14,0,0,1,0.0,0.0,0.1%
94,Philip Rivers(FA),26,48,54.2,280,5.8,0,1,4,2,20,0,1,1,0.0,0.0,20.6%
95,Sam Bradford(FA),26,39,66.7,221,5.7,0,0,2,3,31,0,0,1,0.0,0.0,0.0%
96,Colt McCoy(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4%
97,Peyton Manning(FA),27,38,71.1,242,6.4,3,1,0,2,-5,0,0,1,0.0,0.0,0.0%
98,Keith Null(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
99,Mark Sanchez(FA),10,21,47.6,97,4.6,0,3,3,1,2,0,0,1,0.0,0.0,0.1%
100,Mitchell Trubisky(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4%
101,Nate Sudfeld(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
102,Kevin Hogan(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
103,Patrick Mahomes II(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0%
104,Jared Goff(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3%
105,Carson Wentz(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0%
106,Dak Prescott(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.2%
107,Jeff Driskel(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
108,Jacoby Brissett(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%
109,Brandon Allen(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4%
