player,position,games,snaps,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,team,opponent,home
George Kittle,TE,1.0,65.0,93.0,0.0,3.0,2.0,3.0,1.3,2.0,12,2021,1.0,2.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,MIN,True
Charlie Woerner,TE,1.0,19.0,27.0,0.0,5.0,5.0,5.0,1.1,5.8,12,2021,1.0,1.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,MIN,True
Eric Saubert,TE,1.0,19.0,31.0,0.0,5.0,5.0,5.0,6.1,32.1,12,2021,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,DEN,LAC,True
Noah Fant,TE,1.0,53.0,85.0,0.0,8.0,6.0,8.0,1.2,2.3,12,2021,3.0,4.0,12.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,DEN,LAC,True
Albert Okwuegbunam,TE,1.0,28.0,45.0,0.0,7.0,4.0,7.0,1.2,4.3,12,2021,1.0,2.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,DEN,LAC,True
Pharaoh Brown,TE,1.0,34.0,60.0,0.0,3.0,0.0,3.0,0.0,0.0,12,2021,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,NYJ,True
Brevin Jordan,TE,1.0,34.0,60.0,0.0,9.0,9.0,9.0,8.3,24.4,12,2021,3.0,3.0,23.0,7.7,13.0,0.0,1.0,0.0,0.0,0.0,0.0,HOU,NYJ,True
Dallas Goedert,TE,1.0,64.0,96.0,0.0,5.0,2.0,5.0,0.0,0.0,12,2021,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,NYG,False
Mike Gesicki,TE,1.0,59.0,80.0,0.0,5.0,5.0,5.0,1.7,2.9,12,2021,3.0,3.0,17.0,5.7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,CAR,True
Durham Smythe,TE,1.0,66.0,89.0,3.0,8.0,11.0,11.0,3.5,5.3,12,2021,5.0,5.0,32.0,6.4,11.0,0.0,0.0,2.0,3.0,0.0,0.0,MIA,CAR,True
Dalton Schultz,TE,1.0,71.0,96.0,0.0,10.0,4.0,10.0,12.6,17.7,12,2021,3.0,7.0,46.0,15.3,32.0,0.0,1.0,0.0,0.0,0.0,0.0,DAL,LV,True
