player,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fantasy_points,team,week,position
Geoff Swaim,1.3,13.3,0.1,0.0,1.8,TEN,2,TE
Cameron Brate,1.1,11.4,0.1,0.0,1.7,TB,2,TE
Ryan Griffin,1.4,13.6,0.1,0.0,1.7,NYJ,2,TE
Maxx Williams,1.1,12.8,0.1,0.0,1.6,ARI,2,TE
O.J. Howard,0.9,12.4,0.1,0.0,1.6,TB,2,TE
Durham Smythe,1.2,11.0,0.1,0.0,1.6,MIA,2,TE
Marcedes Lewis,0.8,10.1,0.1,0.0,1.5,GB,2,TE
Demetrius Harris,0.9,9.2,0.1,0.0,1.4,ARI,2,TE
Chris Herndon IV,0.9,9.8,0.1,0.0,1.3,MIN,2,TE
Drew Sample,1.3,10.6,0.0,0.0,1.3,CIN,2,TE
Chris Manhertz,0.9,10.9,0.0,0.0,1.3,JAC,2,TE
Stephen Anderson,0.8,8.1,0.1,0.0,1.3,LAC,2,TE
Kaden Smith,1.1,9.0,0.1,0.0,1.3,NYG,2,TE
Noah Gray,0.9,8.6,0.1,0.0,1.2,KC,2,TE
Ian Thomas,1.0,8.7,0.0,0.0,1.1,CAR,2,TE
Deon Yelder,0.7,7.4,0.1,0.0,1.1,ARI,2,TE
Adam Shaheen,0.7,6.9,0.1,0.0,1.0,MIA,2,TE
Eric Saubert,0.6,5.9,0.1,0.0,1.0,DEN,2,TE
Jacob Harris,0.5,6.7,0.1,0.0,1.0,LAR,2,TE
Dominique Dafney,0.5,5.5,0.1,0.0,0.9,GB,2,TE
Josh Oliver,0.7,7.6,0.0,0.0,0.9,BAL,2,TE
Tommy Sweeney,0.6,7.9,0.0,0.0,0.9,BUF,2,TE
Foster Moreau,0.5,5.8,0.1,0.0,0.9,LV,2,TE
Luke Farrell,0.6,5.7,0.1,0.0,0.9,JAC,2,TE
Ross Dwelley,0.5,5.8,0.0,0.0,0.7,SF,2,TE
MyCole Pruitt,0.5,4.3,0.1,0.0,0.7,TEN,2,TE
Tommy Tremble,0.5,5.2,0.0,0.0,0.7,CAR,2,TE
Zach Gentry,0.5,4.6,0.0,0.0,0.7,PIT,2,TE
Evan Engram,1.0,7.0,0.0,0.0,0.7,NYG,2,TE
Ben Ellefson,0.7,7.0,0.0,0.0,0.7,MIN,2,TE
Johnny Mundt,0.6,6.0,0.0,0.0,0.7,LAR,2,TE
John Bates,0.7,5.8,0.0,0.1,0.7,WAS,2,TE
Blake Bell,0.5,4.5,0.0,0.0,0.7,KC,2,TE
Darrell Daniels,0.4,4.6,0.0,0.0,0.6,ARI,2,TE
Hunter Long,0.7,6.0,0.0,0.0,0.6,MIA,2,TE
Reggie Gilliam,0.3,2.9,0.1,0.0,0.6,BUF,2,TE
Chris Myarick,0.6,5.5,0.0,0.0,0.6,CIN,2,TE
Jesse James,0.3,3.0,0.0,0.0,0.5,CHI,2,TE
Josiah Deguara,0.4,4.0,0.0,0.0,0.4,GB,2,TE
Charlie Woerner,0.3,3.6,0.0,0.0,0.4,SF,2,TE
Luke Stocker,0.3,2.4,0.0,0.0,0.4,MIN,2,TE
Trevon Wesco,0.3,3.5,0.0,0.0,0.4,NYJ,2,TE
Cethan Carter,0.2,1.4,0.0,0.0,0.3,MIA,2,TE
J.P. Holtz,0.3,3.1,0.0,0.0,0.3,CHI,2,TE
Jack Stoll,0.2,3.0,0.0,0.0,0.3,PHI,2,TE
Jody Fortson,0.3,3.0,0.0,0.0,0.3,KC,2,TE
Derek Carrier,0.2,2.7,0.0,0.0,0.3,LV,2,TE
Garrett Griffin,0.2,2.3,0.0,0.0,0.2,NO,2,TE
Antony Auclair,0.2,2.2,0.0,0.0,0.2,HOU,2,TE
Parker Hesse,0.1,2.0,0.0,0.0,0.2,ATL,2,TE
Eric Tomlinson,0.2,2.0,0.0,0.0,0.2,BAL,2,TE
Tyler Mabry,0.2,2.0,0.0,0.0,0.2,SEA,2,TE
Kylen Granson,0.2,2.0,0.0,0.0,0.2,IND,2,TE
Ricky Seals-Jones,0.1,1.7,0.0,0.0,0.2,WAS,2,TE
Sean McKeon,0.1,0.6,0.0,0.0,0.1,DAL,2,TE
Codey McElroy,0.1,0.5,0.0,0.0,0.1,TB,2,TE
Jace Sternberger,0.1,0.5,0.0,0.0,0.1,PIT,2,TE
Colby Parkinson,0.1,0.5,0.0,0.0,0.1,SEA,2,TE
Jeremy Sprinkle,0.1,0.8,0.0,0.0,0.1,DAL,2,TE
Mitchell Wilcox,0.1,1.0,0.0,0.0,0.1,CIN,2,TE
Brycen Hopkins,0.1,1.0,0.0,0.0,0.1,LAR,2,TE
Daniel Brown,0.1,0.7,0.0,0.0,0.1,NYJ,2,TE
Brandon Dillon,0.1,0.7,0.0,0.0,0.1,NYJ,2,TE
Hunter Bryant,0.1,0.5,0.0,0.0,0.1,DET,2,TE
Jared Pinkney,0.1,0.5,0.0,0.0,0.1,DET,2,TE
Richard Rodgers,0.0,0.5,0.0,0.0,0.1,PHI,2,TE
Jason Croom,0.1,0.5,0.0,0.0,0.0,PHI,2,TE
Nick Vannett,0.0,0.5,0.0,0.0,0.0,NO,2,TE
Travis Kelce,6.9,88.4,0.8,0.1,13.5,KC,3,TE
Darren Waller,7.0,83.3,0.6,0.1,12.0,LV,3,TE
George Kittle,5.2,64.9,0.5,0.1,9.5,SF,3,TE
Mark Andrews,4.8,58.8,0.6,0.0,9.5,BAL,3,TE
T.J. Hockenson,5.6,63.2,0.5,0.1,9.3,DET,3,TE
Rob Gronkowski,3.7,46.2,0.6,0.0,8.4,TB,3,TE
Noah Fant,4.5,51.4,0.5,0.0,7.9,DEN,3,TE
Kyle Pitts,4.6,52.9,0.4,0.0,7.6,ATL,3,TE
Tyler Higbee,4.0,44.6,0.4,0.0,6.9,LAR,3,TE
Logan Thomas,4.2,42.7,0.4,0.0,6.7,WAS,3,TE
Jared Cook,3.5,43.9,0.3,0.0,6.4,LAC,3,TE
Robert Tonyan,3.3,37.0,0.4,0.0,5.8,GB,3,TE
Dallas Goedert,3.5,39.8,0.3,0.0,5.8,PHI,3,TE
Austin Hooper,3.4,35.4,0.2,0.0,5.0,CLE,3,TE
Mike Gesicki,2.8,34.1,0.2,0.0,4.7,MIA,3,TE
Hunter Henry,2.9,34.4,0.2,0.0,4.7,NE,3,TE
Jonnu Smith,3.0,32.7,0.2,0.0,4.5,NE,3,TE
Dawson Knox,2.6,29.8,0.2,0.0,4.5,BUF,3,TE
Cole Kmet,3.1,32.4,0.2,0.0,4.4,CHI,3,TE
Jack Doyle,2.9,31.3,0.2,0.0,4.2,IND,3,TE
Blake Jarwin,2.6,29.9,0.2,0.0,4.0,DAL,3,TE
Dalton Schultz,3.0,29.5,0.2,0.0,3.9,DAL,3,TE
Evan Engram,2.8,28.9,0.2,0.0,3.8,NYG,3,TE
