player,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fantasy_points,team,week,position
Donald Parham Jr.,1.5,15.7,0.2,0.0,2.5,LAC,8,TE
Durham Smythe,1.8,18.1,0.1,0.0,2.5,MIA,8,TE
Anthony Firkser,1.7,18.8,0.1,0.0,2.4,TEN,8,TE
Ian Thomas,1.6,17.5,0.1,0.0,2.4,CAR,8,TE
Pharaoh Brown,1.9,19.8,0.1,0.0,2.4,HOU,8,TE
Blake Jarwin,1.7,18.5,0.1,0.0,2.4,DAL,8,TE
MyCole Pruitt,1.2,13.9,0.2,0.0,2.4,TEN,8,TE
Jack Doyle,1.6,16.3,0.1,0.0,2.4,IND,8,TE
Tommy Tremble,1.5,16.6,0.1,0.0,2.3,CAR,8,TE
Will Dissly,1.4,16.8,0.1,0.0,2.3,SEA,8,TE
O.J. Howard,1.4,17.3,0.1,0.0,2.3,TB,8,TE
Tyler Kroft,1.6,15.2,0.1,0.0,2.3,NYJ,8,TE
Charlie Woerner,1.4,14.1,0.1,0.0,2.1,SF,8,TE
Ross Dwelley,1.4,14.6,0.1,0.0,2.0,SF,8,TE
Cameron Brate,1.4,14.7,0.1,0.0,2.0,TB,8,TE
Marcedes Lewis,1.3,14.4,0.1,0.0,1.9,GB,8,TE
Harrison Bryant,1.1,13.1,0.1,0.0,1.8,CLE,8,TE
Ryan Griffin,1.6,15.1,0.1,0.0,1.8,NYJ,8,TE
Brevin Jordan,1.2,12.8,0.1,0.0,1.8,HOU,8,TE
Kyle Rudolph,1.3,12.6,0.1,0.0,1.7,NYG,8,TE
Jack Stoll,1.1,12.2,0.1,0.0,1.7,PHI,8,TE
Dominique Dafney,1.0,11.2,0.1,0.0,1.7,GB,8,TE
Geoff Swaim,1.3,12.7,0.1,0.0,1.7,TEN,8,TE
Juwan Johnson,1.0,10.5,0.1,0.0,1.6,NO,8,TE
Adam Shaheen,1.2,11.8,0.1,0.0,1.6,MIA,8,TE
Richard Rodgers,0.7,9.0,0.1,0.0,1.5,PHI,8,TE
Jimmy Graham,0.8,8.8,0.1,0.0,1.5,CHI,8,TE
Brycen Hopkins,0.7,8.2,0.1,0.0,1.4,LAR,8,TE
Chris Herndon IV,0.9,9.1,0.1,0.0,1.4,MIN,8,TE
Devin Asiasi,0.7,7.9,0.1,0.0,1.4,NE,8,TE
Daniel Helm,0.7,7.8,0.1,0.0,1.4,ATL,8,TE
Hunter Long,0.8,7.6,0.1,0.0,1.4,MIA,8,TE
Zach Gentry,0.9,9.2,0.1,0.0,1.3,PIT,8,TE
Jesse James,1.0,9.5,0.1,0.0,1.3,CHI,8,TE
James O'Shaughnessy,1.3,11.6,0.0,0.0,1.2,JAC,8,TE
Eric Saubert,0.9,8.1,0.1,0.0,1.1,DEN,8,TE
Jacob Hollister,0.7,5.0,0.1,0.0,1.1,JAC,8,TE
Kylen Granson,0.7,6.2,0.1,0.0,1.0,IND,8,TE
Antony Auclair,0.7,7.0,0.1,0.0,1.0,HOU,8,TE
Darrell Daniels,0.8,6.8,0.1,0.0,1.0,ARI,8,TE
Reggie Gilliam,0.4,3.6,0.1,0.0,1.0,BUF,8,TE
Blake Bell,0.6,6.1,0.1,0.0,0.9,KC,8,TE
Luke Farrell,0.8,7.4,0.0,0.0,0.9,JAC,8,TE
Stephen Anderson,0.7,7.4,0.0,0.0,0.9,LAC,8,TE
Noah Gray,0.6,6.5,0.0,0.0,0.8,KC,8,TE
Tre' McKitty,0.6,5.4,0.1,0.0,0.8,LAC,8,TE
Daniel Brown,0.5,5.3,0.1,0.0,0.8,NYJ,8,TE
Chris Manhertz,0.6,6.3,0.0,0.0,0.8,JAC,8,TE
Jacob Harris,0.4,4.6,0.1,0.0,0.8,LAR,8,TE
Drew Sample,0.5,4.6,0.1,0.0,0.8,CIN,8,TE
Andrew Beck,0.4,4.3,0.1,0.0,0.7,DEN,8,TE
Jesper Horsted,0.4,3.7,0.1,0.0,0.7,CHI,8,TE
Colin Thompson,0.4,3.4,0.1,0.0,0.6,CAR,8,TE
Kendall Blanton,0.4,5.0,0.0,0.0,0.5,LAR,8,TE
Garrett Griffin,0.5,5.0,0.0,0.0,0.5,NO,8,TE
Matt Bushman,0.4,5.0,0.0,0.0,0.5,KC,8,TE
Trevon Wesco,0.3,3.5,0.0,0.0,0.4,NYJ,8,TE
Demetrius Harris,0.4,4.0,0.0,0.0,0.4,ARI,8,TE
Kaden Smith,0.5,3.7,0.0,0.0,0.4,NYG,8,TE
J.P. Holtz,0.3,3.2,0.0,0.0,0.3,CHI,8,TE
Cethan Carter,0.2,2.0,0.0,0.0,0.2,MIA,8,TE
Luke Stocker,0.2,2.0,0.0,0.0,0.2,MIN,8,TE
Mitchell Wilcox,0.1,1.0,0.0,0.0,0.1,CIN,8,TE
Giovanni Ricci,0.1,0.5,0.0,0.0,0.1,CAR,8,TE
Jeremy Sprinkle,0.0,0.0,0.0,0.0,0.0,DAL,8,TE
Travis Kelce,6.5,77.8,0.6,0.1,11.3,KC,9,TE
Darren Waller,6.3,77.5,0.6,0.1,11.0,LV,9,TE
Mark Andrews,5.0,64.2,0.6,0.0,9.8,BAL,9,TE
Mike Gesicki,4.9,59.7,0.5,0.0,8.8,MIA,9,TE
Dallas Goedert,4.3,51.8,0.5,0.0,7.9,PHI,9,TE
Kyle Pitts,5.0,62.9,0.2,0.0,7.7,ATL,9,TE
Dalton Schultz,4.4,47.8,0.3,0.0,6.6,DAL,9,TE
Hunter Henry,3.3,37.0,0.4,0.0,6.2,NE,9,TE
Dan Arnold,3.7,40.6,0.3,0.0,5.8,JAC,9,TE
Jared Cook,3.4,41.9,0.3,0.0,5.8,LAC,9,TE
George Kittle,3.7,45.5,0.2,0.0,5.7,SF,9,TE
Zach Ertz,4.0,41.2,0.2,0.0,5.6,ARI,9,TE
Tyler Higbee,3.5,37.9,0.3,0.0,5.4,LAR,9,TE
Albert Okwuegbunam,4.0,39.4,0.2,0.1,5.1,DEN,9,TE
Pat Freiermuth,3.4,37.3,0.2,0.0,5.0,PIT,9,TE
Tyler Conklin,3.5,38.4,0.2,0.0,4.9,MIN,9,TE
C.J. Uzomah,2.5,28.9,0.3,0.0,4.5,CIN,9,TE
Evan Engram,3.7,34.8,0.1,0.0,4.3,NYG,9,TE
Austin Hooper,3.0,31.7,0.2,0.0,4.3,CLE,9,TE
Cole Kmet,3.2,32.8,0.1,0.0,4.0,CHI,9,TE
Tommy Sweeney,2.5,27.4,0.2,0.0,4.0,BUF,9,TE
Mo Alie-Cox,2.1,25.5,0.2,0.0,3.9,IND,9,TE
David Njoku,2.2,29.4,0.1,0.0,3.7,CLE,9,TE
Jordan Akins,2.7,28.1,0.1,0.0,3.4,HOU,9,TE
Nick Boyle,2.0,22.3,0.2,0.0,3.4,BAL,9,TE
Adam Trautman,2.2,24.3,0.1,0.0,3.2,NO,9,TE
Jonnu Smith,2.3,23.5,0.1,0.0,3.2,NE,9,TE
Hayden Hurst,2.4,25.1,0.1,0.0,3.2,ATL,9,TE
Jack Doyle,1.7,17.6,0.2,0.0,2.7,IND,9,TE
Donald Parham Jr.,1.3,14.2,0.2,0.0,2.4,LAC,9,TE
Anthony Firkser,1.8,18.2,0.1,0.0,2.3,TEN,9,TE
Blake Jarwin,2.0,23.0,0.0,0.0,2.3,DAL,9,TE
Durham Smythe,1.6,16.7,0.1,0.0,2.2,MIA,9,TE
Tommy Tremble,1.6,17.5,0.1,0.0,2.2,CAR,9,TE
Brevin Jordan,1.4,15.3,0.1,0.0,2.2,HOU,9,TE
Tyler Kroft,1.4,13.7,0.1,0.0,2.1,NYJ,9,TE
MyCole Pruitt,1.3,14.3,0.1,0.0,2.1,TEN,9,TE
Charlie Woerner,1.5,15.2,0.1,0.0,2.1,SF,9,TE
Foster Moreau,1.4,14.6,0.1,0.0,2.1,LV,9,TE
Marcedes Lewis,1.5,16.4,0.1,0.0,2.1,GB,9,TE
Geoff Swaim,1.6,14.8,0.1,0.0,2.0,TEN,9,TE
Kyle Rudolph,1.4,12.9,0.1,0.0,1.9,NYG,9,TE
Harrison Bryant,1.1,12.8,0.1,0.0,1.8,CLE,9,TE
Josiah Deguara,1.4,13.4,0.1,0.0,1.8,GB,9,TE
Adam Shaheen,1.2,12.8,0.1,0.0,1.8,MIA,9,TE
Jack Stoll,1.1,12.1,0.1,0.0,1.7,PHI,9,TE
Ryan Griffin,1.2,12.9,0.1,0.0,1.7,NYJ,9,TE
Juwan Johnson,0.9,11.7,0.1,0.0,1.6,NO,9,TE
Ian Thomas,1.1,13.0,0.0,0.0,1.6,CAR,9,TE
Zach Gentry,1.1,11.3,0.1,0.0,1.6,PIT,9,TE
Eric Saubert,1.2,11.3,0.1,0.0,1.6,DEN,9,TE
Richard Rodgers,0.7,9.0,0.1,0.0,1.5,PHI,9,TE
Dominique Dafney,0.8,8.3,0.1,0.0,1.4,GB,9,TE
Brycen Hopkins,0.7,8.2,0.1,0.0,1.4,LAR,9,TE
Chris Herndon IV,0.9,9.0,0.1,0.1,1.4,MIN,9,TE
Daniel Helm,0.7,7.8,0.1,0.0,1.4,ATL,9,TE
Jimmy Graham,0.9,10.4,0.1,0.0,1.3,CHI,9,TE
Jesse James,1.0,9.4,0.1,0.0,1.3,CHI,9,TE
Ross Dwelley,0.9,9.1,0.1,0.0,1.3,SF,9,TE
Garrett Griffin,0.8,8.9,0.1,0.0,1.3,NO,9,TE
Sean McKeon,0.7,6.8,0.1,0.0,1.1,DAL,9,TE
Josh Oliver,0.8,8.1,0.0,0.0,1.1,BAL,9,TE
Kylen Granson,0.7,6.6,0.1,0.0,1.1,IND,9,TE
Luke Farrell,0.9,8.2,0.0,0.0,1.0,JAC,9,TE
Reggie Gilliam,0.4,3.6,0.1,0.0,1.0,BUF,9,TE
Blake Bell,0.7,6.1,0.1,0.0,0.9,KC,9,TE
Antony Auclair,0.6,6.1,0.1,0.0,0.9,HOU,9,TE
Tre' McKitty,0.6,5.4,0.1,0.0,0.8,LAC,9,TE
Noah Gray,0.6,6.2,0.0,0.0,0.8,KC,9,TE
Jacob Harris,0.4,4.6,0.1,0.0,0.8,LAR,9,TE
Drew Sample,0.5,4.6,0.1,0.0,0.8,CIN,9,TE
Stephen Anderson,0.7,6.4,0.0,0.0,0.8,LAC,9,TE
Chris Manhertz,0.5,4.5,0.1,0.0,0.7,JAC,9,TE
Andrew Beck,0.4,3.8,0.1,0.0,0.7,DEN,9,TE
Colin Thompson,0.4,3.4,0.1,0.0,0.6,CAR,9,TE
Jesper Horsted,0.4,3.2,0.1,0.0,0.6,CHI,9,TE
Demetrius Harris,0.5,6.0,0.0,0.0,0.6,ARI,9,TE
David Wells,0.6,5.7,0.0,0.0,0.6,ARI,9,TE
Kendall Blanton,0.4,5.0,0.0,0.0,0.5,LAR,9,TE
Kaden Smith,0.5,3.7,0.0,0.0,0.4,NYG,9,TE
Darrell Daniels,0.3,2.8,0.0,0.0,0.3,ARI,9,TE
Trevon Wesco,0.2,2.5,0.0,0.0,0.3,NYJ,9,TE
Eric Tomlinson,0.2,2.0,0.0,0.0,0.2,BAL,9,TE
Luke Stocker,0.2,2.0,0.0,0.0,0.2,MIN,9,TE
Jeremy Sprinkle,0.2,2.0,0.0,0.0,0.2,DAL,9,TE
Cethan Carter,0.2,1.9,0.0,0.0,0.2,MIA,9,TE
Mitchell Wilcox,0.1,1.0,0.0,0.0,0.1,CIN,9,TE
Daniel Brown,0.1,1.0,0.0,0.0,0.1,NYJ,9,TE
Tyree Jackson,0.1,1.0,0.0,0.0,0.1,PHI,9,TE
Giovanni Ricci,0.1,0.5,0.0,0.0,0.1,CAR,9,TE
Travis Kelce,6.5,79.0,0.6,0.1,11.5,KC,10,TE
Darren Waller,6.6,81.1,0.6,0.1,11.4,LV,10,TE
Kyle Pitts,5.4,71.8,0.5,0.0,9.8,ATL,10,TE
Mark Andrews,4.8,61.2,0.6,0.0,9.5,BAL,10,TE
George Kittle,5.1,60.9,0.4,0.1,8.6,SF,10,TE
T.J. Hockenson,5.2,56.9,0.4,0.0,7.8,DET,10,TE
Dallas Goedert,4.3,51.9,0.4,0.0,7.7,PHI,10,TE
Mike Gesicki,4.9,58.5,0.3,0.1,7.3,MIA,10,TE
Dan Arnold,4.1,50.2,0.4,0.0,7.0,JAC,10,TE
Jared Cook,3.2,41.0,0.4,0.0,6.7,LAC,10,TE
Dalton Schultz,4.4,47.8,0.3,0.0,6.6,DAL,10,TE
Pat Freiermuth,3.4,38.5,0.4,0.0,6.5,PIT,10,TE
Hunter Henry,3.3,35.9,0.5,0.0,6.3,NE,10,TE
Dawson Knox,3.0,38.5,0.3,0.0,5.8,BUF,10,TE
Tyler Higbee,4.0,42.8,0.2,0.0,5.7,LAR,10,TE
Noah Fant,4.2,42.6,0.2,0.0,5.7,DEN,10,TE
Zach Ertz,3.8,38.1,0.2,0.0,5.3,ARI,10,TE
Tyler Conklin,3.8,39.2,0.2,0.0,5.1,MIN,10,TE
Ricky Seals-Jones,3.4,35.9,0.2,0.0,4.9,WAS,10,TE
O.J. Howard,2.4,29.4,0.2,0.0,4.1,TB,10,TE
Austin Hooper,2.8,29.1,0.2,0.0,3.9,CLE,10,TE
Adam Trautman,3.0,32.5,0.1,0.1,3.9,NO,10,TE
David Njoku,2.3,29.8,0.1,0.0,3.8,CLE,10,TE
Hayden Hurst,2.5,26.7,0.2,0.0,3.5,ATL,10,TE
Cameron Brate,2.1,22.6,0.2,0.0,3.5,TB,10,TE
Mo Alie-Cox,1.8,22.6,0.2,0.0,3.4,IND,10,TE
Donald Parham Jr.,1.5,17.4,0.2,0.0,2.7,LAC,10,TE
Albert Okwuegbunam,2.0,19.4,0.1,0.0,2.7,DEN,10,TE
Tommy Sweeney,1.8,17.0,0.2,0.0,2.6,BUF,10,TE
Jack Doyle,1.5,16.4,0.1,0.0,2.5,IND,10,TE
Anthony Firkser,1.9,19.1,0.1,0.0,2.4,TEN,10,TE
Geoff Swaim,1.6,15.7,0.1,0.0,2.3,TEN,10,TE
Josiah Deguara,1.5,14.6,0.1,0.0,2.2,GB,10,TE
Ryan Griffin,1.8,16.2,0.1,0.0,2.1,NYJ,10,TE
Tommy Tremble,1.5,15.8,0.1,0.0,2.0,CAR,10,TE
Dominique Dafney,1.2,14.0,0.1,0.0,2.0,GB,10,TE
Will Dissly,1.3,14.6,0.1,0.0,2.0,SEA,10,TE
Harrison Bryant,1.2,14.1,0.1,0.0,2.0,CLE,10,TE
Marcedes Lewis,1.4,14.6,0.1,0.0,2.0,GB,10,TE
Durham Smythe,1.3,13.6,0.1,0.0,1.9,MIA,10,TE
MyCole Pruitt,1.1,12.8,0.1,0.0,1.8,TEN,10,TE
Foster Moreau,0.9,11.6,0.1,0.0,1.8,LV,10,TE
Ian Thomas,1.2,12.6,0.0,0.0,1.5,CAR,10,TE
Jonnu Smith,1.0,15.0,0.0,0.0,1.5,NE,10,TE
Adam Shaheen,1.1,10.9,0.1,0.0,1.5,MIA,10,TE
Chris Herndon IV,0.8,6.6,0.2,0.1,1.5,MIN,10,TE
Daniel Helm,0.8,8.5,0.1,0.0,1.5,ATL,10,TE
Charlie Woerner,1.2,11.2,0.1,0.0,1.4,SF,10,TE
Stephen Anderson,0.9,9.6,0.1,0.0,1.4,LAC,10,TE
Juwan Johnson,0.9,9.3,0.1,0.0,1.4,NO,10,TE
Sean McKeon,0.7,7.8,0.1,0.0,1.4,DAL,10,TE
Brycen Hopkins,0.7,7.1,0.1,0.0,1.3,LAR,10,TE
John Bates,1.0,8.9,0.1,0.0,1.2,WAS,10,TE
Devin Asiasi,0.7,7.6,0.1,0.0,1.1,NE,10,TE
Garrett Griffin,0.8,8.0,0.0,0.0,1.0,NO,10,TE
Blake Bell,0.7,6.7,0.1,0.0,1.0,KC,10,TE
Chris Manhertz,0.6,6.6,0.1,0.0,1.0,JAC,10,TE
Zach Gentry,0.8,7.8,0.0,0.0,1.0,PIT,10,TE
Josh Oliver,0.7,7.4,0.0,0.0,0.9,BAL,10,TE
Kylen Granson,0.5,5.9,0.1,0.0,0.9,IND,10,TE
Luke Farrell,0.7,7.5,0.0,0.0,0.9,JAC,10,TE
Jack Stoll,0.7,6.9,0.0,0.0,0.9,PHI,10,TE
Ross Dwelley,0.6,5.5,0.1,0.0,0.8,SF,10,TE
Tre' McKitty,0.5,5.2,0.1,0.0,0.8,LAC,10,TE
Brock Wright,0.6,8.0,0.0,0.0,0.8,DET,10,TE
Andrew Beck,0.3,3.2,0.1,0.0,0.6,DEN,10,TE
Eric Saubert,0.7,6.0,0.0,0.0,0.6,DEN,10,TE
Colby Parkinson,0.6,5.2,0.0,0.0,0.5,SEA,10,TE
Tyree Jackson,0.4,5.0,0.0,0.0,0.5,PHI,10,TE
Trevon Wesco,0.5,4.5,0.0,0.0,0.4,NYJ,10,TE
Noah Gray,0.4,3.9,0.0,0.0,0.4,KC,10,TE
Darrell Daniels,0.4,3.6,0.0,0.0,0.4,ARI,10,TE
Reggie Gilliam,0.4,3.3,0.0,0.0,0.3,BUF,10,TE
Sammis Reyes,0.3,3.0,0.0,0.0,0.3,WAS,10,TE
Kendall Blanton,0.2,3.0,0.0,0.0,0.3,LAR,10,TE
David Wells,0.3,3.0,0.0,0.0,0.3,ARI,10,TE
Kevin Rader,0.2,2.0,0.0,0.0,0.2,PIT,10,TE
Eric Tomlinson,0.2,2.0,0.0,0.0,0.2,BAL,10,TE
Demetrius Harris,0.2,2.0,0.0,0.0,0.2,ARI,10,TE
Luke Stocker,0.2,2.0,0.0,0.0,0.2,MIN,10,TE
Cethan Carter,0.2,1.6,0.0,0.0,0.2,MIA,10,TE
Jeremy Sprinkle,0.1,1.0,0.0,0.0,0.1,DAL,10,TE
Colin Thompson,0.1,1.0,0.0,0.0,0.1,CAR,10,TE
Giovanni Ricci,0.1,0.5,0.0,0.0,0.1,CAR,10,TE
Travis Kelce,6.4,79.4,0.6,0.1,11.4,KC,11,TE
Darren Waller,6.3,75.7,0.5,0.1,10.6,LV,11,TE
George Kittle,5.5,68.5,0.5,0.1,9.6,SF,11,TE
Kyle Pitts,5.2,68.9,0.4,0.0,9.3,ATL,11,TE
Mark Andrews,4.8,59.5,0.5,0.0,8.8,BAL,11,TE
Mike Gesicki,4.7,55.4,0.5,0.0,8.2,MIA,11,TE
Dalton Schultz,4.5,48.5,0.4,0.0,7.5,DAL,11,TE
T.J. Hockenson,4.5,49.7,0.4,0.0,7.0,DET,11,TE
Dan Arnold,4.1,49.0,0.4,0.0,7.0,JAC,11,TE
Hunter Henry,3.2,36.1,0.5,0.0,6.7,NE,11,TE
Dawson Knox,3.1,37.8,0.4,0.0,6.4,BUF,11,TE
Dallas Goedert,4.0,49.0,0.2,0.0,6.4,PHI,11,TE
Rob Gronkowski,3.1,37.6,0.3,0.0,5.8,TB,11,TE
C.J. Uzomah,2.9,31.4,0.4,0.0,5.7,CIN,11,TE
Zach Ertz,3.9,41.4,0.2,0.0,5.4,ARI,11,TE
Pat Freiermuth,3.7,37.9,0.3,0.0,5.2,PIT,11,TE
Cole Kmet,3.7,40.7,0.2,0.0,5.2,CHI,11,TE
Tyler Conklin,3.7,38.8,0.2,0.0,5.2,MIN,11,TE
Jared Cook,2.9,37.5,0.2,0.0,5.2,LAC,11,TE
Austin Hooper,3.1,33.6,0.2,0.0,4.8,CLE,11,TE
David Njoku,2.4,33.5,0.2,0.0,4.6,CLE,11,TE
Evan Engram,3.7,33.9,0.2,0.0,4.3,NYG,11,TE
Adam Trautman,3.2,33.5,0.2,0.1,4.2,NO,11,TE
Anthony Firkser,2.5,25.6,0.1,0.0,3.4,TEN,11,TE
Jonnu Smith,2.0,20.7,0.2,0.0,3.1,NE,11,TE
John Bates,2.4,23.3,0.1,0.0,2.9,WAS,11,TE
Pharaoh Brown,2.0,20.3,0.1,0.0,2.8,HOU,11,TE
Donald Parham Jr.,1.5,18.0,0.1,0.0,2.7,LAC,11,TE
Mo Alie-Cox,1.6,18.5,0.1,0.0,2.6,IND,11,TE
Harrison Bryant,1.4,18.1,0.1,0.0,2.6,CLE,11,TE
Jack Doyle,1.9,18.3,0.1,0.0,2.5,IND,11,TE
MyCole Pruitt,1.2,13.9,0.2,0.0,2.5,TEN,11,TE
O.J. Howard,1.6,19.8,0.1,0.0,2.5,TB,11,TE
Cameron Brate,1.5,15.3,0.1,0.0,2.4,TB,11,TE
Tommy Sweeney,1.4,13.9,0.2,0.0,2.3,BUF,11,TE
Sean McKeon,1.4,15.3,0.1,0.0,2.3,DAL,11,TE
Brevin Jordan,1.5,15.9,0.1,0.0,2.2,HOU,11,TE
Josiah Deguara,1.6,15.5,0.1,0.0,2.2,GB,11,TE
Ryan Griffin,1.6,15.4,0.1,0.0,2.1,NYJ,11,TE
Tommy Tremble,1.4,14.8,0.1,0.0,2.1,CAR,11,TE
Durham Smythe,1.4,14.6,0.1,0.0,2.1,MIA,11,TE
Will Dissly,1.3,14.6,0.1,0.0,2.0,SEA,11,TE
Parker Hesse,1.2,14.0,0.1,0.0,2.0,ATL,11,TE
Kyle Rudolph,1.5,14.4,0.1,0.0,1.9,NYG,11,TE
Marcedes Lewis,1.3,13.8,0.1,0.0,1.8,GB,11,TE
James O'Shaughnessy,1.2,11.3,0.1,0.0,1.7,JAC,11,TE
Adam Shaheen,1.2,12.1,0.1,0.0,1.7,MIA,11,TE
Tyree Jackson,0.9,11.0,0.1,0.0,1.7,PHI,11,TE
Jimmy Graham,1.0,11.8,0.1,0.0,1.7,CHI,11,TE
Jordan Akins,1.5,16.5,0.0,0.0,1.7,HOU,11,TE
Ian Thomas,1.1,12.4,0.1,0.0,1.6,CAR,11,TE
Foster Moreau,0.9,9.5,0.1,0.0,1.5,LV,11,TE
Jesse James,1.0,9.6,0.1,0.0,1.5,CHI,11,TE
Daniel Helm,0.8,8.1,0.1,0.0,1.4,ATL,11,TE
Sammis Reyes,0.9,9.6,0.1,0.0,1.4,WAS,11,TE
Dominique Dafney,0.7,8.2,0.1,0.0,1.3,GB,11,TE
Nick Boyle,1.0,10.0,0.1,0.0,1.3,BAL,11,TE
Chris Herndon IV,0.9,8.6,0.1,0.0,1.3,MIN,11,TE
Tommy Hudson,0.7,6.8,0.1,0.0,1.1,TEN,11,TE
Nick Vannett,1.1,9.3,0.0,0.0,1.1,NO,11,TE
Stephen Anderson,0.7,7.3,0.1,0.0,1.1,LAC,11,TE
Antony Auclair,0.7,7.3,0.1,0.0,1.0,HOU,11,TE
Jack Stoll,0.7,8.0,0.0,0.0,1.0,PHI,11,TE
Blake Bell,0.6,6.4,0.1,0.0,0.9,KC,11,TE
Noah Gray,0.6,5.8,0.1,0.0,0.9,KC,11,TE
Brock Wright,0.8,7.9,0.0,0.0,0.9,DET,11,TE
Tre' McKitty,0.5,5.9,0.1,0.0,0.9,LAC,11,TE
Ross Dwelley,0.5,5.5,0.1,0.0,0.9,SF,11,TE
Drew Sample,0.7,6.5,0.0,0.0,0.8,CIN,11,TE
Chris Manhertz,0.5,4.3,0.1,0.0,0.7,JAC,11,TE
Garrett Griffin,0.5,5.0,0.0,0.0,0.7,NO,11,TE
Josh Oliver,0.6,5.3,0.0,0.0,0.7,BAL,11,TE
Zach Gentry,0.7,6.5,0.0,0.0,0.6,PIT,11,TE
Colin Thompson,0.3,3.1,0.1,0.0,0.6,CAR,11,TE
Luke Farrell,0.7,5.8,0.0,0.0,0.6,JAC,11,TE
Charlie Woerner,0.6,5.6,0.0,0.0,0.6,SF,11,TE
Kylen Granson,0.5,4.6,0.0,0.0,0.5,IND,11,TE
Colby Parkinson,0.5,4.0,0.0,0.0,0.4,SEA,11,TE
Darrell Daniels,0.4,3.6,0.0,0.0,0.4,ARI,11,TE
J.P. Holtz,0.3,3.4,0.0,0.0,0.3,CHI,11,TE
Demetrius Harris,0.3,3.1,0.0,0.0,0.3,ARI,11,TE
Kaden Smith,0.4,3.0,0.0,0.0,0.3,NYG,11,TE
Trevon Wesco,0.3,3.0,0.0,0.0,0.3,NYJ,11,TE
Reggie Gilliam,0.3,2.6,0.0,0.0,0.3,BUF,11,TE
Kenny Yeboah,0.2,2.0,0.0,0.0,0.2,NYJ,11,TE
Quintin Morris,0.2,2.0,0.0,0.0,0.2,BUF,11,TE
Kahale Warring,0.2,2.0,0.0,0.0,0.2,JAC,11,TE
Luke Stocker,0.2,2.0,0.0,0.0,0.2,MIN,11,TE
Cethan Carter,0.2,1.4,0.0,0.0,0.1,MIA,11,TE
Mitchell Wilcox,0.1,1.0,0.0,0.0,0.1,CIN,11,TE
Eric Tomlinson,0.1,1.0,0.0,0.0,0.1,BAL,11,TE
Jeremy Sprinkle,0.1,1.0,0.0,0.0,0.1,DAL,11,TE
Giovanni Ricci,0.1,0.5,0.0,0.0,0.1,CAR,11,TE
Hayden Hurst,0.0,0.0,0.0,0.0,0.0,ATL,11,TE
Darren Waller,6.4,80.6,0.5,0.1,10.9,LV,12,TE
Kyle Pitts,5.2,68.4,0.5,0.1,9.4,ATL,12,TE
George Kittle,5.1,63.7,0.5,0.0,9.3,SF,12,TE
Mark Andrews,4.8,58.7,0.6,0.0,9.1,BAL,12,TE
Dalton Schultz,4.9,52.9,0.5,0.0,8.1,DAL,12,TE
Rob Gronkowski,3.6,46.0,0.5,0.0,7.6,TB,12,TE
T.J. Hockenson,4.7,50.7,0.4,0.0,7.3,DET,12,TE
Mike Gesicki,4.5,50.1,0.4,0.0,7.2,MIA,12,TE
Pat Freiermuth,4.3,44.5,0.5,0.0,7.1,PIT,12,TE
Dawson Knox,3.6,43.8,0.5,0.0,7.1,BUF,12,TE
Dallas Goedert,4.3,51.2,0.3,0.0,6.7,PHI,12,TE
Dan Arnold,3.8,45.9,0.4,0.0,6.6,JAC,12,TE
Hunter Henry,2.9,32.5,0.4,0.0,5.8,NE,12,TE
Noah Fant,4.0,41.3,0.2,0.0,5.5,DEN,12,TE
Tyler Higbee,4.0,41.5,0.2,0.0,5.4,LAR,12,TE
Cole Kmet,3.9,41.2,0.2,0.0,5.2,CHI,12,TE
Evan Engram,4.0,38.4,0.2,0.0,5.0,NYG,12,TE
Tyler Conklin,3.6,37.2,0.2,0.0,4.9,MIN,12,TE
Jared Cook,2.7,34.8,0.2,0.0,4.8,LAC,12,TE
Austin Hooper,2.9,32.0,0.2,0.0,4.4,CLE,12,TE
C.J. Uzomah,2.7,29.9,0.2,0.0,4.3,CIN,12,TE
Logan Thomas,3.0,28.7,0.2,0.1,4.0,WAS,12,TE
David Njoku,2.3,29.1,0.1,0.0,3.7,CLE,12,TE
Pharaoh Brown,2.2,23.9,0.1,0.0,3.2,HOU,12,TE
Jack Doyle,2.1,20.5,0.2,0.0,3.2,IND,12,TE
John Bates,2.5,25.7,0.1,0.0,3.2,WAS,12,TE
Geoff Swaim,2.4,22.4,0.1,0.0,3.0,TEN,12,TE
Jonnu Smith,1.9,20.4,0.1,0.0,2.9,NE,12,TE
Albert Okwuegbunam,2.1,21.4,0.1,0.0,2.8,DEN,12,TE
Hayden Hurst,1.8,17.9,0.2,0.0,2.8,ATL,12,TE
Juwan Johnson,1.8,18.9,0.1,0.0,2.7,NO,12,TE
Anthony Firkser,2.0,21.4,0.1,0.0,2.6,TEN,12,TE
Mo Alie-Cox,1.6,17.2,0.1,0.0,2.6,IND,12,TE
Cameron Brate,1.7,17.5,0.1,0.0,2.6,TB,12,TE
Parker Hesse,1.6,19.0,0.1,0.0,2.5,ATL,12,TE
Ryan Griffin,1.7,18.4,0.1,0.0,2.5,NYJ,12,TE
Donald Parham Jr.,1.4,16.5,0.1,0.0,2.5,LAC,12,TE
Brevin Jordan,1.6,16.7,0.1,0.0,2.4,HOU,12,TE
Durham Smythe,1.7,17.0,0.1,0.0,2.3,MIA,12,TE
