player,rushing_att,rushing_yds,rushing_td,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fantasy_points,team,position,week,year
Elijah Mitchell,3.2,14.6,0.1,0.5,5.2,0.0,0.0,2.7,SF,RB,1,2021
Chuba Hubbard,3.7,13.2,0.1,0.5,4.5,0.0,0.0,2.5,CAR,RB,1,2021
DeeJay Dallas,2.6,8.5,0.1,1.1,8.4,0.1,0.0,2.4,SEA,RB,1,2021
Benny Snell Jr.,3.8,15.7,0.1,0.3,2.9,0.0,0.0,2.4,PIT,RB,1,2021
Rex Burkhead,1.6,9.6,0.1,0.7,6.4,0.0,0.0,2.3,HOU,RB,1,2021
Kenneth Gainwell,2.7,11.5,0.1,0.5,4.0,0.0,0.0,2.0,PHI,RB,1,2021
Ty Montgomery,0.5,3.1,0.0,1.5,12.3,0.1,0.0,1.9,NO,RB,1,2021
Jerick McKinnon,2.1,7.5,0.0,0.9,7.1,0.0,0.0,1.9,KC,RB,1,2021
Jaret Patterson,2.5,10.5,0.1,0.3,2.2,0.0,0.0,1.8,WAS,RB,1,2021
Devonta Freeman,1.4,5.9,0.0,0.7,4.9,0.0,0.0,1.6,BAL,RB,1,2021
Kalen Ballage,1.4,7.5,0.1,0.7,4.5,0.0,0.0,1.5,PIT,RB,1,2021
Travis Homer,1.7,6.4,0.0,0.5,4.5,0.0,0.0,1.5,SEA,RB,1,2021
Larry Rountree III,1.9,7.3,0.1,0.4,3.0,0.0,0.0,1.4,LAC,RB,1,2021
Gary Brightwell,1.7,7.5,0.1,0.3,2.9,0.0,0.0,1.4,NYG,RB,1,2021
Dare Ogunbowale,0.4,4.1,0.0,0.7,6.4,0.0,0.0,1.3,JAC,RB,1,2021
Brandon Bolden,0.8,3.8,0.1,0.3,4.3,0.0,0.0,1.3,NE,RB,1,2021
Jake Funk,1.1,6.5,0.0,0.3,2.6,0.0,0.0,1.3,LAR,RB,1,2021
Darrynton Evans,1.3,5.0,0.0,0.4,3.5,0.1,0.0,1.2,TEN,RB,1,2021
Damarea Crockett,1.1,6.5,0.0,0.3,2.0,0.0,0.0,1.1,DEN,RB,1,2021
Mekhi Sargent,1.6,6.7,0.0,0.2,1.9,0.0,0.0,1.1,JAC,RB,1,2021
Kylin Hill,0.7,5.1,0.0,0.3,2.8,0.0,0.0,1.1,GB,RB,1,2021
C.J. Ham,0.4,0.9,0.0,0.7,6.8,0.0,0.0,1.1,MIN,RB,1,2021
Chris Evans,0.8,4.5,0.0,0.4,2.7,0.0,0.0,1.0,CIN,RB,1,2021
Trenton Cannon,1.4,4.7,0.0,0.5,3.7,0.0,0.0,1.0,SF,RB,1,2021
Patrick Ricard,0.1,0.1,0.0,0.8,5.6,0.1,0.0,0.9,BAL,RB,1,2021
Royce Freeman,1.2,5.2,0.0,0.2,1.3,0.0,0.0,0.8,HOU,RB,1,2021
Dwayne Washington,0.9,2.7,0.0,0.4,3.9,0.0,0.0,0.8,NO,RB,1,2021
Alec Ingold,0.3,0.7,0.0,0.5,4.6,0.0,0.0,0.8,LV,RB,1,2021
Trayveon Williams,0.9,3.7,0.0,0.2,1.6,0.0,0.0,0.7,CIN,RB,1,2021
Keith Smith,0.4,1.0,0.0,0.5,4.4,0.0,0.0,0.6,ATL,RB,1,2021
Trey Ragas,0.0,1.9,0.0,0.3,2.5,0.0,0.0,0.6,LV,RB,1,2021
Demetric Felton,0.5,2.9,0.0,0.1,0.8,0.0,0.0,0.6,CLE,RB,1,2021
Jonathan Williams,0.7,2.9,0.0,0.2,1.2,0.0,0.0,0.6,WAS,RB,1,2021
D'Ernest Johnson,0.8,3.5,0.0,0.1,1.1,0.0,0.0,0.6,CLE,RB,1,2021
