rank,player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
75,Josh Brown,11,12,91.7,52,0,3,4,3,1,8,8,4,0.0,0.0,0.0,FA,K,2012
76,Josh Scobee,25,28,89.3,50,1,4,8,11,1,18,18,16,0.0,0.0,0.0,FA,K,2012
77,Lawrence Tynes,33,39,84.6,50,0,11,14,7,1,46,46,16,0.0,0.0,0.0,FA,K,2012
78,MacKenzie Hoambrecker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,SF,K,2012
79,Mark Hickok,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYG,K,2012
80,Matt Bryant,33,38,86.8,55,1,8,10,10,4,44,44,16,0.0,0.0,1.1,FA,K,2012
81,Dustin Hopkins,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,14.5,LAC,K,2012
82,Chris Boswell,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,51.0,PIT,K,2012
83,Brandon McManus,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,44.3,DEN,K,2012
84,Andrew Jacas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,SF,K,2012
85,Cairo Santos,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.1,CHI,K,2012
86,Sergio Castillo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,K,2012
87,John Potter,0,0,0.0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,FA,K,2012
88,Nick Novak,18,20,90.0,51,1,5,6,4,2,33,33,13,0.0,0.0,0.1,FA,K,2012
89,Blair Walsh,35,38,92.1,56,0,10,8,7,10,36,36,16,0.0,0.0,0.1,FA,K,2012
90,Garrett Lindholm,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ATL,K,2012
91,Connor Hughes,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DAL,K,2012
92,Clint Stitser,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,WAS,K,2012
93,Alex Henery,27,31,87.1,49,0,8,8,11,0,25,26,16,0.0,0.0,0.0,FA,K,2012
94,Saverio Rocca,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,WAS,K,2012
95,Giorgio Tavecchio,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,TEN,K,2012
96,Randy Bullock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,10.8,TEN,K,2012
