player,position,team,fantasy_points,great_game,poor_game,quality_game,games
Ian Thomas,TE,CAR,18.8,0.0,11.0,3.0,14.0
Ihmir Smith-Marsette,WR,MIN,23.0,1.0,0.0,1.0,2.0
Isaiah McKenzie,WR,BUF,19.299999999999997,1.0,1.0,0.0,2.0
J.D. McKissic,RB,WAS,84.9,2.0,6.0,3.0,11.0
J.J. Arcega-Whiteside,WR,PHI,0.0,0.0,1.0,0.0,1.0
Ja'Marcus Bradley,WR,CLE,6.3999999999999995,0.0,1.0,1.0,2.0
Ja'Marr Chase,WR,CIN,221.0,11.0,3.0,2.0,16.0
JaMycal Hasty,RB,SF,5.9,0.0,1.0,0.0,1.0
Jack Doyle,TE,IND,47.8,3.0,7.0,4.0,14.0
Jack Stoll,TE,PHI,2.2,0.0,4.0,0.0,4.0
Jacob Hollister,TE,JAC,4.9,0.0,2.0,1.0,3.0
Jacoby Brissett,QB,MIA,74.8,1.0,3.0,2.0,6.0
Jaelon Darden,WR,TB,0.0,0.0,1.0,0.0,1.0
Jake Fromm,QB,NYG,10.6,0.0,2.0,0.0,2.0
Jakeem Grant Sr.,WR,CHI,29.3,2.0,0.0,0.0,2.0
Jakob Johnson,RB,NE,3.2,0.0,3.0,0.0,3.0
Jakobi Meyers,WR,NE,103.30000000000001,4.0,3.0,9.0,16.0
Jalen Camp,WR,HOU,0.0,0.0,1.0,0.0,1.0
Jalen Guyton,WR,LAC,66.2,2.0,11.0,3.0,16.0
Jalen Hurts,QB,PHI,321.2,9.0,3.0,3.0,15.0
Jalen Reagor,WR,PHI,43.0,1.0,12.0,3.0,16.0
Jamaal Williams,RB,DET,79.5,1.0,3.0,5.0,9.0
Jamal Agnew,WR,JAC,40.2,2.0,1.0,2.0,5.0
Jameis Winston,QB,NO,110.1,2.0,3.0,1.0,6.0
James Conner,RB,ARI,208.3,8.0,4.0,2.0,14.0
James O'Shaughnessy,TE,JAC,24.0,0.0,1.0,5.0,6.0
James Proche II,WR,BAL,16.5,0.0,1.0,2.0,3.0
James Robinson,RB,JAC,138.0,6.0,4.0,2.0,12.0
James Washington,WR,PIT,39.9,1.0,7.0,3.0,11.0
James White,RB,NE,18.6,0.0,1.0,1.0,2.0
Jamison Crowder,WR,NYJ,57.1,2.0,6.0,3.0,11.0
Jared Cook,TE,LAC,84.4,7.0,1.0,8.0,16.0
Jared Goff,QB,DET,202.4,3.0,8.0,3.0,14.0
Jaret Patterson,RB,WAS,15.8,1.0,0.0,0.0,1.0
Jarvis Landry,WR,CLE,80.1,4.0,3.0,4.0,11.0
Jason Huntley,RB,PHI,5.1,0.0,1.0,0.0,1.0
Jason Moore Jr.,WR,LAC,5.6,0.0,0.0,1.0,1.0
Jauan Jennings,WR,SF,49.099999999999994,1.0,5.0,3.0,9.0
Javonte Williams,RB,DEN,161.9,3.0,7.0,7.0,17.0
Jaylen Waddle,WR,MIA,141.79999999999998,5.0,4.0,7.0,16.0
Jeff Smith,WR,NYJ,1.5,0.0,2.0,0.0,2.0
Jeff Wilson Jr.,RB,SF,43.8,1.0,3.0,1.0,5.0
Jeremy McNichols,RB,TEN,20.0,0.0,4.0,1.0,5.0
Jeremy Sprinkle,TE,DAL,1.0,0.0,1.0,0.0,1.0
Jerick McKinnon,RB,KC,5.8,0.0,3.0,0.0,3.0
Jerry Jeudy,WR,DEN,47.0,0.0,4.0,6.0,10.0
Jesse James,TE,CHI,12.200000000000001,1.0,2.0,1.0,4.0
Jimmy Garoppolo,QB,SF,239.5,3.0,4.0,8.0,15.0
Joe Burrow,QB,CIN,328.1,8.0,4.0,4.0,16.0
Joe Flacco,QB,NYJ,17.9,0.0,0.0,1.0,1.0
Joe Mixon,RB,CIN,236.4,7.0,3.0,5.0,15.0
John Bates,TE,WAS,29.8,1.0,2.0,6.0,9.0
John Ross,WR,NYG,17.7,1.0,4.0,0.0,5.0
Johnny Mundt,TE,LAR,0.0,0.0,1.0,0.0,1.0
Jonathan Taylor,RB,IND,333.1,12.0,2.0,3.0,17.0
Jonathan Williams,RB,WAS,1.1,0.0,1.0,0.0,1.0
Jonnu Smith,TE,NE,33.2,1.0,8.0,5.0,14.0
Jordan Akins,TE,HOU,17.1,0.0,6.0,4.0,10.0
Jordan Howard,RB,PHI,36.5,1.0,3.0,1.0,5.0
Jordan Love,QB,GB,22.200000000000003,0.0,2.0,0.0,2.0
Josh Allen,QB,BUF,417.7,12.0,2.0,3.0,17.0
Josh Gordon,WR,KC,7.6000000000000005,0.0,2.0,1.0,3.0
Josh Jacobs,RB,LV,172.0,7.0,4.0,4.0,15.0
Josh Johnson,QB,BAL,45.7,2.0,0.0,0.0,2.0
Josh Reynolds,WR,DET,50.800000000000004,2.0,4.0,3.0,9.0
Joshua Kelley,RB,LAC,2.4,0.0,2.0,0.0,2.0
Joshua Palmer,WR,LAC,42.0,3.0,6.0,0.0,9.0
Josiah Deguara,TE,GB,32.1,2.0,6.0,1.0,9.0
JuJu Smith-Schuster,WR,PIT,19.8,1.0,3.0,1.0,5.0
Julio Jones,WR,TEN,49.400000000000006,2.0,6.0,2.0,10.0
Justin Fields,QB,CHI,130.2,2.0,6.0,3.0,11.0
Justin Herbert,QB,LAC,395.6,10.0,2.0,5.0,17.0
Justin Jackson,RB,LAC,42.199999999999996,1.0,1.0,1.0,3.0
Justin Jefferson,WR,MIN,222.4,13.0,1.0,3.0,17.0
Juwan Johnson,TE,NO,6.9,0.0,3.0,2.0,5.0
Juwann Winfree,WR,GB,2.6,0.0,2.0,0.0,2.0
K.J. Osborn,WR,MIN,108.5,6.0,9.0,2.0,17.0
KJ Hamler,WR,DEN,4.6,0.0,2.0,0.0,2.0
Kadarius Toney,WR,NYG,40.0,1.0,5.0,1.0,7.0
Kaden Smith,TE,NYG,3.3,0.0,3.0,1.0,4.0
Kalif Raymond,WR,DET,84.4,3.0,10.0,3.0,16.0
Kareem Hunt,RB,CLE,86.2,4.0,2.0,1.0,7.0
Ke'Shawn Vaughn,RB,TB,27.6,1.0,1.0,1.0,3.0
Keelan Cole Sr.,WR,NYJ,50.9,2.0,10.0,1.0,13.0
Keenan Allen,WR,LAC,151.8,10.0,2.0,4.0,16.0
Keith Kirkwood,WR,CAR,1.7,0.0,2.0,0.0,2.0
Keith Smith,RB,ATL,2.4,0.0,3.0,0.0,3.0
Kendall Blanton,TE,LAR,2.9,0.0,1.0,1.0,2.0
Kendall Hinton,WR,DEN,17.3,0.0,4.0,1.0,5.0
Kendrick Bourne,WR,NE,123.4,6.0,6.0,3.0,15.0
Kenneth Gainwell,RB,PHI,77.4,3.0,4.0,2.0,9.0
Kenny Golladay,WR,NYG,52.1,1.0,9.0,4.0,14.0
Kenny Stills,WR,NO,12.9,0.0,4.0,1.0,5.0
Kenny Yeboah,TE,NYJ,3.6,0.0,0.0,1.0,1.0
Kenyan Drake,RB,LV,48.3,1.0,6.0,1.0,8.0
KhaDarel Hodge,WR,DET,12.5,0.0,3.0,1.0,4.0
Khalil Herbert,RB,CHI,44.8,2.0,1.0,1.0,4.0
Kirk Cousins,QB,MIN,307.3,8.0,3.0,5.0,16.0
Kristian Wilkerson,WR,NE,16.2,1.0,0.0,0.0,1.0
Kyle Juszczyk,RB,SF,43.8,0.0,14.0,1.0,15.0
Kyle Pitts,TE,ATL,108.6,7.0,2.0,8.0,17.0
Kyle Rudolph,TE,NYG,30.9,2.0,6.0,5.0,13.0
Kylen Granson,TE,IND,2.3,0.0,4.0,0.0,4.0
Kyler Murray,QB,ARI,310.5,8.0,3.0,3.0,14.0
Lamar Jackson,QB,BAL,251.79999999999998,5.0,2.0,4.0,11.0
Laquon Treadwell,WR,JAC,49.4,0.0,3.0,7.0,10.0
Latavius Murray,RB,BAL,78.5,1.0,5.0,4.0,10.0
Laviska Shenault Jr.,WR,JAC,62.7,1.0,8.0,6.0,15.0
Le'Veon Bell,RB,BAL,7.8999999999999995,0.0,1.0,1.0,2.0
Le'Veon Bell,RB,TB,13.0,0.0,1.0,1.0,2.0
Lee Smith,TE,ATL,11.6,1.0,5.0,1.0,7.0
Leonard Fournette,RB,TB,186.6,7.0,4.0,3.0,14.0
Lil'Jordan Humphrey,WR,NO,27.900000000000002,1.0,2.0,2.0,5.0
Logan Thomas,TE,WAS,35.6,3.0,0.0,2.0,5.0
Luke Farrell,TE,JAC,1.2999999999999998,0.0,4.0,0.0,4.0
Luke Stocker,TE,MIN,0.5,0.0,1.0,0.0,1.0
Mac Jones,QB,NE,238.0,4.0,8.0,5.0,17.0
Mack Hollins,WR,MIA,34.8,1.0,0.0,3.0,4.0
Malcolm Brown,RB,MIA,14.9,0.0,2.0,1.0,3.0
Marcedes Lewis,TE,GB,19.5,0.0,7.0,4.0,11.0
Marcus Johnson,WR,TEN,16.5,1.0,3.0,1.0,5.0
Mark Andrews,TE,BAL,194.1,12.0,0.0,5.0,17.0
Mark Ingram II,RB,NO,65.9,2.0,8.0,1.0,11.0
Marlon Mack,RB,IND,2.3,0.0,1.0,0.0,1.0
Marquez Callaway,WR,NO,105.8,5.0,8.0,4.0,17.0
Marquez Valdes-Scantling,WR,GB,61.0,3.0,6.0,1.0,10.0
Marquise Brown,WR,BAL,135.3,6.0,5.0,5.0,16.0
Marquise Goodwin,WR,CHI,37.199999999999996,1.0,10.0,2.0,13.0
Marvin Jones Jr.,WR,JAC,107.2,4.0,7.0,6.0,17.0
Mason Rudolph,QB,PIT,16.3,0.0,0.0,1.0,1.0
Matt Breida,RB,BUF,18.2,0.0,1.0,1.0,2.0
Matt Ryan,QB,ATL,234.8,3.0,11.0,3.0,17.0
Matthew Stafford,QB,LAR,346.8,9.0,2.0,6.0,17.0
Maxx Williams,TE,ARI,25.3,2.0,2.0,1.0,5.0
Mecole Hardman,WR,KC,78.2,2.0,6.0,7.0,15.0
Melvin Gordon III,RB,DEN,167.2,6.0,6.0,4.0,16.0
Michael Carter,RB,NYJ,110.1,2.0,4.0,6.0,12.0
