player,team,fantasy_points,great_game,poor_game,quality_game,games
Marquise Goodwin,CHI,37.199999999999996,1.0,8.0,4.0,13.0
Marvin Jones Jr.,JAC,107.2,3.0,3.0,11.0,17.0
Mecole Hardman,KC,78.2,0.0,4.0,11.0,15.0
Michael Gallup,DAL,56.5,0.0,0.0,9.0,9.0
Michael Pittman Jr.,IND,150.6,6.0,1.0,10.0,17.0
Mike Evans,TB,187.1,7.0,1.0,7.0,15.0
Mike Strachan,IND,0.0,0.0,1.0,0.0,1.0
Mike Thomas,CIN,0.0,0.0,2.0,0.0,2.0
Mike Williams,LAC,170.6,7.0,2.0,7.0,16.0
Mohamed Sanu Sr.,SF,17.700000000000003,0.0,4.0,3.0,7.0
N'Keal Harry,NE,15.4,0.0,4.0,4.0,8.0
Nelson Agholor,NE,66.4,1.0,6.0,8.0,15.0
Nick Westbrook-Ikhine,TEN,69.0,1.0,4.0,9.0,14.0
Nico Collins,HOU,47.4,0.0,4.0,9.0,13.0
Noah Brown,DAL,7.1,0.0,4.0,1.0,5.0
Odell Beckham Jr.,LAR,58.699999999999996,2.0,2.0,3.0,7.0
Olamide Zaccheaus,ATL,57.5,1.0,5.0,8.0,14.0
Parris Campbell,IND,11.1,0.0,1.0,3.0,4.0
Phillip Dorsett II,HOU,6.4,0.0,1.0,1.0,2.0
Preston Williams,MIA,7.6000000000000005,0.0,3.0,1.0,4.0
Quez Watkins,PHI,73.0,1.0,5.0,11.0,17.0
Quintez Cephus,DET,34.4,1.0,1.0,3.0,5.0
Randall Cobb,GB,46.199999999999996,2.0,3.0,3.0,8.0
Rashard Higgins,CLE,33.5,0.0,5.0,7.0,12.0
Rashod Bateman,BAL,57.5,0.0,2.0,10.0,12.0
Ray-Ray McCloud,PIT,24.3,0.0,5.0,6.0,11.0
Robby Anderson,CAR,85.5,1.0,6.0,10.0,17.0
Robert Woods,LAR,92.2,2.0,0.0,7.0,9.0
Rondale Moore,ARI,47.3,1.0,6.0,5.0,12.0
Russell Gage,ATL,97.0,4.0,3.0,6.0,13.0
Sammy Watkins,BAL,39.9,0.0,3.0,6.0,9.0
Scotty Miller,TB,2.9000000000000004,0.0,2.0,0.0,2.0
Seth Williams,DEN,3.4,0.0,0.0,1.0,1.0
Shi Smith,CAR,-0.5,0.0,2.0,0.0,2.0
Stanley Morgan Jr.,CIN,1.1,0.0,2.0,0.0,2.0
Stefon Diggs,BUF,182.5,6.0,0.0,11.0,17.0
Sterling Shepard,NYG,41.7,1.0,2.0,4.0,7.0
T.Y. Hilton,IND,49.2,0.0,2.0,7.0,9.0
Tajae Sharpe,ATL,18.3,0.0,7.0,3.0,10.0
Tarik Black,NYJ,1.0,0.0,1.0,0.0,1.0
Tavon Austin,JAC,17.5,0.0,4.0,2.0,6.0
Tee Higgins,CIN,145.1,3.0,1.0,10.0,14.0
Terrace Marshall Jr.,CAR,13.799999999999999,0.0,7.0,2.0,9.0
Terry McLaurin,WAS,136.5,4.0,1.0,12.0,17.0
Tim Patrick,DEN,103.4,1.0,5.0,10.0,16.0
Tom Kennedy,DET,1.6,0.0,2.0,0.0,2.0
Tre'Quan Smith,NO,55.7,1.0,3.0,6.0,10.0
Trent Sherfield,SF,10.8,0.0,2.0,1.0,3.0
Trent Taylor,CIN,4.1,0.0,0.0,1.0,1.0
Trenton Irwin,CIN,0.9,0.0,1.0,0.0,1.0
Trinity Benson,DET,9.1,0.0,4.0,2.0,6.0
Tylan Wallace,BAL,1.8,0.0,1.0,0.0,1.0
Tyler Boyd,CIN,116.8,3.0,3.0,10.0,16.0
Tyler Johnson,TB,35.0,0.0,6.0,6.0,12.0
Tyler Lockett,SEA,168.4,6.0,1.0,9.0,16.0
Tyreek Hill,KC,185.3,6.0,1.0,9.0,16.0
Van Jefferson,LAR,118.2,4.0,4.0,9.0,17.0
William Fuller V,MIA,4.0,0.0,0.0,1.0,1.0
Zach Pascal,IND,56.5,1.0,8.0,7.0,16.0
Zay Jones,LV,41.4,0.0,4.0,6.0,10.0
