index,player,team,Actual touchdowns,Expected touchdowns,Expected touchdowns rank,Actual touchdowns rank,Regression candidate,Regression rank candidate,Positive regression candidate
171,N.Vannett,NO,1.0,0.5250186104221075,320.0,56.5,-0.4749813895778925,-263.5,False
207,T.Jackson,PHI,1.0,0.5142207690900239,325.0,56.5,-0.4857792309099761,-268.5,False
110,J.James,CHI,1.0,0.5124350531646767,327.0,56.5,-0.48756494683532325,-270.5,False
204,T.Hockenson,DET,4.0,3.5033713150494785,78.0,15.0,-0.4966286849505215,-63.0,False
54,D.Njoku,CLE,4.0,3.3733465174534722,83.0,15.0,-0.6266534825465278,-68.0,False
103,J.Graham,CHI,3.0,2.3590826070722377,131.0,26.0,-0.6409173929277623,-105.0,False
49,D.Goedert,PHI,4.0,3.3366432653293487,86.0,15.0,-0.6633567346706513,-71.0,False
160,M.Williams,ARI,1.0,0.3228878153042214,384.0,56.5,-0.6771121846957786,-327.5,False
0,A.Auclair,HOU,1.0,0.3059404287424877,392.0,56.5,-0.6940595712575123,-335.5,False
185,R.Gronkowski,TB,6.0,5.243968934291954,32.0,7.5,-0.7560310657080462,-24.5,False
155,M.Pruitt,TEN,3.0,2.2313197080965823,140.0,26.0,-0.7686802919034177,-114.0,False
195,S.McKeon,DAL,1.0,0.22866565438712635,416.0,56.5,-0.7713343456128736,-359.5,False
66,E.Engram,NYG,3.0,2.2063043884863056,142.0,26.0,-0.7936956115136944,-116.0,False
78,H.Bryant,CLE,3.0,2.1533543067109746,148.0,26.0,-0.8466456932890254,-122.0,False
182,R.Dwelley,SF,1.0,0.11688160829558981,448.0,56.5,-0.8831183917044102,-391.5,False
73,G.Everett,SEA,4.0,2.9883341738890676,102.0,15.0,-1.0116658261109324,-87.0,False
99,J.Fortson,KC,2.0,0.9739276716772312,245.0,39.0,-1.0260723283227688,-206.0,False
145,M.Alie-Cox,IND,4.0,2.9519442156103897,104.0,15.0,-1.0480557843896103,-89.0,False
22,B.Wright,DET,2.0,0.7972596722323235,276.0,39.0,-1.2027403277676765,-237.0,False
109,J.Horsted,CHI,2.0,0.7479887859132676,278.0,39.0,-1.2520112140867323,-239.0,False
174,P.Freiermuth,PIT,7.0,5.71253468052656,26.0,6.0,-1.2874653194734398,-20.0,False
82,H.Hurst,ATL,3.0,1.6142101012519723,185.0,26.0,-1.3857898987480277,-159.0,False
72,F.Moreau,LV,3.0,1.5917660678826575,186.0,26.0,-1.4082339321173425,-160.0,False
143,L.Thomas,WAS,3.0,1.5581736607084677,194.0,26.0,-1.4418263392915323,-168.0,False
208,T.Kelce,KC,9.0,7.204526186954486,12.0,2.5,-1.795473813045514,-9.5,False
18,B.Jordan,HOU,3.0,1.1067954673944063,236.0,26.0,-1.8932045326055937,-210.0,False
35,C.Uzomah,CIN,5.0,3.10558704662601,96.0,9.5,-1.89441295337399,-86.5,False
59,D.Schultz,DAL,8.0,5.9530757715484395,20.0,5.0,-2.0469242284515605,-15.0,False
75,G.Kittle,SF,6.0,3.950011633257647,67.0,7.5,-2.049988366742353,-59.5,False
111,J.Johnson,NO,4.0,1.8172020133972748,169.0,15.0,-2.182797986602725,-154.0,False
53,D.Knox,BUF,9.0,5.835171962113625,22.0,2.5,-3.164828037886375,-19.5,False
81,H.Henry,NE,9.0,5.829365283126437,23.0,2.5,-3.170634716873563,-20.5,False
