,Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
65,Trayveon WilliamsCIN,1.0,3.8,0.0,0.5,4.1,0.0,0.0,1.0
66,Mike BooneDEN,1.5,9.0,0.0,0.2,1.0,0.0,0.0,1.0
67,Gary BrightwellNYG,0.7,4.5,0.0,0.4,3.3,0.0,0.0,1.0
68,Ameer AbdullahCAR,0.9,4.2,0.0,0.4,2.8,0.0,0.0,0.8
69,Alex Armah Jr.WAS,1.2,3.3,0.0,0.4,3.4,0.0,0.0,0.8
70,Johnny StantonCLE,0.5,1.7,0.0,0.4,3.3,0.0,0.0,0.8
71,Tory CarterTEN,1.1,5.0,0.0,0.2,2.0,0.0,0.0,0.7
72,Trenton CannonSF,0.8,1.9,0.0,0.3,3.1,0.0,0.0,0.6
73,Ryan NallCHI,1.2,2.5,0.0,0.3,3.0,0.0,0.0,0.6
74,Jermar JeffersonDET,0.7,3.0,0.0,0.2,3.0,0.0,0.0,0.6
75,Keith SmithATL,0.6,1.6,0.0,0.5,3.8,0.0,0.0,0.6
76,Damarea CrockettDEN,0.5,2.6,0.0,0.2,1.5,0.0,0.0,0.5
77,Ke'Shawn VaughnTB,0.9,4.0,0.0,0.1,1.0,0.0,0.0,0.5
78,Jakob JohnsonNE,0.1,0.1,0.0,0.3,2.0,0.0,0.0,0.4
79,Khari BlasingameTEN,0.0,0.0,0.0,0.3,2.4,0.0,0.0,0.3
80,Nick BelloreSEA,0.5,1.0,0.0,0.1,1.3,0.0,0.0,0.3
81,Cullen GillaspiaNYG,0.4,1.1,0.0,0.1,1.2,0.0,0.0,0.3
82,Godwin IgwebuikeDET,0.5,1.0,0.0,0.1,1.0,0.0,0.0,0.2
