,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
JAC,vsKC,@HOU,vsTEN,@DEN,@CAR,vsNO,@CIN,vsNYJ,vsHOU,BYE,@IND,@TEN,vsTB,vsLAC,@LV,@ATL,vsIND
KC,@JAC,@LV,vsBAL,@DET,vsIND,vsHOU,@DEN,vsGB,vsMIN,@TEN,@LAC,BYE,vsLV,@NE,vsDEN,@CHI,vsLAC
MIA,vsBAL,vsNE,@DAL,vsLAC,BYE,vsWAS,@BUF,@PIT,vsNYJ,@IND,vsBUF,@CLE,vsPHI,@NYJ,@NYG,vsCIN,@NE
MIN,vsATL,@GB,vsLV,@CHI,@NYG,vsPHI,@DET,vsWAS,@KC,@DAL,vsDEN,BYE,@SEA,vsDET,@LAC,vsGB,vsCHI
NE,vsPIT,@MIA,vsNYJ,@BUF,@WAS,vsNYG,@NYJ,vsCLE,@BAL,BYE,@PHI,vsDAL,@HOU,vsKC,@CIN,vsBUF,vsMIA
NO,vsHOU,@LAR,@SEA,vsDAL,vsTB,@JAC,@CHI,vsARI,BYE,vsATL,@TB,vsCAR,@ATL,vsSF,vsIND,@TEN,@CAR
NYG,@DAL,vsBUF,@TB,vsWAS,vsMIN,@NE,vsARI,@DET,vsDAL,@NYJ,BYE,@CHI,vsGB,@PHI,vsMIA,@WAS,vsPHI
NYJ,vsBUF,vsCLE,@NE,BYE,@PHI,vsDAL,vsNE,@JAC,@MIA,vsNYG,@WAS,vsLV,@CIN,vsMIA,@BAL,vsPIT,@BUF
LV,vsDEN,vsKC,@MIN,@IND,vsCHI,-,@GB,@HOU,vsDET,vsLAC,vsCIN,@NYJ,@KC,vsTEN,vsJAC,@LAC,@DEN
PHI,vsWAS,@ATL,vsDET,@GB,vsNYJ,@MIN,@DAL,@BUF,vsCHI,BYE,vsNE,vsSEA,@MIA,vsNYG,@WAS,vsDAL,@NYG
PIT,@NE,vsSEA,@SF,vsCIN,vsBAL,@LAC,BYE,vsMIA,vsIND,vsLAR,@CLE,@CIN,vsCLE,@ARI,vsBUF,@NYJ,@BAL
LAC,vsIND,@DET,vsHOU,@MIA,vsDEN,vsPIT,@TEN,@CHI,vsGB,@LV,vsKC,BYE,@DEN,@JAC,vsMIN,vsLV,@KC
SEA,vsCIN,@PIT,vsNO,@ARI,vsLAR,@CLE,vsBAL,@ATL,vsTB,@SF,BYE,@PHI,vsMIN,@LAR,@CAR,vsARI,vsSF
SF,@TB,@CIN,vsPIT,BYE,vsCLE,@LAR,@WAS,vsCAR,@ARI,vsSEA,vsARI,vsGB,@BAL,@NO,vsATL,vsLAR,@SEA
LAR,@CAR,vsNO,@CLE,vsTB,@SEA,vsSF,@ATL,vsCIN,BYE,@PIT,vsCHI,vsBAL,@ARI,vsSEA,@DAL,@SF,vsARI
TB,vsSF,@CAR,vsNYG,@LAR,@NO,vsCAR,BYE,@TEN,@SEA,vsARI,vsNO,@ATL,@JAC,vsIND,@DET,vsHOU,vsATL
TEN,@CLE,vsIND,@JAC,@ATL,vsBUF,@DEN,vsLAC,vsTB,@CAR,vsKC,BYE,vsJAC,@IND,@LV,vsHOU,vsNO,@HOU
WAS,@PHI,vsDAL,vsCHI,@NYG,vsNE,@MIA,vsSF,@MIN,@BUF,BYE,vsNYJ,vsDET,@CAR,@GB,vsPHI,vsNYG,@DAL
