rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_yr,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,year,position
115,Devin Duvernay,20,26,201,10.1,39,0,0,4,70,0,0,16,33.1,2.1,1.4,BAL,2020,WR
116,DeSean Jackson,14,26,236,16.9,81,0,1,1,12,0,0,5,30.8,6.2,4.4,LV,2020,WR
117,Steven Sims Jr.,27,37,265,9.8,30,0,1,1,18,0,2,12,30.3,2.5,0.0,PIT,2020,WR
118,Chad Beebe,20,30,201,10.1,40,0,2,0,0,0,1,14,30.1,2.2,0.0,FA,2020,WR
119,Chad Hansen,17,24,236,13.9,38,0,1,0,0,0,0,5,29.6,5.9,0.0,ATL,2020,WR
120,Tyler Johnson,12,17,169,14.1,35,0,2,0,0,0,0,14,28.9,2.1,4.7,TB,2020,WR
121,Dontrelle Inman,18,28,163,9.1,17,0,2,0,0,0,0,10,28.3,2.8,0.0,FA,2020,WR
122,Byron Pringle,13,17,160,12.3,37,0,1,0,0,0,0,12,28.0,2.3,2.7,KC,2020,WR
123,Freddie Swain,13,21,159,12.2,23,0,2,0,0,0,0,16,27.9,1.7,0.7,SEA,2020,WR
124,Van Jefferson,19,31,220,11.6,31,0,1,1,-1,0,0,16,27.9,1.7,68.1,LAR,2020,WR
125,Deonte Harty,20,25,186,9.3,40,0,1,6,51,0,1,9,27.7,3.1,8.7,NO,2020,WR
126,Isaiah Ford,28,44,276,9.9,18,0,0,0,0,0,0,10,27.6,2.8,0.0,MIA,2020,WR
127,Mohamed Sanu Sr.,17,24,187,11.0,21,0,1,1,3,0,0,10,27.0,2.7,0.1,SF,2020,WR
128,Marcus Johnson,14,28,255,18.2,55,0,0,0,0,0,0,11,25.5,2.3,0.6,TEN,2020,WR
129,Bryan Edwards,11,15,193,17.5,34,0,1,0,0,0,0,12,25.3,2.1,8.3,LV,2020,WR
130,Zay Jones,14,20,154,11.0,37,0,1,0,0,0,0,16,22.6,1.4,6.0,LV,2020,WR
131,Mack Hollins,16,25,176,11.0,34,0,1,0,0,0,1,16,21.6,1.4,0.2,MIA,2020,WR
132,Marquez Callaway,21,27,213,10.1,27,0,0,0,0,0,0,11,21.3,1.9,28.6,NO,2020,WR
133,Bisi Johnson,14,19,189,13.5,29,0,0,0,0,0,0,16,20.9,1.3,0.0,MIN,2020,WR
134,Gunner Olszewski,5,5,62,12.4,38,0,1,5,23,0,0,13,20.5,1.6,0.1,NE,2020,WR
135,Kenny Stills,11,19,144,13.1,24,0,1,0,0,0,0,10,20.4,2.0,0.1,NO,2020,WR
136,Isaiah Wright,27,35,197,7.3,22,0,0,3,16,0,1,14,19.3,1.4,0.0,FA,2020,WR
137,John Hightower,10,29,167,16.7,59,0,0,1,1,0,0,13,18.8,1.4,0.0,PHI,2020,WR
138,Equanimeous St. Brown,7,13,117,16.7,24,0,1,1,7,0,0,12,18.4,1.5,0.1,GB,2020,WR
139,Kalif Raymond,9,15,187,20.8,61,0,0,1,-3,0,0,15,18.4,1.2,3.3,DET,2020,WR
140,KhaDarel Hodge,11,17,180,16.4,42,0,0,0,0,0,0,9,18.0,2.0,0.1,DET,2020,WR
141,Cameron Batson,12,13,100,8.3,18,0,1,4,20,0,0,12,18.0,1.5,0.0,TEN,2020,WR
142,Brandon Powell,12,18,69,5.8,13,0,2,2,7,0,1,15,17.6,1.2,0.0,LAR,2020,WR
143,Alshon Jeffery,6,13,115,19.2,39,0,1,0,0,0,0,7,17.5,2.5,0.1,FA,2020,WR
144,KeeSean Johnson,15,23,173,11.5,45,0,0,0,0,0,0,8,17.3,2.2,0.0,SF,2020,WR
145,Mike Thomas,13,21,132,10.2,29,0,1,1,1,0,1,14,17.3,1.2,0.1,CIN,2020,WR
146,Laquon Treadwell,6,7,49,8.2,14,0,2,0,0,0,0,5,16.9,3.4,2.5,JAC,2020,WR
147,Dez Bryant,6,11,47,7.8,16,0,2,0,0,0,0,6,16.7,2.8,2.6,FA,2020,WR
148,Jeff Smith,17,37,167,9.8,21,0,0,0,0,0,0,12,16.7,1.4,0.0,NYJ,2020,WR
149,Quez Watkins,7,13,106,15.1,43,0,1,0,0,0,0,6,16.6,2.8,1.3,PHI,2020,WR
150,Noah Brown,14,24,154,11.0,20,0,0,1,4,0,0,16,15.8,1.0,0.1,DAL,2020,WR
151,Malcolm Perry,9,13,92,10.2,25,0,1,3,5,0,0,9,15.7,1.7,0.0,FA,2020,WR
152,Auden Tate,14,22,150,10.7,19,0,0,0,0,0,0,9,15.0,1.7,0.1,CIN,2020,WR
153,Christian Blake,13,18,141,10.8,25,0,0,0,0,0,0,16,14.1,0.9,0.0,ATL,2020,WR
154,Malik Taylor,5,6,66,13.2,26,0,1,1,9,0,0,15,13.5,0.9,0.1,GB,2020,WR
155,DeMichael Harris,10,10,79,7.9,21,0,0,6,46,0,0,7,12.5,1.8,0.0,IND,2020,WR
156,Ray-Ray McCloud,20,22,77,3.9,13,0,0,4,65,0,1,16,12.2,0.8,1.0,PIT,2020,WR
157,Chris Hogan,14,26,118,8.4,27,0,0,0,0,0,0,5,11.8,2.4,0.0,FA,2020,WR
158,Dante Pettis,4,6,76,19.0,33,0,1,0,0,0,1,7,11.6,1.7,0.1,NYG,2020,WR
159,Javon Wims,6,12,48,8.0,13,0,1,1,2,0,0,13,11.0,0.8,0.0,LV,2020,WR
160,Jamal Agnew,13,20,89,6.8,20,0,0,6,33,0,1,14,10.9,0.8,1.2,JAC,2020,WR
161,Alex Erickson,12,17,139,11.6,42,0,0,5,7,0,2,16,10.6,0.7,0.0,CAR,2020,WR
162,Lil'Jordan Humphrey,3,5,46,15.3,17,0,1,0,0,0,0,3,10.6,3.5,0.2,NO,2020,WR
163,J.J. Arcega-Whiteside,4,8,85,21.3,37,0,0,0,0,0,0,8,10.5,1.3,0.1,PHI,2020,WR
164,Diontae Spencer,3,6,26,8.7,10,0,0,3,19,0,0,11,10.5,1.0,0.1,DEN,2020,WR
165,C.J. Board,11,16,101,9.2,16,0,0,1,3,0,0,14,10.4,0.7,0.0,NYG,2020,WR
166,Justin Watson,7,11,94,13.4,36,0,0,0,0,0,0,11,9.4,0.9,0.0,KC,2020,WR
167,Austin Mack,7,11,91,13.0,50,0,0,0,0,0,0,11,9.1,0.8,0.0,SF,2020,WR
168,Joe Reed,0,1,0,0.0,0,0,0,5,29,1,0,11,8.9,0.8,0.0,LAC,2020,WR
169,Parris Campbell,6,9,71,11.8,21,0,0,2,16,0,0,2,8.7,4.4,4.5,IND,2020,WR
170,Austin Carr,3,4,27,9.0,11,0,1,0,0,0,0,6,8.7,1.5,0.0,FA,2020,WR
171,Trent Taylor,10,21,86,8.6,29,0,0,0,0,0,0,12,8.6,0.7,0.0,CIN,2020,WR
172,Jake Kumerow,1,1,22,22.0,22,0,1,0,0,0,0,6,8.2,1.4,0.1,BUF,2020,WR
173,Pharoh Cooper,5,8,73,14.6,32,0,0,0,0,0,0,16,7.3,0.5,0.1,FA,2020,WR
174,Courtland Sutton,3,6,66,22.0,45,0,0,0,0,0,0,1,6.6,6.6,67.5,DEN,2020,WR
175,Ashton Dulin,3,6,53,17.7,34,0,0,2,11,0,0,13,6.4,0.5,0.1,IND,2020,WR
176,Tyrie Cleveland,6,9,63,10.5,17,0,0,0,0,0,0,10,6.3,0.6,0.0,DEN,2020,WR
177,Damion Ratley,4,10,63,15.8,29,0,0,0,0,0,0,5,6.3,1.3,0.0,FA,2020,WR
178,Ja'Marcus Bradley,5,11,60,12.0,22,0,0,0,0,0,0,3,6.0,2.0,0.0,CLE,2020,WR
179,Steven Mitchell Jr.,5,8,60,12.0,20,0,0,0,0,0,0,6,6.0,1.0,0.0,FA,2020,WR
180,Jaydon Mickens,7,10,58,8.3,11,0,0,0,0,0,0,10,5.8,0.6,0.0,JAC,2020,WR
181,Nick Westbrook-Ikhine,3,8,33,11.0,19,0,0,0,0,0,0,14,5.3,0.4,8.5,TEN,2020,WR
182,KJ Hill Jr.,7,11,73,10.4,25,0,0,0,0,0,1,15,5.3,0.4,0.1,FA,2020,WR
183,Isaiah Zuber,2,2,29,14.5,16,0,0,2,21,0,0,4,5.0,1.3,0.0,FA,2020,WR
184,Trent Sherfield,5,7,50,10.0,26,0,0,0,0,0,0,15,5.0,0.3,0.1,SF,2020,WR
185,River Cracraft,6,9,41,6.8,12,0,0,0,0,0,0,9,4.1,0.5,0.0,MIA,2020,WR
