player,position,team,games,snaps,snaps_per_game,snaps_percent,rush_percent,tgt_percent,touch_percent,util_percent,fantasy_points,points_per_100_snaps,week,year
Ian Thomas,TE,CAR,1,46,46,62,0,2,2,2,1.0,2.2,8,2014
Jordan Akins,TE,HOU,1,39,39,64,0,13,13,13,5.3,13.6,8,2014
Mike White,QB,NYJ,1,79,79,94,6,0,63,63,28.1,35.6,8,2014
Chase Edmonds,RB,ARI,1,35,35,59,20,11,29,31,12.9,36.9,8,2014
Phillip Lindsay,RB,HOU,1,8,8,13,38,0,38,38,0.8,10.0,8,2014
Darrel Williams,RB,KC,1,52,52,64,25,12,37,37,11.0,21.2,8,2014
Noah Fant,TE,DEN,1,41,41,77,0,10,5,10,0.8,2.0,8,2014
Ray-Ray McCloud,WR,PIT,1,11,11,15,9,0,9,9,1.0,9.1,8,2014
Chris Herndon IV,TE,MIN,1,15,15,23,0,7,7,7,0.7,4.7,8,2014
Tyler Conklin,TE,MIN,1,54,54,82,0,13,9,13,5.7,10.6,8,2014
Boston Scott,RB,PHI,1,29,29,45,41,3,41,45,18.0,62.1,8,2014
Buddy Howell,RB,LAR,1,6,6,9,83,0,83,83,1.1,18.3,8,2014
Byron Pringle,WR,KC,1,43,43,53,0,5,2,5,1.2,2.8,8,2014
Ryan Nall,RB,CHI,1,7,7,10,14,0,14,14,0.4,5.7,8,2014
Keith Kirkwood,WR,CAR,1,35,35,47,0,3,0,3,0.0,0.0,8,2014
Cam Sims,WR,WAS,1,15,15,21,0,13,7,13,2.0,13.3,8,2014
Will Dissly,TE,SEA,1,36,36,63,0,0,0,0,0.0,0.0,8,2014
KhaDarel Hodge,WR,DET,1,16,16,26,0,13,0,13,0.0,0.0,8,2014
John Wolford,QB,LAR,1,9,9,13,0,0,22,22,0.2,2.2,8,2014
A.J. Brown,WR,TEN,1,67,67,92,0,16,16,18,21.5,32.1,8,2014
D.K. Metcalf,WR,SEA,1,41,41,72,0,15,15,15,16.3,39.8,8,2014
N'Keal Harry,WR,NE,1,27,27,35,0,7,7,7,3.0,11.1,8,2014
Damien Harris,RB,NE,1,41,41,53,56,2,56,59,14.0,34.1,8,2014
Daniel Jones,QB,NYG,1,60,60,100,8,0,62,62,17.1,28.5,8,2014
Deebo Samuel,WR,SF,1,46,46,82,0,20,13,20,17.1,37.2,8,2014
Albert Okwuegbunam,TE,DEN,1,26,26,49,0,12,12,12,3.4,13.1,8,2014
Devin Singletary,RB,BUF,1,25,25,34,28,4,32,32,2.9,11.6,8,2014
Collin Johnson,WR,NYG,1,24,24,40,0,8,8,8,1.0,4.2,8,2014
