,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
96,97,Stanley Morgan Jr.(CIN),1,2,8,8.0,8,0,0,1,3,0,0,1,1.1,1.1,0.0%
97,98,DeAndre Carter(WAS),0,1,0,0,0,0,0,1,11,0,0,1,1.1,1.1,1.8%
98,99,Tarik Black(NYJ),1,2,10,10.0,10,0,0,0,0,0,0,1,1.0,1.0,0.0%
99,100,Trenton Irwin(CIN),1,4,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,0.0%
100,101,Zach Pascal(IND),1,2,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,3.5%
101,102,Amari Rodgers(GB),1,3,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.4%
102,103,Greg Dortch(ARI),2,2,5,2.5,4,0,0,0,0,0,0,1,0.5,0.5,0.0%
103,104,Chester Rogers(TEN),2,2,4,2.0,4,0,0,0,0,0,0,1,0.4,0.4,0.6%
104,105,Greg Ward(PHI),1,2,2,2.0,2,0,0,0,0,0,0,1,0.3,0.3,0.1%
105,106,Adam Humphries(WAS),1,2,3,3.0,3,0,0,0,0,0,0,1,0.3,0.3,0.8%
106,107,Tyreek Hill(KC),1,3,2,2.0,2,0,0,0,0,0,0,1,0.2,0.2,100.0%
107,108,Devin Duvernay(BAL),0,0,0,0,0,0,0,1,2,0,0,1,0.2,0.2,1.4%
108,109,Jeff Smith(NYJ),1,3,2,2.0,2,0,0,0,0,0,0,1,0.2,0.2,0.0%
109,110,Denzel Mims(NYJ),0,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%
110,111,Kalija Lipscomb(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
111,112,Quintez Cephus(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
112,113,Isaiah Hodgins(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
113,114,James Proche II(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
114,115,John Hightower(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
115,116,Antonio Gandy-Golden(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
116,117,Joe Reed(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
117,118,Aaron Fuller(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
118,119,KJ Hamler(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
119,120,Lawrence Cager(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
120,121,Austin Mack(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
121,122,Tyrie Cleveland(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
