player,team,touchdowns
T.Benson,DET,0
R.Gafford,GB,1
D.Montgomery,NYJ,0
S.Schnell,FA,0
D.Ross,NE,0
A.Bachman,NYG,0
J.Guyton,LAC,0
S.Blacknall,FA,0
N.Webster,CHI,0
J.Palmer,LAC,0
B.Skowronek,LAR,0
D.Hazelton,HOU,0
C.Powell,KC,0
C.Johnson,SEA,0
D.Milne,WAS,0
A.Watkins,TB,0
J.Darden,TB,0
D.Eskridge,SEA,0
C.Blair,GB,0
F.Darby,ATL,0
W.Jackson,LAR,0
D.Dedmon,MIA,0
M.Mitchell,MIN,0
B.Smith,DAL,0
R.Bussey,PIT,0
J.McKinley,DET,0
O.Mitchell,DAL,0
K.Baker,NO,0
T.Nixon,NE,0
J.Camp,HOU,0
R.McMath,TEN,0
A.Trammell,ATL,0
J.Harris,LAR,0
L.Akers,LAR,0
T.Marshall,CAR,0
M.Simon,CAR,0
S.Fehoko,DAL,0
M.Strachan,IND,0
M.Bandy,LAC,0
T.Toivonen,NYG,0
C.Saunders,CAR,0
D.Sylencieux,BAL,0
T.Jones,JAC,0
D.Stoner,LV,0
D.Turner,LV,0
C.Wedington,SF,0
J.Ross,FA,0
B.Quick,FA,0
P.Edwards,DET,0
D.Thompson,FA,0
R.Streater,FA,0
M.Calvin,TEN,0
A.Holmes,FA,0
J.Kerley,FA,0
T.Smith,FA,0
A.Green,ARI,0
A.Fantuz,CHI,0
K.Aiken,FA,0
E.Riley,NYJ,0
D.Baldwin,FA,0
D.Ballard,DET,0
T.Smith,IND,0
M.Bryant,FA,0
K.Benjamin,FA,0
M.Wheaton,FA,0
T.Williams,FA,0
J.Hunter,FA,0
J.Jones,FA,0
J.Standeford,DET,0
L.Long,SF,0
K.McKinley,DEN,0
J.Iglesias,MIN,0
J.Nelson,FA,0
B.Tate,FA,0
B.Marshall,FA,0
B.Wade,WAS,0
D.Heyward-Bey,FA,0
C.Henry,CIN,0
D.Edison,DAL,0
B.LaFell,FA,0
T.Grisham,PIT,0
J.Williams,LAC,0
O.Jones,CHI,0
T.Watkins,NYG,0
P.Garcon,FA,0
N.Hughes,JAC,0
M.Wallace,FA,0
M.Furrey,WAS,0
M.Purify,CIN,0
M.Slater,NE,0
M.Mitchell,MIN,0
S.Giguere,NYG,0
R.Harper,PHI,0
M.Frazier,FA,0
R.Horn,CIN,0
M.McCaffrey,FA,0
T.Lewis,MIA,0
J.Lampman,NO,0
M.Michel,WAS,0
A.Jones,NYG,0
J.Mickens,JAC,0
L.Carroo,FA,0
J.Doctson,FA,0
C.Coleman,FA,0
K.Reynolds,FA,0
A.Russell,FA,0
C.Peake,FA,0
I.Whitney,ARI,0
M.Kemp,KC,0
R.McCarron,FA,0
J.Hardee,NYJ,0
J.Natson,FA,0
L.Lenoir,FA,0
D.Burton,FA,0
V.Bolden,FA,0
A.Darboh,DEN,0
J.Chesson,FA,0
S.Gibson,CAR,0
N.Brown,DAL,0
C.Hansen,ATL,0
K.Hatcher,FA,0
T.Taylor,FA,0
R.Adams,NYJ,0
C.Williams,FA,0
T.Taylor,CIN,0
J.Agnew,JAC,0
T.Gentry,BUF,0
G.Dieter,KC,0
J.Malone,FA,0
F.Martino,FA,0
B.Marquez,FA,0
E.Rogers,FA,0
T.Jones,FA,0
T.Montgomery,NO,0
R.Greene,FA,0
K.White,NO,0
K.Clay,FA,0
D.Shepherd,FA,0
R.McCloud,PIT,0
G.Dortch,ARI,0
Q.Enunwa,FA,0
M.Walker,FA,0
