rank,player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,year,team
289.0,Reggie Bush,223.0,1006.0,4.5,39.0,6.0,4.0,54.0,80.0,506.0,9.4,3.0,4.0,14.0,0.0,0.0,0.0,RB,2013,team
290.0,Shonn Greene,77.0,295.0,3.8,29.0,2.0,4.0,6.0,7.0,39.0,6.5,0.0,0.0,11.0,0.0,0.0,0.0,RB,2013,team
292.0,Ronnie Brown,45.0,157.0,3.5,13.0,0.0,1.0,8.0,8.0,60.0,7.5,0.0,0.0,16.0,0.0,0.0,0.0,RB,2013,team
293.0,Ray Rice,214.0,660.0,3.1,47.0,1.0,4.0,58.0,73.0,321.0,5.5,0.0,2.0,15.0,0.0,0.0,0.0,RB,2013,team
294.0,Rashard Mendenhall,217.0,687.0,3.2,28.0,1.0,8.0,18.0,21.0,134.0,7.4,0.0,3.0,15.0,0.0,0.0,0.0,RB,2013,team
295.0,Rashad Jennings,163.0,733.0,4.5,80.0,4.0,6.0,36.0,47.0,292.0,8.1,0.0,0.0,15.0,0.0,0.0,0.0,RB,2013,team
297.0,Pierre Thomas,147.0,549.0,3.7,18.0,0.0,2.0,77.0,84.0,513.0,6.7,3.0,1.0,16.0,0.0,0.0,0.0,RB,2013,team
298.0,Peyton Hillis,73.0,247.0,3.4,27.0,1.0,2.0,13.0,21.0,96.0,7.4,0.0,1.0,7.0,0.0,0.0,0.0,RB,2013,team
299.0,Steven Jackson,157.0,543.0,3.5,50.0,3.0,6.0,33.0,49.0,191.0,5.8,1.0,0.0,12.0,0.0,0.0,0.0,RB,2013,team
300.0,Willis McGahee,138.0,377.0,2.7,16.0,0.0,2.0,8.0,11.0,20.0,2.5,0.0,1.0,12.0,0.0,0.0,0.0,RB,2013,team
301.0,Ben Tate,181.0,771.0,4.3,60.0,3.0,4.0,34.0,49.0,140.0,4.1,0.0,2.0,14.0,0.0,0.0,0.0,RB,2013,team
303.0,Ryan Mathews,285.0,1255.0,4.4,51.0,7.0,6.0,26.0,33.0,189.0,7.3,1.0,1.0,16.0,0.0,0.0,0.0,RB,2013,team
304.0,Jonathan Dwyer,49.0,197.0,4.0,30.0,2.0,0.0,8.0,11.0,64.0,8.0,0.0,0.0,15.0,0.0,0.0,0.0,RB,2013,team
305.0,C.J. Spiller,202.0,933.0,4.6,77.0,9.0,2.0,33.0,40.0,185.0,5.6,0.0,1.0,15.0,0.0,0.0,0.1,RB,2013,team
306.0,Frank Summers,12.0,46.0,3.8,16.0,0.0,1.0,7.0,8.0,79.0,11.3,1.0,0.0,15.0,0.0,0.0,0.0,RB,2013,team
308.0,Tashard Choice,46.0,170.0,3.7,20.0,1.0,0.0,5.0,9.0,15.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,RB,2013,team
309.0,Vonta Leach,11.0,23.0,2.1,6.0,0.0,0.0,11.0,19.0,47.0,4.3,1.0,0.0,16.0,0.0,0.0,0.0,RB,2013,team
310.0,Tony Fiammetta,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,57.0,14.3,0.0,0.0,16.0,0.0,0.0,0.0,RB,2013,team
311.0,Le'Ron McClain,11.0,32.0,2.9,7.0,0.0,0.0,2.0,3.0,-7.0,-3.5,0.0,0.0,16.0,0.0,0.0,0.0,RB,2013,team
312.0,Leon Washington,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,RB,2013,team
314.0,LaRod Stephens-Howling,6.0,19.0,3.2,5.0,0.0,0.0,2.0,3.0,11.0,5.5,0.0,0.0,1.0,0.0,0.0,0.0,RB,2013,team
315.0,Marcel Reece,46.0,218.0,4.7,63.0,1.0,2.0,32.0,54.0,331.0,10.3,2.0,0.0,16.0,0.0,0.0,0.0,RB,2013,team
317.0,Mike Tolbert,101.0,361.0,3.6,22.0,2.0,5.0,27.0,32.0,184.0,6.8,2.0,0.0,16.0,0.0,0.0,0.0,RB,2013,team
318.0,Mike Goodson,7.0,61.0,8.7,26.0,1.0,0.0,2.0,3.0,19.0,9.5,0.0,0.0,2.0,0.0,0.0,0.0,RB,2013,team
320.0,Michael Robinson,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,27.0,13.5,0.0,0.0,9.0,0.0,0.0,0.0,RB,2013,team
322.0,Michael Bush,63.0,197.0,3.1,40.0,1.0,3.0,4.0,8.0,48.0,12.0,1.0,0.0,15.0,0.0,0.0,0.0,RB,2013,team
323.0,Maurice Jones-Drew,234.0,803.0,3.4,48.0,5.0,5.0,43.0,60.0,314.0,7.3,0.0,1.0,15.0,0.0,0.0,0.0,RB,2013,team
325.0,Matt Forte,289.0,1339.0,4.6,55.0,9.0,9.0,74.0,94.0,594.0,8.0,3.0,2.0,16.0,0.0,0.0,19.1,RB,2013,team
326.0,Marshawn Lynch,301.0,1257.0,4.2,43.0,6.0,12.0,36.0,44.0,316.0,8.8,2.0,1.0,16.0,0.0,0.0,0.3,RB,2013,team
328.0,Mike Gillislee,6.0,21.0,3.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,RB,2013,team
329.0,Ray Graham,4.0,8.0,2.0,4.0,0.0,0.0,1.0,3.0,12.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,RB,2013,team
369.0,Stepfan Taylor,36.0,115.0,3.2,15.0,0.0,0.0,8.0,9.0,71.0,8.9,0.0,0.0,16.0,0.0,0.0,0.2,RB,2013,team
376.0,Zach Line,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,RB,2013,team
377.0,Khiry Robinson,54.0,224.0,4.1,25.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,RB,2013,team
378.0,C.J. Anderson,7.0,38.0,5.4,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,RB,2013,team
379.0,Michael Hill,9.0,23.0,2.6,10.0,0.0,0.0,2.0,2.0,23.0,11.5,0.0,0.0,8.0,0.0,0.0,0.0,RB,2013,team
381.0,James Develin,4.0,10.0,2.5,4.0,0.0,1.0,4.0,4.0,62.0,15.5,0.0,0.0,16.0,0.0,0.0,0.0,RB,2013,team
382.0,Michael Cox,22.0,43.0,2.0,9.0,0.0,0.0,3.0,3.0,12.0,4.0,0.0,0.0,14.0,0.0,0.0,0.0,RB,2013,team
383.0,Tommy Bohanon,17.0,62.0,3.6,8.0,0.0,0.0,11.0,16.0,69.0,6.3,0.0,0.0,16.0,0.0,0.0,0.0,RB,2013,team
386.0,Fozzy Whittaker,28.0,79.0,2.8,11.0,0.0,0.0,21.0,35.0,155.0,7.4,2.0,0.0,14.0,0.0,0.0,0.0,RB,2013,team
387.0,Montee Ball,120.0,559.0,4.7,45.0,3.0,4.0,20.0,27.0,145.0,7.3,0.0,3.0,16.0,0.0,0.0,0.0,RB,2013,team
388.0,Andre Ellington,118.0,652.0,5.5,80.0,8.0,3.0,39.0,57.0,371.0,9.5,1.0,0.0,15.0,0.0,0.0,0.1,RB,2013,team
389.0,Derrick Coleman,2.0,3.0,1.5,4.0,0.0,0.0,8.0,8.0,62.0,7.8,1.0,0.0,12.0,0.0,0.0,0.1,RB,2013,team
394.0,Joe Banyard,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,RB,2013,team
