,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
177,Christian Blake,WR,ATL,1,3,3,6,0,33,0,33,0.0,0.0
178,Keith Kirkwood,WR,CAR,1,10,10,14,0,10,0,10,0.0,0.0
179,Trent Sherfield,WR,SF,1,10,10,14,0,10,10,10,1.3,13.0
180,Cam Sims,WR,WAS,1,39,39,66,0,3,0,3,0.0,0.0
181,Jeff Wilson Jr.,RB,SF,1,6,6,9,0,0,0,0,0.0,0.0
182,Dontrell Hilliard,RB,TEN,1,34,34,50,26,3,29,29,5.8,17.1
183,A.J. Brown,WR,TEN,1,56,56,82,0,11,7,11,12.8,22.9
184,D.K. Metcalf,WR,SEA,1,51,51,88,0,22,10,22,5.8,11.4
185,N'Keal Harry,WR,NE,1,12,12,19,0,8,0,8,0.0,0.0
186,Drew Lock,QB,DEN,1,54,54,100,7,0,52,52,22.0,40.7
187,Marquise Brown,WR,BAL,1,58,58,82,0,14,5,14,2.7,4.7
188,Damien Harris,RB,NE,1,30,30,48,37,13,50,50,13.3,44.3
189,J.J. Arcega-Whiteside,WR,PHI,1,42,42,57,0,7,0,7,0.0,0.0
190,David Montgomery,RB,CHI,1,49,49,60,41,6,45,47,7.9,16.1
191,Deebo Samuel,WR,SF,1,50,50,71,16,12,26,30,25.0,50.0
192,Albert Okwuegbunam,TE,DEN,1,16,16,30,0,0,0,0,0.0,0.0
193,Josh Jacobs,RB,LV,1,57,57,71,46,4,49,49,20.4,35.8
194,Devin Singletary,RB,BUF,1,62,62,76,31,3,34,34,23.2,37.4
195,Hunter Renfrow,WR,LV,1,51,51,64,2,10,10,12,12.9,25.3
196,Foster Moreau,TE,LV,1,49,49,61,0,4,4,4,5.0,10.2
197,Ty Johnson,RB,NYJ,1,15,15,33,7,7,7,13,-0.1,-0.7
198,Parris Campbell,WR,IND,1,8,8,14,0,38,0,38,0.0,0.0
199,Terry McLaurin,WR,WAS,1,47,47,80,0,13,9,13,9.3,19.8
200,Qadree Ollison,RB,ATL,1,16,16,32,6,6,6,13,7.9,49.4
201,Josh Oliver,TE,BAL,1,19,19,27,0,5,5,5,0.1,0.5
202,Ryquell Armstead,RB,JAC,1,20,20,29,45,10,55,55,6.2,31.0
203,Drew Sample,TE,CIN,1,17,17,31,0,6,6,6,0.8,4.7
204,Gardner Minshew II,QB,PHI,1,74,74,100,7,0,51,51,15.4,20.8
205,David Sills V,WR,NYG,1,16,16,27,0,19,0,19,0.0,0.0
206,Greg Dortch,WR,ARI,1,12,12,16,0,17,17,17,0.5,4.2
207,Mecole Hardman,WR,KC,1,65,65,83,2,17,14,18,11.3,17.4
208,Lil'Jordan Humphrey,WR,NO,1,7,7,10,0,14,14,14,2.6,37.1
209,Tyree Jackson,TE,PHI,1,39,39,53,0,13,8,13,8.2,21.0
210,Jakobi Meyers,WR,NE,1,52,52,84,0,15,8,15,5.0,9.6
211,Kyler Murray,QB,ARI,1,76,76,100,7,0,58,58,17.1,22.5
212,Antoine Wesley,WR,ARI,1,57,57,75,0,7,4,7,1.7,3.0
213,Trayveon Williams,RB,CIN,1,24,24,44,38,8,42,46,4.2,17.5
214,Benny Snell Jr.,RB,PIT,1,29,29,38,41,0,41,41,2.2,7.6
215,Diontae Johnson,WR,PIT,1,65,65,86,0,15,11,15,5.1,7.8
216,Travis Homer,RB,SEA,1,13,13,22,8,23,15,31,2.7,20.8
217,Alexander Mattison,RB,MIN,1,18,18,38,28,6,33,33,2.1,11.7
218,Stanley Morgan Jr.,WR,CIN,1,33,33,61,3,6,6,9,1.1,3.3
219,Chase Claypool,WR,PIT,1,69,69,91,4,10,12,14,13.0,18.8
220,Dawson Knox,TE,BUF,1,75,75,91,0,7,4,7,5.3,7.1
221,Tyler Johnson,WR,TB,1,52,52,87,0,13,10,13,2.2,4.2
222,Bryan Edwards,WR,LV,1,56,56,70,0,9,7,9,6.3,11.3
223,Justin Herbert,QB,LAC,1,93,93,100,2,0,71,71,28.4,30.5
224,Zach Gentry,TE,PIT,1,44,44,58,0,11,9,11,3.9,8.9
225,Juwann Winfree,WR,GB,1,44,44,65,0,7,7,7,-0.4,-0.9
226,Darius Slayton,WR,NYG,1,42,42,70,0,7,5,7,8.9,21.2
227,Scotty Miller,WR,TB,1,14,14,23,14,7,21,21,11.2,80.0
