Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Colt McCoyARI,1.4,1.0,22.8,0.1,0.1,0.2,0.6,0.0,0.0,1.3
Mike GlennonNYG,3.8,2.5,23.1,0.1,0.1,0.1,0.2,0.0,0.0,1.2
Cooper RushDAL,1.5,0.9,18.7,0.1,0.1,0.3,0.2,0.0,0.0,1.2
David BloughDET,2.3,1.5,15.5,0.1,0.0,0.2,0.8,0.0,0.0,1.2
Jordan LoveGB,1.4,0.8,15.8,0.1,0.1,0.3,0.7,0.0,0.0,1.0
John WolfordLAR,1.4,0.9,17.9,0.1,0.1,0.3,0.9,0.0,0.0,1.0
Chase DanielLAC,1.5,1.0,12.0,0.1,0.0,0.2,0.8,0.0,0.0,1.0
Gardner Minshew IIPHI,1.1,0.7,11.1,0.1,0.0,0.3,1.3,0.0,0.0,0.9
Brandon AllenCIN,1.3,0.8,14.7,0.1,0.0,0.3,0.5,0.0,0.0,0.9
Brett RypienDEN,1.3,0.8,13.2,0.1,0.0,0.3,0.1,0.0,0.0,0.9
C.J. BeathardJAC,1.5,0.9,14.4,0.1,0.0,0.2,0.5,0.0,0.0,0.9
Geno SmithSEA,1.2,0.8,12.4,0.1,0.0,0.2,1.3,0.0,0.0,0.9
Mason RudolphPIT,1.6,1.0,9.7,0.1,0.0,0.2,0.8,0.0,0.0,0.9
Chad HenneKC,1.5,0.9,10.4,0.1,0.0,0.2,0.4,0.0,0.0,0.9
Mitchell TrubiskyBUF,1.5,0.9,10.1,0.1,0.1,0.3,1.2,0.0,0.0,0.8
Case KeenumCLE,1.2,0.8,8.6,0.1,0.0,0.1,0.7,0.0,0.0,0.8
Tyrod TaylorHOU,1.3,0.8,9.0,0.1,0.1,0.2,0.9,0.0,0.0,0.8
Kyle AllenWAS,1.3,0.8,9.0,0.1,0.1,0.1,0.6,0.0,0.0,0.7
Mike WhiteNYJ,1.4,0.9,9.7,0.1,0.1,0.2,0.2,0.0,0.0,0.7
Kellen MondMIN,0.6,0.4,12.6,0.0,0.1,0.0,0.2,0.0,0.0,0.7
Sam EhlingerIND,0.7,0.4,10.6,0.0,0.0,0.2,0.7,0.0,0.0,0.7
Brian HoyerNE,1.2,0.8,7.8,0.1,0.1,0.3,0.2,0.0,0.0,0.6
Jacoby BrissettMIA,0.8,0.5,9.7,0.0,0.0,0.6,0.9,0.0,0.0,0.6
Blake BortlesNO,0.7,0.4,10.3,0.0,0.0,0.3,0.2,0.0,0.0,0.5
Logan WoodsideTEN,0.6,0.4,9.3,0.0,0.0,0.3,0.3,0.0,0.0,0.5
Feleipe FranksATL,0.9,0.6,6.6,0.0,0.1,0.2,0.9,0.0,0.0,0.3
