,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
15,KC,@NE,vsPHI,@LAC,vsWAS,@HOU,vsPIT,@LV,vsDEN,@DAL,BYE,@NYG,vsBUF,@NYJ,vsLV,vsLAC,vsMIA,@DEN
16,MIA,vsTB,@LAC,@NYJ,vsNO,vsTEN,@ATL,vsNYJ,@BAL,vsLV,@CAR,vsTB,@NE,vsDEN,vsNE,@BUF,@KC,vsBUF
17,MIN,vsNO,@PIT,vsTB,vsDET,@CHI,vsGB,vsBAL,@CLE,BYE,@WAS,vsLAR,@DET,@ATL,@CAR,vsCIN,@GB,vsCHI
18,NE,vsKC,@NO,vsHOU,vsCAR,@TB,@NYJ,vsATL,vsLAC,BYE,@DEN,@LV,vsMIA,@BUF,@MIA,@PIT,vsBUF,vsNYJ
19,NO,@MIN,vsNE,@CAR,@MIA,BYE,vsDET,@GB,vsCHI,vsTB,@BUF,vsWAS,@LAR,vsCAR,@ATL,vsNYJ,vsATL,@TB
20,NYG,@DAL,vsDET,@PHI,@TB,vsLAC,@DEN,vsSEA,BYE,vsLAR,@SF,vsKC,@WAS,@LV,vsDAL,vsPHI,@ARI,vsWAS
21,NYJ,@BUF,@LV,vsMIA,vsJAC,@CLE,vsNE,@MIA,vsATL,vsBUF,@TB,BYE,vsCAR,vsKC,@DEN,@NO,vsLAC,@NE
22,LV,@TEN,vsNYJ,@WAS,@DEN,vsBAL,vsLAC,vsKC,@BUF,@MIA,-,vsNE,vsDEN,vsNYG,@KC,vsDAL,@PHI,@LAC
23,PHI,@WAS,@KC,vsNYG,@LAC,vsARI,@CAR,vsWAS,vsSF,vsDEN,BYE,@DAL,vsCHI,@SEA,@LAR,@NYG,vsLV,vsDAL
24,PIT,@CLE,vsMIN,@CHI,@BAL,vsJAC,@KC,vsCIN,@DET,BYE,@IND,vsTEN,vsGB,@CIN,vsBAL,vsNE,@HOU,vsCLE
25,LAC,@DEN,vsMIA,vsKC,vsPHI,@NYG,@LV,vsDEN,@NE,BYE,@JAC,vsBUF,@DAL,vsCLE,vsWAS,@KC,@NYJ,vsLV
26,SEA,@GB,vsSF,@TEN,vsIND,@LAR,BYE,@NYG,vsHOU,vsWAS,@ARI,vsATL,@SF,vsPHI,@JAC,vsLAR,@DAL,vsARI
27,SF,vsCAR,@SEA,vsLAR,@ARI,@IND,@WAS,vsDAL,@PHI,vsARI,vsNYG,BYE,vsSEA,@CHI,@HOU,vsTEN,vsJAC,@LAR
28,LAR,vsIND,vsWAS,@SF,@DAL,vsSEA,@JAC,vsARI,BYE,@NYG,vsHOU,@MIN,vsNO,@ARI,vsPHI,@SEA,@TEN,vsSF
29,TB,@MIA,vsCHI,@MIN,vsNYG,vsNE,@ARI,@BUF,vsCAR,@NO,vsNYJ,@MIA,@ATL,@GB,vsDET,vsATL,@CAR,vsNO
30,TEN,vsLV,@JAC,vsSEA,@HOU,@MIA,vsIND,@CLE,BYE,vsBAL,vsCIN,@PIT,@IND,vsHOU,@ARI,@SF,vsLAR,vsJAC
31,WAS,vsPHI,@LAR,vsLV,@KC,BYE,vsSF,@PHI,vsDAL,@SEA,vsMIN,@NO,vsNYG,@DAL,@LAC,vsARI,vsDEN,@NYG
