,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
10,DET,vsNYJ,@SF,vsNE,@DAL,vsGB,BYE,@MIA,vsSEA,@MIN,@CHI,vsCAR,vsCHI,vsLAR,@ARI,@BUF,vsMIN,@GB
11,GB,vsCHI,vsMIN,@WAS,vsBUF,@DET,vsSF,BYE,@LAR,@NE,vsMIA,@SEA,@MIN,vsARI,vsATL,@CHI,@NYJ,vsDET
12,HOU,@NE,@TEN,vsNYG,@IND,vsDAL,vsBUF,@JAC,vsMIA,@DEN,BYE,@WAS,vsTEN,vsCLE,vsIND,@NYJ,@PHI,vsJAC
13,IND,vsCIN,@WAS,@PHI,vsHOU,@NE,@NYJ,vsBUF,@LV,BYE,vsJAC,vsTEN,vsMIA,@JAC,@HOU,vsDAL,vsNYG,@TEN
14,JAC,@NYG,vsNE,vsTEN,vsNYJ,@KC,@DAL,vsHOU,vsPHI,BYE,@IND,vsPIT,@BUF,vsIND,@TEN,vsWAS,@MIA,@HOU
15,KC,@LAC,@PIT,vsSF,@DEN,vsJAC,@NE,vsCIN,vsDEN,@CLE,vsARI,@LAR,BYE,@LV,vsBAL,vsLAC,@SEA,vsLV
16,MIA,vsTEN,@NYJ,vsLV,@NE,@CIN,vsCHI,vsDET,@HOU,vsNYJ,@GB,BYE,@IND,vsBUF,vsNE,@MIN,vsJAC,@BUF
17,MIN,vsSF,@GB,vsBUF,@LAR,@PHI,vsARI,@NYJ,vsNO,vsDET,BYE,@CHI,vsGB,@NE,@SEA,vsMIA,@DET,vsCHI
18,NE,vsHOU,@JAC,@DET,vsMIA,vsIND,vsKC,@CHI,@BUF,vsGB,@TEN,BYE,@NYJ,vsMIN,@MIA,@PIT,vsBUF,vsNYJ
19,NO,vsTB,vsCLE,@ATL,@NYG,vsWAS,BYE,@BAL,@MIN,vsLAR,@CIN,vsPHI,vsATL,@DAL,@TB,@CAR,vsPIT,vsCAR
20,NYG,vsJAC,@DAL,@HOU,vsNO,@CAR,vsPHI,@ATL,vsWAS,BYE,@SF,vsTB,@PHI,vsCHI,@WAS,vsTEN,@IND,vsDAL
21,NYJ,@DET,vsMIA,@CLE,@JAC,vsDEN,vsIND,vsMIN,@CHI,@MIA,vsBUF,BYE,vsNE,@TEN,@BUF,vsHOU,vsGB,@NE
22,LV,vsLAR,@DEN,@MIA,vsCLE,@LAC,vsSEA,-,vsIND,@SF,vsLAC,@ARI,@BAL,vsKC,vsPIT,@CIN,vsDEN,@KC
23,PHI,vsATL,@TB,vsIND,@TEN,vsMIN,@NYG,vsCAR,@JAC,BYE,vsDAL,@NO,vsNYG,vsWAS,@DAL,@LAR,vsHOU,@WAS
24,PIT,@CLE,vsKC,@TB,vsBAL,vsATL,@CIN,BYE,vsCLE,@BAL,vsCAR,@JAC,@DEN,vsLAC,@LV,vsNE,@NO,vsCIN
25,LAC,vsKC,@BUF,@LAR,vsSF,vsLV,@CLE,vsTEN,BYE,@SEA,@LV,vsDEN,vsARI,@PIT,vsCIN,@KC,vsBAL,@DEN
26,SEA,@DEN,@CHI,vsDAL,@ARI,vsLAR,@LV,BYE,@DET,vsLAC,@LAR,vsGB,@CAR,vsSF,vsMIN,@SF,vsKC,vsARI
27,SF,@MIN,vsDET,@KC,@LAC,vsARI,@GB,vsLAR,@ARI,vsLV,vsNYG,BYE,@TB,@SEA,vsDEN,vsSEA,vsCHI,@LAR
28,LAR,@LV,vsARI,vsLAC,vsMIN,@SEA,@DEN,@SF,vsGB,@NO,vsSEA,vsKC,BYE,@DET,@CHI,vsPHI,@ARI,vsSF
29,TB,@NO,vsPHI,vsPIT,@CHI,BYE,@ATL,vsCLE,@CIN,@CAR,vsWAS,@NYG,vsSF,vsCAR,vsNO,@BAL,@DAL,vsATL
30,TEN,@MIA,vsHOU,@JAC,vsPHI,@BUF,vsBAL,@LAC,BYE,@DAL,vsNE,@IND,@HOU,vsNYJ,vsJAC,@NYG,vsWAS,vsIND
31,WAS,@ARI,vsIND,vsGB,BYE,@NO,vsCAR,vsDAL,@NYG,vsATL,@TB,vsHOU,@DAL,@PHI,vsNYG,@JAC,@TEN,vsPHI
