Player,REC,YDS,TDS,FL,FPTS
Jack StollPHI,0.6,6.0,0.0,0.0,0.6
Charlie WoernerSF,0.5,5.8,0.0,0.0,0.6
Ben EllefsonMIN,0.5,5.6,0.0,0.0,0.6
Tyree JacksonPHI,0.5,5.0,0.0,0.0,0.5
Josh OliverBAL,0.5,4.6,0.0,0.0,0.5
Kendall BlantonLAR,0.4,3.8,0.0,0.0,0.4
Demetrius HarrisARI,0.3,3.4,0.0,0.0,0.3
Darrell DanielsARI,0.4,3.2,0.0,0.0,0.3
Kevin RaderPIT,0.3,3.0,0.0,0.0,0.3
Reggie GilliamBUF,0.4,2.7,0.0,0.0,0.3
J.P. HoltzCHI,0.2,2.2,0.0,0.0,0.2
Eric TomlinsonBAL,0.2,2.0,0.0,0.0,0.2
Sammis ReyesWAS,0.2,2.0,0.0,0.0,0.2
Daniel BrownNYJ,0.1,1.0,0.0,0.0,0.1
Kenny YeboahNYJ,0.1,1.0,0.0,0.0,0.1
Luke StockerMIN,0.1,1.0,0.0,0.0,0.1
Mitchell WilcoxCIN,0.1,1.0,0.0,0.0,0.1
Jeremy SprinkleDAL,0.0,0.0,0.0,0.0,0.0
Cethan CarterMIA,0.0,0.0,0.0,0.0,0.0
