Player,REC,YDS,TDS,FL,FPTS
Sammis ReyesWAS,0.8,8.0,0.1,0.0,1.4
Brycen HopkinsLAR,0.7,7.6,0.1,0.0,1.4
Kaden SmithNYG,1.1,8.5,0.1,0.0,1.3
Dominique DafneyGB,0.7,7.4,0.1,0.0,1.3
Nick BoyleBAL,1.0,9.2,0.1,0.0,1.2
Chris Herndon IVMIN,0.7,7.4,0.1,0.0,1.2
Zach GentryPIT,0.9,9.7,0.0,0.0,1.2
Chris MyarickNYG,0.9,8.5,0.0,0.0,1.1
Tyree JacksonPHI,0.8,7.9,0.0,0.0,1.0
Tre' McKittyLAC,0.7,6.7,0.1,0.0,1.0
Antony AuclairHOU,0.7,6.5,0.1,0.0,1.0
Brock WrightDET,0.7,7.5,0.0,0.0,0.9
Drew SampleCIN,0.7,6.8,0.0,0.0,0.9
Tommy HudsonTEN,0.7,7.2,0.0,0.0,0.9
Garrett GriffinNO,0.6,5.5,0.1,0.0,0.8
Stephen AndersonLAC,0.6,5.5,0.1,0.0,0.8
Jack StollPHI,0.6,8.0,0.0,0.0,0.8
Chris ManhertzJAC,0.5,5.0,0.1,0.0,0.8
Kylen GransonIND,0.6,6.5,0.0,0.0,0.8
Kendall BlantonLAR,0.4,4.6,0.1,0.0,0.8
Ross DwelleySF,0.4,4.3,0.1,0.0,0.7
Colby ParkinsonSEA,0.6,5.6,0.0,0.0,0.7
Andrew BeckDEN,0.3,2.9,0.1,0.0,0.6
Hunter LongMIA,0.7,5.8,0.0,0.0,0.6
Eric SaubertDEN,0.6,4.6,0.0,0.0,0.5
Charlie WoernerSF,0.4,4.4,0.0,0.0,0.4
Kevin RaderPIT,0.4,4.0,0.0,0.0,0.4
Luke FarrellJAC,0.4,4.0,0.0,0.0,0.4
J.P. HoltzCHI,0.3,3.6,0.0,0.0,0.4
Trevon WescoNYJ,0.3,3.1,0.0,0.0,0.3
Reggie GilliamBUF,0.4,2.9,0.0,0.0,0.3
Josh OliverBAL,0.2,2.0,0.0,0.0,0.2
Kahale WarringJAC,0.2,2.0,0.0,0.0,0.2
Kenny YeboahNYJ,0.2,2.0,0.0,0.0,0.2
Mason SchreckCIN,0.2,2.0,0.0,0.0,0.2
Quintin MorrisBUF,0.2,2.0,0.0,0.0,0.2
Luke StockerMIN,0.2,2.0,0.0,0.0,0.2
Jeremy SprinkleDAL,0.1,1.0,0.0,0.0,0.1
Eric TomlinsonBAL,0.1,1.0,0.0,0.0,0.1
Cethan CarterMIA,0.1,0.9,0.0,0.0,0.1
Giovanni RicciCAR,0.1,0.5,0.0,0.0,0.1
Colin ThompsonCAR,0.0,0.0,0.0,0.0,0.0
