,Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
125,Ashton DulinIND,0.6,7.5,0.1,0.1,0.2,0.0,0.0,1.1
126,Laquon TreadwellJAC,0.7,8.5,0.0,0.0,0.0,0.0,0.0,1.0
127,Nick Westbrook-IkhineTEN,0.6,7.5,0.0,0.0,0.0,0.0,0.0,1.0
128,Kendall HintonDEN,0.6,6.3,0.0,0.2,1.2,0.0,0.0,1.0
129,Noah BrownDAL,0.6,7.5,0.0,0.0,0.2,0.0,0.0,1.0
130,Jauan JenningsSF,0.6,7.0,0.0,0.0,0.1,0.0,0.0,0.9
131,Stanley Morgan Jr.CIN,0.6,7.2,0.0,0.1,0.3,0.0,0.0,0.9
132,Phillip Dorsett IIHOU,0.4,5.1,0.0,0.0,0.4,0.0,0.0,0.8
133,Jake KumerowBUF,0.4,5.2,0.0,0.0,0.0,0.0,0.0,0.7
134,Ben SkowronekLAR,0.4,5.0,0.0,0.0,0.2,0.0,0.0,0.7
135,Chris MooreHOU,0.2,4.7,0.0,0.0,0.2,0.0,0.0,0.7
136,KhaDarel HodgeDET,0.4,5.1,0.0,0.0,0.0,0.0,0.0,0.6
137,Cam SimsWAS,0.3,4.7,0.0,0.0,0.0,0.0,0.0,0.6
138,Alex EricksonCAR,0.4,3.8,0.0,0.1,1.0,0.0,0.0,0.6
139,Tylan WallaceBAL,0.3,4.7,0.0,0.0,0.2,0.0,0.0,0.6
140,Jaelon DardenTB,0.3,4.3,0.0,0.0,0.2,0.0,0.0,0.6
141,Malik TaylorGB,0.4,4.1,0.0,0.1,0.3,0.0,0.0,0.6
142,Jody FortsonKC,0.3,3.6,0.0,0.0,0.1,0.0,0.0,0.5
143,Amari RodgersGB,0.4,4.2,0.0,0.0,0.1,0.0,0.0,0.5
144,Jamal AgnewJAC,0.3,3.1,0.0,0.0,0.7,0.0,0.0,0.5
145,Mack HollinsMIA,0.3,3.6,0.0,0.0,0.0,0.0,0.0,0.5
146,DeMichael HarrisIND,0.2,2.6,0.0,0.0,0.7,0.0,0.0,0.5
147,Dede WestbrookMIN,0.3,3.6,0.0,0.0,0.1,0.0,0.0,0.4
148,C.J. BoardNYG,0.2,3.1,0.0,0.0,0.2,0.0,0.0,0.4
149,DeAndre CarterWAS,0.3,3.0,0.0,0.0,0.3,0.0,0.0,0.4
150,Dax MilneWAS,0.3,3.2,0.0,0.0,0.1,0.0,0.0,0.4
151,J.J. Arcega-WhitesidePHI,0.2,3.3,0.0,0.0,0.0,0.0,0.0,0.4
152,Simi FehokoDAL,0.2,3.0,0.0,0.0,0.1,0.0,0.0,0.4
153,Tutu AtwellLAR,0.2,2.7,0.0,0.0,0.2,0.0,0.0,0.4
154,Racey McMathTEN,0.2,3.0,0.0,0.0,0.1,0.0,0.0,0.4
155,Matthew SlaterNE,0.1,3.1,0.0,0.0,0.1,0.0,0.0,0.3
156,James Proche IIBAL,0.2,3.1,0.0,0.0,0.1,0.0,0.0,0.3
157,Ihmir Smith-MarsetteMIN,0.2,2.5,0.0,0.0,0.2,0.0,0.0,0.3
158,Nsimba WebsterCHI,0.2,2.9,0.0,0.0,0.1,0.0,0.0,0.3
159,Diontae SpencerDEN,0.2,2.1,0.0,0.0,0.4,0.0,0.0,0.3
160,Gunner OlszewskiNE,0.1,1.6,0.0,0.1,0.4,0.0,0.0,0.2
161,Equanimeous St. BrownGB,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.2
162,Marcus KempKC,0.1,1.6,0.0,0.0,0.0,0.0,0.0,0.2
163,Penny HartSEA,0.1,1.2,0.0,0.0,0.2,0.0,0.0,0.2
164,Antoine WesleyARI,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.1
165,Tavon AustinJAC,0.0,0.4,0.0,0.1,0.4,0.0,0.0,0.1
166,Steven Sims Jr.PIT,0.1,0.5,0.0,0.1,0.3,0.0,0.0,0.1
167,Collin JohnsonNYG,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.1
168,Cameron BatsonTEN,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.1
169,Malik TurnerDAL,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.1
170,Gehrig DieterKC,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.1
171,Terry GodwinJAC,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.1
172,Marcus JohnsonTEN,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1
173,Dante PettisNYG,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1
174,Tanner GentryBUF,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.1
175,Trenton IrwinCIN,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1
176,Brandon PowellLAR,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.1
177,Ryan SwitzerCLE,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
178,Andy IsabellaARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,Mike StrachanIND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
