player,position,team,games,snaps,snaps_per_game,snaps_percent,rush_percent,tgt_percent,touch_percent,util_percent,fantasy_points,points_per_100_snaps,week
Rob Gronkowski,TE,NE,1,46,46,61,0,20,13,20,17.6,38.3,2
Antonio Brown,WR,PIT,1,71,71,95,0,15,7,15,6.2,8.7,2
Logan Paulsen,TE,SF,1,5,5,10,0,0,0,0,0.0,0.0,2
A.J. Green,WR,CIN,1,62,62,97,0,13,8,13,6.7,10.8,2
Julio Jones,WR,ATL,1,48,48,83,0,19,10,19,10.8,22.5,2
Cam Newton,QB,CAR,1,69,69,100,7,0,54,54,11.8,17.1,2
Mark Ingram II,RB,NO,1,36,36,55,22,14,33,36,7.6,21.1,2
Randall Cobb,WR,GB,1,54,54,71,2,17,13,19,7.0,13.0,2
Kyle Rudolph,TE,MIN,1,62,62,95,0,10,6,10,4.5,7.3,2
Andy Dalton,QB,CIN,1,64,64,100,3,0,58,58,9.5,14.8,2
Lance Kendricks,TE,GB,1,13,13,17,0,0,0,0,0.0,0.0,2
Luke Stocker,TE,TB,1,16,16,23,0,0,0,0,0.0,0.0,2
Anthony Sherman,RB,KC,1,1,1,2,0,0,0,0,0.0,0.0,2
Dion Lewis,RB,NE,1,14,14,18,29,7,36,36,2.5,17.9,2
Lee Smith,TE,OAK,1,26,26,46,0,4,4,4,0.9,3.5,2
Tyrod Taylor,QB,BUF,1,54,54,100,15,0,61,61,10.5,19.4,2
Virgil Green,TE,DEN,1,46,46,60,0,7,4,7,7.1,15.4,2
Kirk Cousins,QB,WAS,1,71,71,100,4,0,42,42,11.9,16.8,2
Russell Wilson,QB,SEA,1,82,82,100,15,0,62,62,15.3,18.7,2
Lamar Miller,RB,HOU,1,49,49,74,37,6,43,43,8.7,17.8,2
Alshon Jeffery,WR,PHI,1,61,61,85,0,21,11,21,15.2,24.9,2
Mohamed Sanu Sr.,WR,ATL,1,48,48,83,0,13,10,13,8.5,17.7,2
T.Y. Hilton,WR,IND,1,64,64,90,0,9,6,9,4.9,7.7,2
Travis Benjamin,WR,LAC,1,39,39,67,0,8,3,8,1.1,2.8,2
Marvin Jones Jr.,WR,DET,1,56,56,90,0,9,2,9,8.7,15.5,2
Rhett Ellison,TE,NYG,1,22,22,39,0,9,9,9,2.1,9.5,2
Alfred Morris,RB,DAL,1,1,1,1,0,0,0,0,0.0,0.0,2
Derek Carrier,TE,LAR,1,9,9,18,0,11,11,11,0.9,10.0,2
Case Keenum,QB,MIN,1,65,65,100,0,0,57,57,6.7,10.3,2
Cole Beasley,WR,DAL,1,57,57,80,0,14,7,14,3.3,5.8,2
Chris Hogan,WR,NE,1,65,65,86,0,9,8,9,13.8,21.2,2
Garrett Celek,TE,SF,1,15,15,31,0,7,7,7,0.6,4.0,2
Jermaine Kearse,WR,NYJ,1,50,50,88,0,10,8,10,18.4,36.8,2
Josh Bellamy,WR,CHI,1,59,59,92,0,12,7,12,5.1,8.6,2
Travis Kelce,TE,KC,1,51,51,96,0,20,16,20,16.3,32.0,2
Marquise Goodwin,WR,SF,1,43,43,88,0,14,7,14,2.6,6.0,2
Russell Shepard,WR,CAR,1,34,34,49,0,6,3,6,0.6,1.8,2
DeAndre Hopkins,WR,HOU,1,67,67,102,0,19,10,19,7.3,10.9,2
Robert Woods,WR,LAR,1,45,45,90,0,9,2,9,0.8,1.8,2
Kenny Stills,WR,MIA,1,60,60,88,0,8,3,8,9.7,16.2,2
Cordarrelle Patterson,RB,OAK,1,27,27,47,11,4,15,15,12.3,45.6,2
Keenan Allen,WR,LAC,1,50,50,86,0,20,18,20,10.0,20.0,2
Tavon Austin,WR,LAR,1,9,9,18,33,22,33,56,0.8,8.9,2
Giovani Bernard,RB,CIN,1,33,33,52,15,12,21,27,2.6,7.9,2
Le'Veon Bell,RB,PIT,1,69,69,92,39,6,45,45,9.1,13.2,2
Theo Riddick,RB,DET,1,26,26,42,35,12,46,46,3.7,14.2,2
Chris Thompson,RB,WAS,1,29,29,41,10,24,21,34,22.6,77.9,2
Rex Burkhead,RB,NE,1,8,8,11,25,50,63,75,10.4,130.0,2
Mike Glennon,QB,CHI,1,64,64,100,0,0,70,70,10.0,15.6,2
Zach Ertz,TE,PHI,1,60,60,83,0,17,8,17,9.7,16.2,2
Jordan Reed,TE,WAS,1,40,40,56,0,15,15,15,4.8,12.0,2
Tyler Eifert,TE,CIN,1,50,50,78,0,8,6,8,4.2,8.4,2
Levine Toilolo,TE,ATL,1,28,28,48,0,0,0,0,0.0,0.0,2
Kyle Juszczyk,RB,SF,1,17,17,35,0,0,0,0,0.0,0.0,2
Luke Willson,TE,SEA,1,37,37,45,0,8,8,8,2.5,6.8,2
Latavius Murray,RB,MIN,1,6,6,9,50,0,50,50,0.6,10.0,2
Demetrius Harris,TE,KC,1,24,24,45,0,0,0,0,0.0,0.0,2
James Develin,RB,NE,1,24,24,32,0,4,4,4,0.6,2.5,2
Jack Doyle,TE,IND,1,70,70,99,0,11,11,11,7.9,11.3,2
Patrick DiMarco,RB,BUF,1,13,13,24,0,8,0,8,0.0,0.0,2
Blake Bortles,QB,JAC,1,67,67,100,6,0,57,57,9.8,14.6,2
Derek Carr,QB,OAK,1,57,57,100,0,0,49,49,21.2,37.2,2
Logan Thomas,TE,BUF,1,1,1,2,0,0,0,0,0.0,0.0,2
Carlos Hyde,RB,SF,1,40,40,82,38,15,45,53,14.3,35.8,2
Devonta Freeman,RB,ATL,1,39,39,67,49,5,54,54,22.0,56.4,2
Sammy Watkins,WR,LAR,1,45,45,90,0,4,4,4,3.0,6.7,2
Mike Evans,WR,TB,1,55,55,77,0,16,13,16,15.3,27.8,2
Brandin Cooks,WR,NE,1,65,65,86,3,6,6,9,4.3,6.6,2
Davante Adams,WR,GB,1,71,71,93,0,14,11,14,15.9,22.4,2
Jordan Matthews,WR,BUF,1,50,50,93,0,6,6,6,3.0,6.0,2
Donte Moncrief,WR,IND,1,53,53,75,0,15,4,15,1.8,3.4,2
Odell Beckham Jr.,WR,NYG,1,34,34,61,0,15,12,15,3.6,10.6,2
Jarvis Landry,WR,MIA,1,62,62,91,2,24,24,27,7.1,11.5,2
Paul Richardson Jr.,WR,SEA,1,39,39,48,0,13,5,13,7.9,20.3,2
Eric Ebron,TE,DET,1,39,39,63,0,13,13,13,10.2,26.2,2
Trey Burton,TE,PHI,1,14,14,19,0,7,7,7,1.0,7.1,2
James White,RB,NE,1,30,30,39,7,27,33,33,9.6,32.0,2
Cody Latimer,WR,DEN,1,14,14,18,0,14,14,14,2.2,15.7,2
Jerick McKinnon,RB,MIN,1,22,22,34,14,23,27,36,2.5,11.4,2
Richard Rodgers,TE,GB,1,10,10,13,0,40,20,40,2.2,22.0,2
Ryan Grant,WR,WAS,1,30,30,42,0,7,3,7,7.1,23.7,2
Damien Williams,RB,MIA,1,3,3,4,0,0,0,0,0.0,0.0,2
Albert Wilson,WR,KC,1,34,34,64,3,9,9,12,2.6,7.6,2
Taylor Gabriel,WR,ATL,1,26,26,45,4,12,12,15,2.1,8.1,2
Allen Hurns,WR,JAC,1,59,59,88,0,12,10,12,14.2,24.1,2
Bennie Fowler III,WR,DEN,1,23,23,30,0,13,4,13,0.8,3.5,2
Dontrelle Inman,WR,LAC,1,13,13,22,0,15,0,15,0.0,0.0,2
Keith Smith,RB,DAL,1,2,2,3,0,0,0,0,0.0,0.0,2
Adam Thielen,WR,MIN,1,62,62,95,0,10,8,10,2.4,3.9,2
Cameron Brate,TE,TB,1,38,38,54,0,8,5,8,2.4,6.3,2
Roosevelt Nix,RB,PIT,1,11,11,15,0,0,0,0,0.0,0.0,2
Josh Hill,TE,NO,1,26,26,40,0,12,12,12,2.9,11.2,2
Darren Fells,TE,DET,1,41,41,66,0,2,2,2,0.3,0.7,2
Seth Roberts,WR,OAK,1,34,34,60,0,3,0,3,0.0,0.0,2
Marcus Mariota,QB,TEN,1,68,68,100,9,0,49,49,13.0,19.1,2
Jameis Winston,QB,TB,1,65,65,92,2,0,48,48,12.5,19.2,2
Amari Cooper,WR,OAK,1,48,48,84,0,10,8,10,3.3,6.9,2
DeVante Parker,WR,MIA,1,63,63,93,0,14,6,14,8.5,13.5,2
Melvin Gordon III,RB,LAC,1,48,48,83,19,17,33,35,13.8,28.8,2
Todd Gurley II,RB,LAR,1,44,44,88,36,9,43,45,23.6,53.6,2
Devin Funchess,WR,CAR,1,57,57,83,0,11,7,11,6.8,11.9,2
Maxx Williams,TE,BAL,1,28,28,41,4,14,18,18,2.3,8.2,2
Ameer Abdullah,RB,DET,1,29,29,47,59,0,59,59,8.6,29.7,2
Tevin Coleman,RB,ATL,1,22,22,38,27,9,36,36,10.5,47.7,2
Duke Johnson Jr.,RB,CLE,1,39,39,55,10,15,18,26,8.0,20.5,2
Jay Ajayi,RB,MIA,1,64,64,94,44,3,47,47,12.6,19.7,2
Malcolm Brown,RB,LAR,1,5,5,10,0,20,20,20,-0.4,-8.0,2
Clive Walford,TE,OAK,1,12,12,21,0,8,8,8,0.7,5.8,2
Nick O'Leary,TE,BUF,1,20,20,37,0,0,0,0,0.0,0.0,2
Jesse James,TE,PIT,1,72,72,96,0,7,6,7,2.7,3.8,2
Tyler Kroft,TE,CIN,1,29,29,45,0,0,0,0,0.0,0.0,2
Nick Boyle,TE,BAL,1,42,42,62,0,2,2,2,0.9,2.1,2
Blake Bell,TE,MIN,1,2,2,3,0,50,0,50,0.0,0.0,2
Nelson Agholor,WR,PHI,1,55,55,76,0,5,2,5,6.9,12.5,2
Justin Hardy,WR,ATL,1,19,19,33,0,11,5,11,1.9,10.0,2
Tyler Lockett,WR,SEA,1,61,61,74,0,15,10,15,6.4,10.5,2
Breshad Perriman,WR,BAL,1,42,42,62,0,10,0,10,0.0,0.0,2
Jamison Crowder,WR,WAS,1,38,38,54,0,13,11,13,4.7,12.4,2
Ty Montgomery,RB,GB,1,65,65,86,15,11,25,26,23.0,35.4,2
Phillip Dorsett II,WR,NE,1,32,32,42,3,9,13,13,7.5,23.4,2
Stefon Diggs,WR,MIN,1,60,60,92,2,10,5,12,3.1,5.2,2
Chris Manhertz,TE,CAR,1,14,14,20,0,0,0,0,0.0,0.0,2
Trevor Siemian,QB,DEN,1,77,77,100,6,0,48,48,22.6,29.4,2
James O'Shaughnessy,TE,JAC,1,12,12,18,0,0,0,0,0.0,0.0,2
Chris Conley,WR,KC,1,46,46,87,0,9,9,9,5.5,12.0,2
Michael Burton,RB,CHI,1,6,6,9,0,0,0,0,0.0,0.0,2
Damiere Byrd,WR,CAR,1,23,23,33,0,4,0,4,0.0,0.0,2
J.J. Nelson,WR,ARI,1,50,50,76,0,14,10,14,18.0,36.0,2
Tyrell Williams,WR,LAC,1,52,52,90,0,8,8,8,5.4,10.4,2
Rod Smith,RB,DAL,1,4,4,6,50,0,50,50,0.8,20.0,2
Adam Humphries,WR,TB,1,41,41,58,0,7,5,7,1.8,4.4,2
Ross Travis,TE,KC,1,6,6,11,0,17,0,17,0.0,0.0,2
Laquon Treadwell,WR,MIN,1,50,50,77,0,12,6,12,3.3,6.6,2
Ezekiel Elliott,RB,DAL,1,63,63,89,14,8,21,22,2.2,3.5,2
Jared Goff,QB,LAR,1,50,50,100,6,0,54,54,11.1,22.2,2
Corey Coleman,WR,CLE,1,38,38,54,0,18,3,18,0.9,2.4,2
Josh Doctson,WR,WAS,1,29,29,41,0,3,0,3,0.0,0.0,2
Derrick Henry,RB,TEN,1,30,30,44,47,0,47,47,15.2,50.7,2
Carson Wentz,QB,PHI,1,72,72,100,6,0,69,69,24.8,34.4,2
Michael Thomas,WR,NO,1,58,58,89,0,17,9,17,8.9,15.3,2
Alex Collins,RB,BAL,1,8,8,12,88,0,88,88,2.2,27.5,2
Paul Perkins,RB,NYG,1,28,28,50,25,7,32,32,2.2,7.9,2
Pharoh Cooper,WR,LAR,1,4,4,8,0,0,0,0,0.0,0.0,2
Hunter Henry,TE,LAC,1,33,33,57,0,21,21,21,8.0,24.2,2
Sterling Shepard,WR,NYG,1,56,56,100,4,7,7,11,3.0,5.4,2
Austin Hooper,TE,ATL,1,41,41,71,0,5,5,5,0.7,1.7,2
Jordan Howard,RB,CHI,1,31,31,48,29,3,29,32,0.7,2.3,2
Rashard Higgins,WR,CLE,1,54,54,76,2,20,15,22,9.9,18.3,2
Dak Prescott,QB,DAL,1,71,71,100,4,0,75,75,15.9,22.4,2
C.J. Prosise,RB,SEA,1,16,16,20,0,38,19,38,2.2,13.8,2
Tyler Higbee,TE,LAR,1,41,41,82,0,2,0,2,0.0,0.0,2
Kenyan Drake,RB,MIA,1,1,1,1,100,0,100,100,-0.3,-30.0,2
Jacoby Brissett,QB,IND,1,71,71,100,8,0,61,61,8.8,12.4,2
Nick Vannett,TE,SEA,1,13,13,16,0,0,0,0,0.0,0.0,2
Tyler Ervin,RB,HOU,1,27,27,41,0,19,11,19,1.6,5.9,2
Demarcus Robinson,WR,KC,1,2,2,4,0,0,0,0,0.0,0.0,2
Seth DeValve,TE,CLE,1,31,31,44,0,13,6,13,6.1,19.7,2
Wendell Smallwood,RB,PHI,1,14,14,19,21,14,29,36,0.1,0.7,2
Jakeem Grant Sr.,WR,MIA,1,1,1,1,0,0,0,0,0.0,0.0,2
Robby Anderson,WR,NYJ,1,43,43,75,0,9,5,9,2.8,6.5,2
Cody Core,WR,CIN,1,7,7,11,0,0,0,0,0.0,0.0,2
Alex Erickson,WR,CIN,1,37,37,58,3,16,14,19,6.4,17.3,2
Andy Janovich,RB,DEN,1,7,7,9,0,0,0,0,0.0,0.0,2
Derek Watt,RB,LAC,1,8,8,14,13,0,13,13,0.0,0.0,2
Kevin Hogan,QB,CLE,1,19,19,27,5,0,63,63,7.2,37.9,2
Tyreek Hill,WR,KC,1,47,47,89,2,13,11,15,4.9,10.4,2
Johnny Holton,WR,OAK,1,4,4,7,0,0,0,0,0.0,0.0,2
DeAndre Washington,RB,OAK,1,13,13,23,46,23,69,69,3.5,26.9,2
Jerell Adams,TE,NYG,1,1,1,2,0,100,100,100,3.8,380.0,2
Dwayne Washington,RB,DET,1,7,7,11,43,0,43,43,0.9,12.9,2
Trevor Davis,WR,GB,1,17,17,22,0,6,6,6,0.9,5.3,2
Geronimo Allison,WR,GB,1,61,61,80,0,8,5,8,2.4,3.9,2
Danny Vitale,RB,CLE,1,6,6,8,0,0,0,0,0.0,0.0,2
Peyton Barber,RB,TB,1,16,16,23,63,0,63,63,4.7,29.4,2
Jalen Richard,RB,OAK,1,17,17,30,35,12,47,47,16.9,99.4,2
C.J. Ham,RB,MIN,1,5,5,8,20,0,20,20,6.1,122.0,2
Tommylee Lewis,WR,NO,1,14,14,22,0,14,7,14,1.6,11.4,2
Elijhaa Penny,RB,ARI,1,7,7,11,0,0,0,0,0.0,0.0,2
Dalvin Cook,RB,MIN,1,37,37,57,32,8,38,41,6.4,17.3,2
Leonard Fournette,RB,JAC,1,40,40,60,35,13,40,48,12.1,30.3,2
O.J. Howard,TE,TB,1,46,46,65,0,7,2,7,1.7,3.7,2
Corey Davis,WR,TEN,1,23,23,34,0,13,4,13,0.4,1.7,2
John Ross,WR,CIN,1,5,5,8,20,0,20,20,-0.8,-16.0,2
DeShone Kizer,QB,CLE,1,52,52,73,10,0,69,69,1.9,3.7,2
Christian McCaffrey,RB,CAR,1,44,44,64,18,11,27,30,4.4,10.0,2
Deshaun Watson,QB,HOU,1,66,66,100,8,0,44,44,17.7,26.8,2
David Njoku,TE,CLE,1,34,34,48,0,12,9,12,8.7,25.6,2
Chris Godwin,WR,TB,1,29,29,41,0,7,0,7,0.0,0.0,2
D'Onta Foreman,RB,HOU,1,17,17,26,71,0,71,71,4.0,23.5,2
Evan Engram,TE,NYG,1,43,43,77,0,16,9,16,10.9,25.3,2
Joe Mixon,RB,CIN,1,16,16,25,56,6,63,63,4.1,25.6,2
Alvin Kamara,RB,NO,1,17,17,26,6,41,24,47,5.4,31.8,2
Samaje Perine,RB,WAS,1,26,26,37,81,4,85,85,6.7,25.8,2
Jamaal Williams,RB,GB,1,10,10,13,20,10,30,30,1.1,11.0,2
Kareem Hunt,RB,KC,1,39,39,74,33,8,41,41,22.9,58.7,2
Taywan Taylor,WR,TEN,1,12,12,18,17,8,25,25,5.8,48.3,2
JuJu Smith-Schuster,WR,PIT,1,39,39,52,0,10,8,10,7.6,19.5,2
Chad Hansen,WR,NYJ,1,2,2,4,0,0,0,0,0.0,0.0,2
Zay Jones,WR,BUF,1,49,49,91,0,12,4,12,1.8,3.7,2
Cooper Kupp,WR,LAR,1,30,30,60,0,20,10,20,3.3,11.0,2
Curtis Samuel,WR,CAR,1,13,13,19,0,23,15,23,0.7,5.4,2
Amara Darboh,WR,SEA,1,14,14,17,0,7,7,7,1.6,11.4,2
Josh Reynolds,WR,LAR,1,2,2,4,0,50,50,50,2.8,140.0,2
Noah Brown,WR,DAL,1,5,5,7,0,0,0,0,0.0,0.0,2
Marlon Mack,RB,IND,1,11,11,15,55,9,64,64,0.8,7.3,2
Corey Clement,RB,PHI,1,1,1,1,0,0,0,0,0.0,0.0,2
James Conner,RB,PIT,1,4,4,5,25,0,25,25,0.9,22.5,2
Tarik Cohen,RB,CHI,1,40,40,63,18,23,38,40,4.8,12.0,2
Elijah McGuire,RB,NYJ,1,12,12,21,50,17,58,67,3.6,30.0,2
Adam Shaheen,TE,CHI,1,5,5,8,0,0,0,0,0.0,0.0,2
Gerald Everett,TE,LAR,1,16,16,32,0,19,19,19,9.5,59.4,2
Jonnu Smith,TE,TEN,1,37,37,54,0,8,5,8,9.0,24.3,2
Kenny Golladay,WR,DET,1,33,33,53,0,9,3,9,0.8,2.4,2
Mack Hollins,WR,PHI,1,17,17,24,0,18,18,18,3.2,18.8,2
George Kittle,TE,SF,1,43,43,88,0,5,5,5,1.3,3.0,2
Trent Taylor,WR,SF,1,22,22,45,0,18,9,18,0.6,2.7,2
Jacob Hollister,TE,NE,1,16,16,21,0,13,6,13,0.5,3.1,2
Darrell Daniels,TE,IND,1,15,15,21,0,0,0,0,0.0,0.0,2
Isaiah McKenzie,WR,DEN,1,30,30,39,0,0,0,0,0.0,0.0,2
Ryan Switzer,WR,DAL,1,6,6,8,0,0,0,0,0.0,0.0,2
Tanner Gentry,WR,CHI,1,8,8,13,0,38,25,38,2.7,33.8,2
Eric Saubert,TE,ATL,1,1,1,2,0,0,0,0,0.0,0.0,2
Chad Williams,WR,ARI,1,10,10,15,0,20,10,20,1.5,15.0,2
Chris Carson,RB,SEA,1,51,51,62,39,4,41,43,10.0,19.6,2
Keelan Cole Sr.,WR,JAC,1,44,44,66,0,7,5,7,1.3,3.0,2
Evan Baylis,TE,HOU,1,16,16,24,0,0,0,0,0.0,0.0,2
Matt Breida,RB,SF,1,9,9,18,44,22,56,67,3.8,42.2,2
Victor Bolden Jr.,WR,SF,1,1,1,2,0,0,0,0,0.0,0.0,2
Patrick Ricard,RB,BAL,1,5,5,7,0,0,0,0,0.0,0.0,2
