player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,team,position,week,year,opponent,home
Dwayne Allen,1.0,1.0,3.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Coby Fleener,2.0,4.0,16.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Ladarius Green,1.0,1.0,31.0,31.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Richard Gordon,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Lee Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Michael Hoomanawanui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Anthony McCoy,5.0,5.0,41.0,8.2,22.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Clay Harbor,1.0,2.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Michael Palmer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Tom Crabtree,1.0,1.0,27.0,27.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Niles Paul,3.0,3.0,13.0,4.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Dorin Dickerson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-8.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Logan Paulsen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Scott Chandler,2.0,5.0,53.0,26.5,43.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Lance Kendricks,2.0,2.0,25.0,12.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Rob Housler,1.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Jordan Cameron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Julius Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
D.J. Williams,1.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Orson Charles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Evan Rodriguez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Rhett Ellison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Taylor Thompson,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
James Hanna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Greg Scruggs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
David Paulson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Tommy Gallarda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Dominique Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Danny Noble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Mike McNeill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Tony Moeaki,1.0,4.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Dante Rosario,4.0,4.0,48.0,12.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Delanie Walker,1.0,2.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Fred Davis,2.0,5.0,14.0,7.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Gary Barnidge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Heath Miller,3.0,3.0,19.0,6.3,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Jacob Tamme,2.0,3.0,13.0,6.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
James Casey,3.0,4.0,18.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Jeff King,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Anthony Fasano,2.0,3.0,19.0,9.5,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Bear Pascoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Benjamin Watson,1.0,1.0,27.0,27.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Dallas Clark,4.0,5.0,33.0,8.3,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Brandon Myers,6.0,6.0,86.0,14.3,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Brandon Pettigrew,3.0,4.0,18.0,6.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Brent Celek,8.0,11.0,157.0,19.6,28.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Brian Jennings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Craig Stevens,1.0,1.0,46.0,46.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Tony Gonzalez,7.0,10.0,70.0,10.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Tony Scheffler,1.0,3.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Owen Daniels,6.0,9.0,47.0,7.8,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Vernon Davis,5.0,7.0,73.0,14.6,23.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Will Heller,1.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Zach Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Zach Miller,1.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Zach Potter,1.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Aaron Hernandez,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Jermaine Gresham,4.0,5.0,37.0,9.3,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Tim Tebow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Dennis Pitta,8.0,15.0,65.0,8.1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Ed Dickson,1.0,4.0,23.0,23.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Jermichael Finley,4.0,6.0,26.0,6.5,16.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,FA,TE,2,2012,,
Joel Dreessen,2.0,2.0,16.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
John Carlson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
John Phillips,2.0,2.0,16.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Kellen Davis,1.0,6.0,21.0,21.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Mike Leach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Martellus Bennett,5.0,10.0,72.0,14.4,33.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Matt Spaeth,1.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Matthew Mulligan,2.0,2.0,14.0,7.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Jared Cook,3.0,6.0,23.0,7.7,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3,LAC,TE,2,2012,TEN,True
Luke Stocker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MIN,TE,2,2012,IND,False
Clark Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CIN,TE,2,2012,CLE,True
