player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,team,position,week,year,opponent,home
Earl Bennett,3.0,4.0,50.0,16.7,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Marques Colston,4.0,11.0,71.0,17.8,25.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,FA,WR,1,2012,,
Brandon Lloyd,5.0,8.0,69.0,13.8,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Calvin Johnson,6.0,7.0,111.0,18.5,51.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Brian Hartline,3.0,8.0,50.0,16.7,34.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Braylon Edwards,5.0,9.0,43.0,8.6,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Brandon Tate,1.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Brandon Stokley,2.0,3.0,26.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Brandon Marshall,9.0,15.0,119.0,13.2,24.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Brandon Gibson,4.0,5.0,51.0,12.8,23.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Ben Obomanu,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Anquan Boldin,4.0,5.0,63.0,15.8,34.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Andre Johnson,8.0,10.0,119.0,14.9,29.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Dwayne Bowe,3.0,6.0,53.0,17.7,23.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Donnie Avery,3.0,8.0,37.0,12.3,26.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Donald Driver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Domenik Hixon,3.0,5.0,55.0,18.3,39.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Devin Hester,2.0,2.0,27.0,13.5,29.0,1.0,0.0,1.0,-4.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Devin Aromashodu,3.0,3.0,61.0,20.3,26.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Devery Henderson,1.0,2.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Derek Hagan,4.0,5.0,44.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Charly Martin,1.0,2.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
