player,team,position,week,year
Sammie Stroughter,TB,WR,1,2010
Kellen Winslow,TB,TE,1,2010
Mike Goodson,CAR,RB,1,2010
Marcedes Lewis,JAC,TE,1,2010
Donald Driver,GB,WR,1,2010
DeSean Jackson,PHI,WR,1,2010
Chansi Stuckey,CLE,WR,1,2010
Mike Williams,TB,WR,1,2010
Greg Camarillo,MIN,WR,1,2010
Jacoby Jones,HOU,WR,1,2010
Max Komar,ARI,WR,1,2010
Kevin Walter,HOU,WR,1,2010
Randy McMichael,LAC,TE,1,2010
Louis Murphy,LV,WR,1,2010
T.J. Houshmandzadeh,BAL,WR,1,2010
Jason Witten,DAL,TE,1,2010
Craig Davis,LAC,WR,1,2010
Jermaine Gresham,CIN,TE,1,2010
Bryant Johnson,DET,WR,1,2010
Kassim Osgood,JAC,WR,1,2010
Lance Moore,NO,WR,1,2010
Jeremy Shockey,NO,TE,1,2010
Brandon LaFell,CAR,WR,1,2010
David Nelson,BUF,WR,1,2010
Derrick Mason,BAL,WR,1,2010
Tony Moeaki,KC,TE,1,2010
Roy Williams,DAL,WR,1,2010
Nate Burleson,DET,WR,1,2010
Ted Ginn,SF,WR,1,2010
Billy Bajema,LAR,TE,1,2010
Jerricho Cotchery,NYJ,WR,1,2010
Laurent Robinson,LAR,WR,1,2010
Craig Stevens,TEN,TE,1,2010
Yamon Figurs,LV,WR,1,2010
Devin Hester,CHI,WR,1,2010
Daniel Fells,LAR,TE,1,2010
Chris Chambers,KC,WR,1,2010
Dante Rosario,CAR,TE,1,2010
Dwayne Bowe,KC,WR,1,2010
Deon Butler,SEA,WR,1,2010
Dustin Keller,NYJ,TE,1,2010
Michael Crabtree,SF,WR,1,2010
Anthony Gonzalez,IND,WR,1,2010
Greg Lewis,MIN,WR,1,2010
Michael Robinson,SEA,RB,1,2010
Anthony Armstrong,WAS,WR,1,2010
Travis Beckum,NYG,TE,1,2010
Kevin Boss,NYG,TE,1,2010
Deion Branch,SEA,WR,1,2010
Darrius Heyward-Bey,LV,WR,1,2010
Cameron Morrah,SEA,TE,1,2010
Justin Peelle,ATL,RB,1,2010
Eldra Buckley,PHI,RB,1,2010
Rock Cartwright,LV,RB,1,2010
James Jones,GB,WR,1,2010
Dominique Zeigler,SF,WR,1,2010
Owen Daniels,HOU,TE,1,2010
Tony Richardson,NYJ,RB,1,2010
Seneca Wallace,CLE,QB,1,2010
Jeff Dugan,MIN,TE,1,2010
Michael Hoomanawanui,LAR,TE,1,2010
Zach Miller,JAC,TE,1,2010
Antwaan Randle El,PIT,WR,1,2010
Jerramy Stevens,TB,TE,1,2010
Martellus Bennett,DAL,TE,1,2010
Donald Brown,IND,RB,1,2010
Heath Evans,NO,RB,1,2010
Jordy Nelson,GB,WR,1,2010
Jacob Hester,LAC,RB,1,2010
Jim Kleinsasser,MIN,TE,1,2010
Ben Obomanu,SEA,WR,1,2010
Brandon Pettigrew,DET,TE,1,2010
Brian Robiskie,CLE,WR,1,2010
Nate Byham,SF,TE,1,2010
Brandon Myers,LV,TE,1,2010
Spencer Larsen,DEN,RB,1,2010
Bernard Berrian,MIN,WR,1,2010
Ahmard Hall,TEN,RB,1,2010
David Thomas,NO,TE,1,2010
Dan Gronkowski,DEN,TE,1,2010
Johnnie Lee Higgins,LV,WR,1,2010
Mike Sellers,WAS,RB,1,2010
Rob Gronkowski,NE,TE,1,2010
Mike McGlynn,PHI,OG,1,2010
Stephen Spach,ARI,TE,1,2010
Greg Jones,JAC,RB,1,2010
Kyle Wilson,NYJ,CB,1,2010
Clifton Ryan,LAR,DE,1,2010
Peyton Manning,IND,QB,2,2010
Jay Cutler,CHI,QB,2,2010
Mark Sanchez,NYJ,QB,2,2010
Donovan McNabb,WAS,QB,2,2010
Philip Rivers,LAC,QB,2,2010
Matt Ryan,ATL,QB,2,2010
Kyle Orton,DEN,QB,2,2010
Aaron Rodgers,GB,QB,2,2010
Matt Schaub,HOU,QB,2,2010
Drew Brees,NO,QB,2,2010
Michael Vick,PHI,QB,2,2010
Chad Henne,MIA,QB,2,2010
Josh Freeman,TB,QB,2,2010
Sam Bradford,LAR,QB,2,2010
Eli Manning,NYG,QB,2,2010
Alex Smith,SF,QB,2,2010
Kerry Collins,TEN,QB,2,2010
Tony Romo,DAL,QB,2,2010
Luke McCown,JAC,QB,2,2010
Shaun Hill,DET,QB,2,2010
Bruce Gradkowski,LV,QB,2,2010
Seneca Wallace,CLE,QB,2,2010
Tom Brady,NE,QB,2,2010
Dennis Dixon,PIT,QB,2,2010
David Garrard,JAC,QB,2,2010
Matt Moore,CAR,QB,2,2010
Carson Palmer,CIN,QB,2,2010
Charlie Batch,PIT,QB,2,2010
Matt Hasselbeck,SEA,QB,2,2010
Vince Young,TEN,QB,2,2010
Matt Cassel,KC,QB,2,2010
Brett Favre,MIN,QB,2,2010
Jason Campbell,LV,QB,2,2010
Derek Anderson,ARI,QB,2,2010
Micheal Spurlock,TB,WR,2,2010
Trent Edwards,BUF,QB,2,2010
Jimmy Clausen,CAR,QB,2,2010
Joe Flacco,BAL,QB,2,2010
Max Hall,ARI,QB,2,2010
Darren McFadden,LV,RB,2,2010
Adrian Peterson,MIN,RB,2,2010
Jason Snelling,ATL,RB,2,2010
LeSean McCoy,PHI,RB,2,2010
Tim Hightower,ARI,RB,2,2010
Frank Gore,SF,RB,2,2010
Joseph Addai,IND,RB,2,2010
Ahmad Bradshaw,NYG,RB,2,2010
Ray Rice,BAL,RB,2,2010
Thomas Jones,KC,RB,2,2010
Mike Tolbert,LAC,RB,2,2010
Ronnie Brown,MIA,RB,2,2010
Cedric Benson,CIN,RB,2,2010
Jahvid Best,DET,RB,2,2010
LaDainian Tomlinson,NYJ,RB,2,2010
Steven Jackson,LAR,RB,2,2010
Michael Turner,ATL,RB,2,2010
Donald Brown,IND,RB,2,2010
Arian Foster,HOU,RB,2,2010
Rashard Mendenhall,PIT,RB,2,2010
Marshawn Lynch,BUF,RB,2,2010
DeAngelo Williams,CAR,RB,2,2010
Shonn Greene,NYJ,RB,2,2010
Knowshon Moreno,DEN,RB,2,2010
Cadillac Williams,TB,RB,2,2010
Jamaal Charles,KC,RB,2,2010
Pierre Thomas,NO,RB,2,2010
Justin Forsett,SEA,RB,2,2010
Jonathan Stewart,CAR,RB,2,2010
Fred Jackson,BUF,RB,2,2010
Rashad Jennings,JAC,RB,2,2010
Darren Sproles,LAC,RB,2,2010
John Kuhn,GB,RB,2,2010
Peyton Hillis,CLE,RB,2,2010
Chris Johnson,TEN,RB,2,2010
Jerome Harrison,CLE,RB,2,2010
Clinton Portis,WAS,RB,2,2010
Marion Barber,DAL,RB,2,2010
Maurice Jones-Drew,JAC,RB,2,2010
Ricky Williams,MIA,RB,2,2010
Matt Forte,CHI,RB,2,2010
Brandon Jackson,GB,RB,2,2010
Ryan Mathews,LAC,RB,2,2010
Kevin Faulk,NE,RB,2,2010
Mike Goodson,CAR,RB,2,2010
Correll Buckhalter,DEN,RB,2,2010
BenJarvus Green-Ellis,NE,RB,2,2010
Bernard Scott,CIN,RB,2,2010
Leon Washington,SEA,RB,2,2010
Ovie Mughelli,ATL,RB,2,2010
Michael Robinson,SEA,RB,2,2010
Danny Ware,NYG,RB,2,2010
Steve Slaton,HOU,RB,2,2010
Aaron Brown,DET,RB,2,2010
Julius Jones,SEA,RB,2,2010
Fred Taylor,NE,RB,2,2010
Toby Gerhart,MIN,RB,2,2010
Willis McGahee,BAL,RB,2,2010
Lousaka Polite,MIA,RB,2,2010
Marcel Reece,LV,RB,2,2010
Brandon Jacobs,NYG,RB,2,2010
Maurice Morris,DET,RB,2,2010
Isaac Redman,PIT,RB,2,2010
Jacob Hester,LAC,RB,2,2010
Felix Jones,DAL,RB,2,2010
Jerricho Cotchery,NYJ,WR,2,2010
Dimitri Nance,GB,RB,2,2010
Chester Taylor,CHI,RB,2,2010
DeSean Jackson,PHI,WR,2,2010
Reggie Bush,NO,RB,2,2010
Mike Hart,IND,RB,2,2010
Roscoe Parrish,BUF,WR,2,2010
Le'Ron McClain,BAL,RB,2,2010
Dexter McCluster,KC,WR,2,2010
C.J. Spiller,BUF,RB,2,2010
Jason Wright,ARI,RB,2,2010
Anthony Dixon,SF,RB,2,2010
Mario Manningham,NYG,WR,2,2010
Corey McIntyre,BUF,RB,2,2010
Josh Cribbs,CLE,WR,2,2010
Earnest Graham,TB,RB,2,2010
Mewelde Moore,PIT,RB,2,2010
Javon Ringer,TEN,RB,2,2010
Naufahu Tahi,MIN,RB,2,2010
Mike Bell,PHI,RB,2,2010
Tim Castille,KC,RB,2,2010
Kenneth Darby,LAR,RB,2,2010
Heath Evans,NO,RB,2,2010
Tony Fiammetta,CAR,RB,2,2010
Mike Sellers,WAS,RB,2,2010
Brian Westbrook,SF,RB,2,2010
Tashard Choice,DAL,RB,2,2010
Mike Thomas,JAC,WR,2,2010
Billy Volek,LAC,QB,2,2010
Devin Moore,IND,RB,2,2010
Harry Douglas,ATL,WR,2,2010
Larry Johnson,WAS,RB,2,2010
Santana Moss,WAS,WR,2,2010
Matt Turk,HOU,P,2,2010
Andre Johnson,HOU,WR,2,2010
Kevin Walter,HOU,WR,2,2010
Miles Austin,DAL,WR,2,2010
Dustin Keller,NYJ,TE,2,2010
Brandon Pettigrew,DET,TE,2,2010
Mike Sims-Walker,JAC,WR,2,2010
Jermichael Finley,GB,TE,2,2010
Aaron Hernandez,NE,TE,2,2010
Demaryius Thomas,DEN,WR,2,2010
Reggie Wayne,IND,WR,2,2010
Malcom Floyd,LAC,WR,2,2010
Louis Murphy,LV,WR,2,2010
Joey Galloway,WAS,WR,2,2010
Johnny Knox,CHI,WR,2,2010
Visanthe Shiancoe,MIN,TE,2,2010
Dallas Clark,IND,TE,2,2010
Larry Fitzgerald,ARI,WR,2,2010
Kellen Winslow,TB,TE,2,2010
Darrius Heyward-Bey,LV,WR,2,2010
Vernon Davis,SF,TE,2,2010
Roddy White,ATL,WR,2,2010
Devin Hester,CHI,WR,2,2010
Justin Gage,TEN,WR,2,2010
Brandon Marshall,MIA,WR,2,2010
Marcedes Lewis,JAC,TE,2,2010
Josh Morgan,SF,WR,2,2010
Marques Colston,NO,WR,2,2010
Steve Smith,CAR,WR,2,2010
Eddie Royal,DEN,WR,2,2010
Chris Cooley,WAS,TE,2,2010
Fred Davis,WAS,TE,2,2010
Ben Watson,CLE,TE,2,2010
Tony Moeaki,KC,TE,2,2010
Antonio Gates,LAC,TE,2,2010
Terrell Owens,CIN,WR,2,2010
Mike Williams,TB,WR,2,2010
Jacoby Jones,HOU,WR,2,2010
Brandon Lloyd,DEN,WR,2,2010
Roy Williams,DAL,WR,2,2010
Dez Bryant,DAL,WR,2,2010
Golden Tate,SEA,WR,2,2010
Jason Witten,DAL,TE,2,2010
Deon Butler,SEA,WR,2,2010
Calvin Johnson,DET,WR,2,2010
Zach Miller,LV,TE,2,2010
John Carlson,SEA,TE,2,2010
Craig Davis,LAC,WR,2,2010
Dante Rosario,CAR,TE,2,2010
Martellus Bennett,DAL,TE,2,2010
Dwayne Bowe,KC,WR,2,2010
Braylon Edwards,NYJ,WR,2,2010
Chad Johnson,CIN,WR,2,2010
Jordan Shipley,CIN,WR,2,2010
Kenny Britt,TEN,WR,2,2010
Danny Amendola,LAR,WR,2,2010
Greg Olsen,CHI,TE,2,2010
Donald Driver,GB,WR,2,2010
Randy Moss,NE,WR,2,2010
Hakeem Nicks,NYG,WR,2,2010
Wes Welker,NE,WR,2,2010
Jeremy Shockey,NO,TE,2,2010
Anthony Armstrong,WAS,WR,2,2010
Daniel Fells,LAR,TE,2,2010
Greg Jennings,GB,WR,2,2010
Anquan Boldin,BAL,WR,2,2010
Todd Heap,BAL,TE,2,2010
Steve Smith,NYG,WR,2,2010
Nate Washington,TEN,WR,2,2010
Roydell Williams,WAS,WR,2,2010
Jason Avant,PHI,WR,2,2010
Chris Chambers,KC,WR,2,2010
Michael Crabtree,SF,WR,2,2010
Percy Harvin,MIN,WR,2,2010
James Jones,GB,WR,2,2010
Deion Branch,SEA,WR,2,2010
Brian Finneran,ATL,WR,2,2010
Steve Johnson,BUF,WR,2,2010
Derrick Mason,BAL,WR,2,2010
Ben Obomanu,SEA,WR,2,2010
Earl Bennett,CHI,WR,2,2010
Joel Dreessen,HOU,TE,2,2010
Brian Hartline,MIA,WR,2,2010
Devery Henderson,NO,WR,2,2010
Brent Celek,PHI,TE,2,2010
Jeremy Maclin,PHI,WR,2,2010
Jordy Nelson,GB,WR,2,2010
Delanie Walker,SF,TE,2,2010
Stephen Williams,ARI,WR,2,2010
Austin Collie,IND,WR,2,2010
LaRod Stephens-Howling,ARI,RB,2,2010
Mike Wallace,PIT,WR,2,2010
Bernard Berrian,MIN,WR,2,2010
Mark Clayton,LAR,WR,2,2010
Owen Daniels,HOU,TE,2,2010
Owen Schmitt,PHI,RB,2,2010
Riley Cooper,PHI,WR,2,2010
Jim Kleinsasser,MIN,TE,2,2010
Vonta Leach,HOU,RB,2,2010
Bo Scaife,TEN,TE,2,2010
Tony Gonzalez,ATL,TE,2,2010
Sammy Morris,NE,RB,2,2010
David Gettis,CAR,WR,2,2010
Ed Dickson,BAL,TE,2,2010
Brandon Tate,NE,WR,2,2010
Patrick Crayton,LAC,WR,2,2010
Jabar Gaffney,DEN,WR,2,2010
Jermaine Gresham,CIN,TE,2,2010
Keiland Williams,WAS,RB,2,2010
Rob Gronkowski,NE,TE,2,2010
Greg Lewis,MIN,WR,2,2010
Garrett Mills,PHI,TE,2,2010
Legedu Naanee,LAC,WR,2,2010
Jonathan Stupar,BUF,TE,2,2010
Billy Bajema,LAR,TE,2,2010
Chris Gronkowski,DAL,RB,2,2010
Ahmard Hall,TEN,RB,2,2010
Davone Bess,MIA,WR,2,2010
Brian Robiskie,CLE,WR,2,2010
Pierre Garcon,IND,WR,2,2010
Quinn Johnson,GB,RB,2,2010
Ben Patrick,ARI,TE,2,2010
Chansi Stuckey,CLE,WR,2,2010
Steve Breaston,ARI,WR,2,2010
David Thomas,NO,TE,2,2010
Reggie Kelly,CIN,TE,2,2010
Mohamed Massaquoi,CLE,WR,2,2010
Craig Stevens,TEN,TE,2,2010
Hines Ward,PIT,WR,2,2010
Bear Pascoe,NYG,TE,2,2010
Mike Williams,SEA,WR,2,2010
Nate Byham,SF,TE,2,2010
Julian Edelman,NE,WR,2,2010
Daniel Graham,DEN,TE,2,2010
Jared Cook,TEN,TE,2,2010
Greg Jones,JAC,RB,2,2010
Moran Norris,SF,RB,2,2010
Tony Scheffler,DET,TE,2,2010
Nate Burleson,DET,WR,2,2010
Bryant Johnson,DET,WR,2,2010
Spencer Larsen,DEN,RB,2,2010
Laurent Robinson,LAR,WR,2,2010
Greg Camarillo,MIN,WR,2,2010
Heath Miller,PIT,TE,2,2010
Ernest Wilford,JAC,TE,2,2010
Dominique Zeigler,SF,WR,2,2010
David Anderson,HOU,WR,2,2010
Travis Beckum,NYG,TE,2,2010
Mike Karney,LAR,RB,2,2010
Dennis Pitta,BAL,TE,2,2010
Antwaan Randle El,PIT,WR,2,2010
Donald Lee,GB,TE,2,2010
Walter Thurmond,SEA,CB,2,2010
Phillip Adams,SF,CB,2,2010
Marc Mariani,TEN,WR,2,2010
Jerraud Powers,IND,CB,2,2010
Jalen Parmele,BAL,RB,2,2010
Brandon Myers,LV,TE,2,2010
Tom Brady,NE,QB,3,2010
Joe Flacco,BAL,QB,3,2010
Tony Romo,DAL,QB,3,2010
Mark Sanchez,NYJ,QB,3,2010
Michael Vick,PHI,QB,3,2010
Josh Johnson,TB,QB,3,2010
Matt Cassel,KC,QB,3,2010
Drew Brees,NO,QB,3,2010
Peyton Manning,IND,QB,3,2010
Matt Ryan,ATL,QB,3,2010
Charlie Batch,PIT,QB,3,2010
Vince Young,TEN,QB,3,2010
Seneca Wallace,CLE,QB,3,2010
Aaron Rodgers,GB,QB,3,2010
Ryan Fitzpatrick,BUF,QB,3,2010
Chad Henne,MIA,QB,3,2010
Kyle Orton,DEN,QB,3,2010
Jay Cutler,CHI,QB,3,2010
Philip Rivers,LAC,QB,3,2010
Donovan McNabb,WAS,QB,3,2010
Anquan Boldin,BAL,WR,3,2010
Sam Bradford,LAR,QB,3,2010
Matt Schaub,HOU,QB,3,2010
Matt Hasselbeck,SEA,QB,3,2010
Eli Manning,NYG,QB,3,2010
Bruce Gradkowski,LV,QB,3,2010
Derek Anderson,ARI,QB,3,2010
Shaun Hill,DET,QB,3,2010
Alex Smith,SF,QB,3,2010
Brett Favre,MIN,QB,3,2010
Josh Freeman,TB,QB,3,2010
Jimmy Clausen,CAR,QB,3,2010
Carson Palmer,CIN,QB,3,2010
Ronnie Brown,MIA,RB,3,2010
David Garrard,JAC,QB,3,2010
Adrian Peterson,MIN,RB,3,2010
Peyton Hillis,CLE,RB,3,2010
Rashard Mendenhall,PIT,RB,3,2010
Chris Johnson,TEN,RB,3,2010
Michael Turner,ATL,RB,3,2010
Arian Foster,HOU,RB,3,2010
Darren McFadden,LV,RB,3,2010
BenJarvus Green-Ellis,NE,RB,3,2010
Jamaal Charles,KC,RB,3,2010
Thomas Jones,KC,RB,3,2010
Ahmad Bradshaw,NYG,RB,3,2010
Maurice Jones-Drew,JAC,RB,3,2010
Cedric Benson,CIN,RB,3,2010
Ray Rice,BAL,RB,3,2010
Marshawn Lynch,BUF,RB,3,2010
Beanie Wells,ARI,RB,3,2010
Mike Tolbert,LAC,RB,3,2010
LaDainian Tomlinson,NYJ,RB,3,2010
DeAngelo Williams,CAR,RB,3,2010
Justin Forsett,SEA,RB,3,2010
Jason Snelling,ATL,RB,3,2010
Steven Jackson,LAR,RB,3,2010
Marion Barber,DAL,RB,3,2010
LeSean McCoy,PHI,RB,3,2010
Kenneth Darby,LAR,RB,3,2010
Ryan Torain,WAS,RB,3,2010
Clinton Portis,WAS,RB,3,2010
Frank Gore,SF,RB,3,2010
Felix Jones,DAL,RB,3,2010
Danny Woodhead,NE,RB,3,2010
Brad Smith,NYJ,WR,3,2010
Tim Hightower,ARI,RB,3,2010
Shonn Greene,NYJ,RB,3,2010
John Kuhn,GB,RB,3,2010
Isaac Redman,PIT,RB,3,2010
Javon Ringer,TEN,RB,3,2010
Pierre Thomas,NO,RB,3,2010
Joseph Addai,IND,RB,3,2010
Matt Forte,CHI,RB,3,2010
Willis McGahee,BAL,RB,3,2010
C.J. Spiller,BUF,RB,3,2010
Ricky Williams,MIA,RB,3,2010
LeGarrette Blount,TB,RB,3,2010
Jahvid Best,DET,RB,3,2010
Laurence Maroney,DEN,RB,3,2010
Keith Toston,LAR,RB,3,2010
Stefan Logan,DET,WR,3,2010
Josh Cribbs,CLE,WR,3,2010
Rashad Jennings,JAC,RB,3,2010
Sammy Morris,NE,RB,3,2010
Brandon Jacobs,NYG,RB,3,2010
Brian Leonard,CIN,TE,3,2010
Darren Sproles,LAC,RB,3,2010
Fred Taylor,NE,RB,3,2010
Bernard Scott,CIN,RB,3,2010
Mike Bell,PHI,RB,3,2010
Steve Slaton,HOU,RB,3,2010
Michael Bush,LV,RB,3,2010
Earnest Graham,TB,RB,3,2010
Percy Harvin,MIN,WR,3,2010
Aaron Hernandez,NE,TE,3,2010
Chris Ivory,NO,RB,3,2010
Jonathan Stewart,CAR,RB,3,2010
Cadillac Williams,TB,RB,3,2010
Donald Brown,IND,RB,3,2010
Correll Buckhalter,DEN,RB,3,2010
Toby Gerhart,MIN,RB,3,2010
Brandon Jackson,GB,RB,3,2010
Jackie Battle,KC,RB,3,2010
James Davis,CLE,RB,3,2010
Chester Taylor,CHI,RB,3,2010
DeSean Jackson,PHI,WR,3,2010
Fred Jackson,BUF,RB,3,2010
Jerome Felton,DET,RB,3,2010
Maurice Morris,DET,RB,3,2010
Brandon Tate,NE,WR,3,2010
Steve Breaston,ARI,WR,3,2010
Tashard Choice,DAL,RB,3,2010
Le'Ron McClain,BAL,RB,3,2010
