player,receiving_rec,receiving_yds,receiving_td,rushing_att,rushing_yds,rushing_td,lst,fantasy_points,team,position,week,year
Dyami Brown,1.1,13.6,0.1,0.0,0.1,0.0,0.0,1.7,WAS,WR,15,2021
Racey McMath,1.0,12.1,0.1,0.0,0.1,0.0,0.0,1.6,TEN,WR,15,2021
N'Keal Harry,0.9,11.4,0.1,0.0,0.0,0.0,0.0,1.6,NE,WR,15,2021
Amari Rodgers,0.7,11.8,0.1,0.1,0.7,0.0,0.1,1.5,GB,WR,15,2021
Ashton Dulin,0.8,10.6,0.1,0.0,0.1,0.0,0.0,1.5,IND,WR,15,2021
Malik Taylor,0.9,10.5,0.1,0.0,0.0,0.0,0.0,1.5,GB,WR,15,2021
Kendall Hinton,0.8,11.1,0.1,0.1,0.1,0.0,0.0,1.5,DEN,WR,15,2021
Tom Kennedy,0.9,10.7,0.1,0.0,0.0,0.0,0.0,1.4,DET,WR,15,2021
Terrace Marshall Jr.,1.0,11.4,0.0,0.0,0.0,0.0,0.0,1.4,CAR,WR,15,2021
Vyncint Smith,0.9,10.7,0.1,0.0,0.0,0.0,0.0,1.3,TB,WR,15,2021
Dez Fitzpatrick,0.8,9.5,0.1,0.0,0.0,0.0,0.0,1.3,TEN,WR,15,2021
Malik Turner,0.8,9.4,0.1,0.0,0.0,0.0,0.0,1.3,DAL,WR,15,2021
Easop Winston Jr.,0.8,10.3,0.0,0.0,0.0,0.0,0.0,1.3,NO,WR,15,2021
J.J. Arcega-Whiteside,0.5,8.3,0.1,0.0,0.0,0.0,0.0,1.1,PHI,WR,15,2021
Dax Milne,0.6,8.9,0.0,0.0,0.0,0.0,0.0,1.1,WAS,WR,15,2021
Scotty Miller,0.6,8.0,0.1,0.0,0.2,0.0,0.0,1.1,TB,WR,15,2021
Adam Thielen,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,MIN,WR,15,2021
Jaylen Waddle,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,MIA,WR,15,2021
Miles Boykin,0.7,8.2,0.0,0.0,0.0,0.0,0.0,1.0,BAL,WR,15,2021
Greg Ward,0.5,6.8,0.1,0.0,0.0,0.0,0.0,1.0,PHI,WR,15,2021
Marcus Kemp,0.5,6.4,0.0,0.0,0.0,0.0,0.0,0.9,KC,WR,15,2021
Marquez Stevenson,0.5,6.3,0.0,0.0,0.3,0.0,0.0,0.9,BUF,WR,15,2021
Equanimeous St. Brown,0.5,5.5,0.0,0.0,1.0,0.0,0.0,0.9,GB,WR,15,2021
Shi Smith,0.5,6.1,0.0,0.0,1.0,0.0,0.0,0.9,CAR,WR,15,2021
Collin Johnson,0.5,6.7,0.0,0.0,0.0,0.0,0.0,0.9,NYG,WR,15,2021
Andre Roberts,0.3,5.2,0.0,0.0,1.3,0.0,0.0,0.9,LAC,WR,15,2021
Jaelon Darden,0.4,5.8,0.0,0.0,0.6,0.0,0.0,0.9,TB,WR,15,2021
Trent Sherfield,0.5,6.2,0.0,0.0,0.0,0.0,0.0,0.8,SF,WR,15,2021
Mike Thomas,0.4,5.5,0.0,0.0,0.0,0.0,0.0,0.8,CIN,WR,15,2021
Jake Kumerow,0.3,5.3,0.0,0.0,0.1,0.0,0.0,0.7,BUF,WR,15,2021
Diontae Spencer,0.4,5.1,0.0,0.0,0.3,0.0,0.0,0.7,DEN,WR,15,2021
Chris Moore,0.5,5.4,0.0,0.0,0.0,0.0,0.0,0.7,HOU,WR,15,2021
Frank Darby,0.4,4.9,0.0,0.0,0.2,0.0,0.0,0.7,ATL,WR,15,2021
Andy Isabella,0.3,5.0,0.0,0.0,0.1,0.0,0.0,0.7,ARI,WR,15,2021
Mohamed Sanu Sr.,0.4,4.3,0.0,0.0,0.0,0.0,0.0,0.6,SF,WR,15,2021
Gunner Olszewski,0.2,4.2,0.0,0.0,0.5,0.0,0.0,0.6,NE,WR,15,2021
Dezmon Patmon,0.2,4.1,0.0,0.0,0.1,0.0,0.0,0.6,IND,WR,15,2021
Travis Benjamin,0.4,4.9,0.0,0.0,0.2,0.0,0.0,0.6,SF,WR,15,2021
Tylan Wallace,0.3,4.2,0.0,0.0,0.1,0.0,0.0,0.6,BAL,WR,15,2021
Simi Fehoko,0.3,3.9,0.0,0.0,0.2,0.0,0.0,0.5,DAL,WR,15,2021
Matthew Slater,0.2,3.9,0.0,0.0,0.1,0.0,0.0,0.5,NE,WR,15,2021
Christian Blake,0.3,3.4,0.0,0.0,0.1,0.0,0.0,0.5,ATL,WR,15,2021
Stanley Morgan Jr.,0.2,3.3,0.0,0.0,0.0,0.0,0.0,0.5,CIN,WR,15,2021
Daurice Fountain,0.2,2.9,0.0,0.0,0.1,0.0,0.0,0.4,KC,WR,15,2021
James Proche II,0.1,2.8,0.0,0.0,0.2,0.0,0.0,0.4,BAL,WR,15,2021
Alex Erickson,0.1,1.6,0.0,0.0,0.4,0.0,0.0,0.3,CAR,WR,15,2021
