Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Dax MilneWAS,0.6,7.7,0.0,0.0,0.1,0.0,0.0,1.0
Nick Westbrook-IkhineTEN,0.6,7.8,0.0,0.0,0.0,0.0,0.0,1.0
Phillip Dorsett IIHOU,0.5,7.9,0.0,0.0,0.3,0.0,0.0,1.0
Dante PettisNYG,0.5,7.4,0.0,0.0,0.1,0.0,0.0,1.0
Miles BoykinBAL,0.6,6.9,0.0,0.0,0.0,0.0,0.0,0.9
Diontae SpencerDEN,0.6,6.8,0.0,0.2,0.7,0.0,0.0,0.9
Laquon TreadwellJAC,0.5,6.5,0.0,0.0,0.0,0.0,0.0,0.8
Shi SmithCAR,0.4,4.4,0.0,0.0,0.3,0.0,0.0,0.6
Andre RobertsLAC,0.2,3.7,0.0,0.0,0.6,0.0,0.0,0.6
Cameron BatsonTEN,0.4,4.1,0.0,0.2,1.1,0.0,0.0,0.6
Equanimeous St. BrownGB,0.4,4.8,0.0,0.0,0.0,0.0,0.0,0.6
Antonio Gandy-GoldenWAS,0.3,3.7,0.0,0.0,0.4,0.0,0.0,0.6
Malik TurnerDAL,0.3,4.3,0.0,0.0,0.1,0.0,0.0,0.5
J.J. Arcega-WhitesidePHI,0.3,3.8,0.0,0.0,0.0,0.0,0.0,0.5
Alex EricksonCAR,0.3,3.2,0.0,0.1,0.5,0.0,0.0,0.5
Ben SkowronekLAR,0.2,3.3,0.0,0.0,0.2,0.0,0.0,0.4
Tylan WallaceBAL,0.2,3.3,0.0,0.0,0.2,0.0,0.0,0.4
Tutu AtwellLAR,0.2,2.9,0.0,0.0,0.3,0.0,0.0,0.4
Marcus KempKC,0.2,2.9,0.0,0.0,0.1,0.0,0.0,0.4
Matthew SlaterNE,0.1,3.0,0.0,0.0,0.2,0.0,0.0,0.4
Antoine WesleyARI,0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.3
Jake KumerowBUF,0.2,3.0,0.0,0.0,0.0,0.0,0.0,0.3
Gunner OlszewskiNE,0.1,2.2,0.0,0.0,0.1,0.0,0.0,0.3
Juwann WinfreeGB,0.2,2.0,0.0,0.0,0.1,0.0,0.0,0.3
Jaydon MickensJAC,0.1,2.3,0.0,0.0,0.1,0.0,0.0,0.2
Stanley Morgan Jr.CIN,0.2,1.9,0.0,0.0,0.1,0.0,0.0,0.2
