player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,position,week,year,team,opponent,home,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
Gabe Nabers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RB,3,2020,LAC,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Chase Edmonds,4.0,16.0,4.0,9.0,0.0,0.0,5.0,6.0,24.0,4.8,1.0,0.0,1.0,10.0,RB,4,2020,ARI,CAR,False,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Kenyan Drake,13.0,35.0,2.7,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,RB,4,2020,ARI,CAR,False,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Jonathan Ward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RB,4,2020,ARI,CAR,False,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Brian Hill,6.0,39.0,6.5,11.0,0.0,0.0,2.0,2.0,15.0,7.5,0.0,0.0,1.0,5.4,RB,5,2020,ATL,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Ito Smith,2.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,RB,5,2020,ATL,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
David Montgomery,19.0,58.0,3.1,12.0,0.0,0.0,4.0,5.0,39.0,9.8,0.0,0.0,1.0,9.7,RB,6,2020,CHI,CAR,False,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Artavis Pierce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RB,6,2020,CHI,CAR,False,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Ryan Nall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RB,6,2020,CHI,CAR,False,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Alvin Kamara,14.0,83.0,5.9,32.0,0.0,0.0,8.0,8.0,65.0,8.1,0.0,0.0,1.0,14.8,RB,7,2020,NO,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Latavius Murray,11.0,47.0,4.3,25.0,0.0,0.0,1.0,1.0,9.0,9.0,0.0,0.0,1.0,5.6,RB,7,2020,NO,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Dwayne Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RB,7,2020,NO,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Michael Burton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RB,7,2020,NO,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Brian Hill,11.0,55.0,5.0,14.0,0.0,0.0,2.0,3.0,9.0,4.5,0.0,0.0,1.0,6.4,RB,8,2020,ATL,CAR,False,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Qadree Ollison,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,RB,8,2020,ATL,CAR,False,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Clyde Edwards-Helaire,5.0,14.0,2.8,7.0,0.0,0.0,3.0,5.0,20.0,6.7,1.0,0.0,1.0,9.4,RB,9,2020,KC,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Le'Veon Bell,4.0,8.0,2.0,4.0,0.0,0.0,1.0,1.0,-5.0,-5.0,0.0,0.0,1.0,0.3,RB,9,2020,KC,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Darrel Williams,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,0.3,RB,9,2020,KC,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Darwin Thompson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RB,9,2020,KC,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Anthony Sherman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RB,9,2020,KC,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Ronald Jones II,23.0,192.0,8.3,98.0,0.0,1.0,1.0,2.0,6.0,6.0,0.0,1.0,1.0,23.8,RB,10,2020,TB,CAR,False,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Leonard Fournette,8.0,19.0,2.4,14.0,0.0,0.0,2.0,3.0,11.0,5.5,0.0,0.0,1.0,3.0,RB,10,2020,TB,CAR,False,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
LeSean McCoy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RB,10,2020,TB,CAR,False,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Kerryon Johnson,6.0,17.0,2.8,8.0,0.0,0.0,2.0,5.0,21.0,10.5,0.0,0.0,1.0,3.8,RB,11,2020,DET,CAR,False,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Adrian Peterson,7.0,18.0,2.6,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.8,RB,11,2020,DET,CAR,False,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Jonathan Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RB,11,2020,DET,CAR,False,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Dalvin Cook,18.0,61.0,3.4,14.0,0.0,0.0,4.0,4.0,21.0,5.3,0.0,1.0,1.0,6.2,RB,12,2020,MIN,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
C.J. Ham,1.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,RB,12,2020,MIN,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Alexander Mattison,2.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,RB,12,2020,MIN,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Mike Boone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RB,12,2020,MIN,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Ameer Abdullah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RB,12,2020,MIN,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Phillip Lindsay,11.0,24.0,2.2,9.0,0.0,0.0,2.0,2.0,7.0,3.5,0.0,0.0,1.0,3.1,RB,14,2020,DEN,CAR,False,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Royce Freeman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RB,14,2020,DEN,CAR,False,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Aaron Jones,20.0,145.0,7.3,46.0,0.0,1.0,3.0,4.0,13.0,4.3,0.0,0.0,1.0,21.8,RB,15,2020,GB,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Jamaal Williams,1.0,6.0,6.0,6.0,0.0,0.0,2.0,2.0,14.0,7.0,0.0,0.0,1.0,2.0,RB,15,2020,GB,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
AJ Dillon,1.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,RB,15,2020,GB,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Antonio Gibson,10.0,61.0,6.1,22.0,0.0,0.0,3.0,4.0,8.0,2.7,0.0,0.0,1.0,6.9,RB,16,2020,WAS,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Peyton Barber,1.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,RB,16,2020,WAS,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Christian McCaffrey,23.0,97.0,4.2,15.0,0.0,2.0,3.0,4.0,38.0,12.7,0.0,0.0,1.0,25.4,RB,1,2020,CAR,LV,True,370.0,580.0,63.8,4212.0,7.5,263.3,92.0,28.0,10.0,21.0,129.0,95.3,438.0,2013.0,4.6,125.8,62.0,24.0,2.0,0.0,370.0,4341.0,11.7,271.3,92.0,28.0,3.0,2.0,381.0,114.0,223.0,44.0,100.0,205.0,48.8,14.0,17.0,82.4,95.0,915.0
Trenton Cannon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RB,1,2020,CAR,LV,True,370.0,580.0,63.8,4212.0,7.5,263.3,92.0,28.0,10.0,21.0,129.0,95.3,438.0,2013.0,4.6,125.8,62.0,24.0,2.0,0.0,370.0,4341.0,11.7,271.3,92.0,28.0,3.0,2.0,381.0,114.0,223.0,44.0,100.0,205.0,48.8,14.0,17.0,82.4,95.0,915.0
Mike Davis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RB,1,2020,CAR,LV,True,370.0,580.0,63.8,4212.0,7.5,263.3,92.0,28.0,10.0,21.0,129.0,95.3,438.0,2013.0,4.6,125.8,62.0,24.0,2.0,0.0,370.0,4341.0,11.7,271.3,92.0,28.0,3.0,2.0,381.0,114.0,223.0,44.0,100.0,205.0,48.8,14.0,17.0,82.4,95.0,915.0
Alvin Kamara,13.0,79.0,6.1,21.0,0.0,2.0,9.0,9.0,95.0,10.6,0.0,0.0,1.0,29.4,RB,2,2020,NO,LV,False,370.0,580.0,63.8,4212.0,7.5,263.3,92.0,28.0,10.0,21.0,129.0,95.3,438.0,2013.0,4.6,125.8,62.0,24.0,2.0,0.0,370.0,4341.0,11.7,271.3,92.0,28.0,3.0,2.0,381.0,114.0,223.0,44.0,100.0,205.0,48.8,14.0,17.0,82.4,95.0,915.0
