player,position,team,games,snaps,snaps_per_game,snaps_percent,rush_percent,tgt_percent,touch_percent,util_percent,fantasy_points,points_per_100_snaps,week
Jamison Crowder,WR,NYJ,1,56,56,79,0,13,5,13,2.9,5.2,14
Ty Montgomery,RB,NYJ,1,23,23,32,39,13,52,52,6.1,26.5,14
Phillip Dorsett II,WR,NE,1,32,32,48,0,6,0,6,0.0,0.0,14
Stefon Diggs,WR,MIN,1,53,53,74,0,17,11,17,9.2,17.4,14
Chris Manhertz,TE,CAR,1,17,17,24,0,6,6,6,1.1,6.5,14
Jake Kumerow,WR,GB,1,7,7,11,0,0,0,0,0.0,0.0,14
C.J. Uzomah,TE,CIN,1,45,45,62,0,4,2,4,0.4,0.9,14
Darren Waller,TE,OAK,1,60,60,97,0,10,10,10,5.2,8.7,14
Chris Conley,WR,JAC,1,57,57,86,0,5,2,5,0.7,1.2,14
Michael Burton,RB,WAS,1,9,9,14,0,0,0,0,0.0,0.0,14
Damiere Byrd,WR,ARI,1,25,25,43,0,4,4,4,1.0,4.0,14
Matt LaCosse,TE,NE,1,53,53,80,0,8,4,8,1.4,2.6,14
Tyrell Williams,WR,OAK,1,51,51,82,0,8,6,8,3.5,6.9,14
Raheem Mostert,RB,SF,1,38,38,58,26,5,32,32,22.9,60.3,14
DeAndrew White,WR,CAR,1,4,4,6,0,0,0,0,0.0,0.0,14
Daniel Brown,TE,NYJ,1,62,62,87,0,3,2,3,0.7,1.1,14
Ross Travis,TE,IND,1,5,5,8,0,20,20,20,0.1,2.0,14
Laquon Treadwell,WR,MIN,1,17,17,24,0,12,12,12,4.2,24.7,14
Ezekiel Elliott,RB,DAL,1,72,72,99,26,7,29,33,21.3,29.6,14
Jared Goff,QB,LAR,1,68,68,100,3,0,49,49,18.1,26.6,14
Derrick Henry,RB,TEN,1,37,37,61,49,3,51,51,22.9,61.9,14
Carson Wentz,QB,PHI,1,88,88,100,6,0,63,63,19.9,22.6,14
Michael Thomas,WR,NO,1,70,70,97,0,21,16,21,19.4,27.7,14
Tyler Boyd,WR,CIN,1,55,55,75,2,11,11,13,8.2,14.9,14
Devontae Booker,RB,DEN,1,2,2,3,0,100,100,100,2.4,120.0,14
Pharoh Cooper,WR,ARI,1,16,16,28,0,6,6,6,0.5,3.1,14
Hunter Henry,TE,LAC,1,36,36,60,0,11,6,11,9.9,27.5,14
Sterling Shepard,WR,NYG,1,48,48,92,2,15,10,17,3.6,7.5,14
Austin Hooper,TE,ATL,1,44,44,64,0,14,5,14,3.2,7.3,14
Tajae Sharpe,WR,TEN,1,29,29,48,0,14,14,14,2.5,8.6,14
Dak Prescott,QB,DAL,1,73,73,100,4,0,71,71,17.5,24.0,14
C.J. Prosise,RB,SEA,1,10,10,15,10,0,10,10,0.2,2.0,14
Tyler Higbee,TE,LAR,1,66,66,97,0,17,11,17,11.6,17.6,14
Kenyan Drake,RB,ARI,1,38,38,66,29,8,37,37,6.7,17.6,14
Jacoby Brissett,QB,IND,1,63,63,100,6,0,63,63,22.6,35.9,14
Nick Vannett,TE,PIT,1,37,37,63,0,0,0,0,0.0,0.0,14
Demarcus Robinson,WR,KC,1,61,61,78,0,3,2,3,1.2,2.0,14
Wendell Smallwood,RB,WAS,1,2,2,3,100,0,100,100,0.4,20.0,14
Robby Anderson,WR,NYJ,1,66,66,93,2,17,12,18,18.1,27.4,14
Cody Core,WR,NYG,1,1,1,2,0,0,0,0,0.0,0.0,14
Alex Erickson,WR,CIN,1,59,59,81,0,12,10,14,5.5,9.3,14
Derek Watt,RB,LAC,1,17,17,28,12,0,12,12,6.4,37.6,14
Tyreek Hill,WR,KC,1,70,70,90,3,11,11,14,7.0,10.0,14
Johnny Holton,WR,PIT,1,17,17,29,0,0,0,0,0.0,0.0,14
DeAndre Washington,RB,OAK,1,39,39,63,36,18,51,54,15.6,40.0,14
Marcus Johnson,WR,IND,1,56,56,89,0,13,5,13,16.5,29.5,14
Geronimo Allison,WR,GB,1,34,34,56,0,3,3,3,1.1,3.2,14
Danny Vitale,RB,GB,1,12,12,20,0,8,0,8,0.0,0.0,14
Peyton Barber,RB,TB,1,30,30,38,37,7,43,43,5.3,17.7,14
J.P. Holtz,TE,CHI,1,37,37,53,0,8,8,8,5.6,15.1,14
Tevin Jones,WR,PIT,1,19,19,32,0,0,0,0,0.0,0.0,14
Kalif Raymond,WR,TEN,1,12,12,20,0,17,8,17,1.1,9.2,14
Jalen Richard,RB,OAK,1,24,24,39,29,13,38,42,4.6,19.2,14
C.J. Ham,RB,MIN,1,30,30,42,3,3,7,7,2.5,8.3,14
J.D. McKissic,RB,DET,1,16,16,23,6,25,31,31,1.8,11.3,14
Joshua Perkins,TE,PHI,1,29,29,33,0,17,17,17,3.7,12.8,14
Elijhaa Penny,RB,NYG,1,4,4,8,0,0,0,0,0.0,0.0,14
Dalvin Cook,RB,MIN,1,33,33,46,55,6,61,61,13.5,40.9,14
Mike Williams,WR,LAC,1,43,43,72,0,7,5,7,12.3,28.6,14
Leonard Fournette,RB,JAC,1,51,51,77,29,12,35,41,6.3,12.4,14
O.J. Howard,TE,TB,1,68,68,86,0,7,6,7,7.3,10.7,14
Mitchell Trubisky,QB,CHI,1,70,70,100,14,0,59,59,33.1,47.3,14
Corey Davis,WR,TEN,1,46,46,75,0,9,4,9,3.4,7.4,14
John Ross,WR,CIN,1,36,36,49,0,8,6,8,2.8,7.8,14
Christian McCaffrey,RB,CAR,1,70,70,99,16,17,31,33,13.5,19.3,14
Deshaun Watson,QB,HOU,1,76,76,100,8,0,74,74,30.1,39.6,14
David Njoku,TE,CLE,1,20,20,37,0,15,5,15,0.4,2.0,14
Chris Godwin,WR,TB,1,74,74,94,0,12,9,12,9.1,12.3,14
Patrick Mahomes II,QB,KC,1,77,77,99,8,0,60,60,14.9,19.4,14
Joe Mixon,RB,CIN,1,43,43,59,53,9,60,63,24.6,57.2,14
Alvin Kamara,RB,NO,1,55,55,76,24,11,31,35,2.3,4.2,14
Jamaal Williams,RB,GB,1,25,25,41,28,4,28,32,2.4,9.6,14
Kareem Hunt,RB,CLE,1,34,34,63,26,6,32,32,12.8,37.6,14
Zay Jones,WR,OAK,1,52,52,84,0,6,2,6,0.5,1.0,14
Isaiah Ford,WR,MIA,1,55,55,76,0,16,11,16,9.2,16.7,14
Cooper Kupp,WR,LAR,1,19,19,28,0,21,26,26,10.5,55.3,14
Curtis Samuel,WR,CAR,1,65,65,92,5,6,8,11,4.2,6.5,14
Dede Westbrook,WR,JAC,1,44,44,67,0,16,14,16,2.5,5.7,14
Josh Reynolds,WR,LAR,1,45,45,66,7,0,7,7,2.9,6.4,14
Marlon Mack,RB,IND,1,26,26,41,50,0,50,50,9.8,37.7,14
Brian Hill,RB,ATL,1,14,14,20,64,0,64,64,12.2,87.1,14
Tarik Cohen,RB,CHI,1,33,33,47,9,18,27,27,3.1,9.4,14
Jonnu Smith,TE,TEN,1,48,48,79,0,8,6,8,8.9,18.5,14
Jeremy Sprinkle,TE,WAS,1,47,47,75,0,0,0,0,0.0,0.0,14
Austin Ekeler,RB,LAC,1,29,29,48,28,17,41,45,27.3,94.1,14
Kenny Golladay,WR,DET,1,67,67,94,0,12,9,12,11.8,17.6,14
Mack Hollins,WR,MIA,1,10,10,14,0,10,0,10,0.0,0.0,14
Krishawn Hogan,WR,NO,1,5,5,7,0,0,0,0,0.0,0.0,14
George Kittle,TE,SF,1,59,59,89,0,14,10,14,12.7,21.5,14
Robert Tonyan,TE,GB,1,19,19,31,0,5,5,5,7.2,37.9,14
Jacob Hollister,TE,SEA,1,52,52,79,0,12,8,12,3.4,6.5,14
Cody Hollister,WR,TEN,1,1,1,2,0,0,0,0,0.0,0.0,14
Cethan Carter,TE,CIN,1,8,8,11,0,0,0,0,0.0,0.0,14
Tim Patrick,WR,DEN,1,37,37,63,0,8,5,8,5.0,13.5,14
Mo Alie-Cox,TE,IND,1,16,16,25,0,6,6,6,0.8,5.0,14
Darrell Daniels,TE,ARI,1,2,2,3,0,0,0,0,0.0,0.0,14
Isaiah McKenzie,WR,BUF,1,53,53,73,0,9,6,9,2.5,4.7,14
Blake Jarwin,TE,DAL,1,22,22,30,0,32,27,32,5.0,22.7,14
Aaron Jones,RB,GB,1,35,35,57,46,20,63,66,25.2,72.0,14
Alex Armah Jr.,RB,CAR,1,5,5,7,0,0,0,0,0.0,0.0,14
Chad Williams,WR,IND,1,6,6,10,0,17,0,17,0.0,0.0,14
Ricky Seals-Jones,TE,CLE,1,12,12,22,0,8,8,8,2.2,18.3,14
Johnny Mundt,TE,LAR,1,49,49,72,0,0,0,0,0.0,0.0,14
Chris Carson,RB,SEA,1,55,55,83,27,7,33,35,9.1,16.5,14
David Moore,WR,SEA,1,14,14,21,0,14,7,14,1.5,10.7,14
Anthony Firkser,TE,TEN,1,12,12,20,0,8,8,8,3.9,32.5,14
Keelan Cole Sr.,WR,JAC,1,34,34,52,0,9,3,9,1.2,3.5,14
Dare Ogunbowale,RB,TB,1,23,23,29,0,22,22,22,2.8,12.2,14
Andre Patton,WR,LAC,1,33,33,55,0,0,0,0,0.0,0.0,14
Zach Pascal,WR,IND,1,63,63,100,0,14,8,14,15.4,24.4,14
Matt Breida,RB,SF,1,12,12,18,50,8,58,58,5.8,48.3,14
Kendrick Bourne,WR,SF,1,37,37,56,0,11,8,11,13.8,37.3,14
Tyrone Swoopes,TE,SEA,1,10,10,15,0,0,0,0,0.0,0.0,14
Taysom Hill,QB,NO,1,28,28,39,18,4,25,25,2.5,8.9,14
Greg Ward,WR,PHI,1,76,76,86,0,12,5,12,3.4,4.5,14
Patrick Ricard,RB,BAL,1,20,20,33,0,0,0,0,0.0,0.0,14
Trey Edmunds,RB,PIT,1,3,3,5,0,33,33,33,0.7,23.3,14
Brandon Zylstra,WR,CAR,1,2,2,3,0,100,50,100,0.7,35.0,14
Lamar Jackson,QB,BAL,1,60,60,98,18,0,60,60,20.8,34.7,14
Sam Darnold,QB,NYJ,1,71,71,100,4,0,55,55,18.1,25.5,14
Baker Mayfield,QB,CLE,1,53,53,98,4,0,49,49,13.0,24.5,14
Saquon Barkley,RB,NYG,1,49,49,94,35,8,41,43,6.7,13.7,14
Derrius Guice,RB,WAS,1,9,9,14,56,0,56,56,4.2,46.7,14
Ronald Jones II,RB,TB,1,27,27,34,41,19,56,59,5.9,21.9,14
Royce Freeman,RB,DEN,1,27,27,46,30,7,37,37,9.2,34.1,14
Nick Chubb,RB,CLE,1,38,38,70,39,3,42,42,11.7,30.8,14
Myles Gaskin,RB,MIA,1,13,13,18,31,15,38,46,1.1,8.5,14
Courtland Sutton,WR,DEN,1,57,57,97,0,12,9,12,3.4,6.0,14
James Washington,WR,PIT,1,42,42,71,0,10,10,10,3.3,7.9,14
Anthony Miller,WR,CHI,1,62,62,89,0,6,5,6,10.2,16.5,14
Marcell Ateman,WR,OAK,1,2,2,3,0,0,0,0,0.0,0.0,14
Calvin Ridley,WR,ATL,1,36,36,52,0,14,14,14,13.6,37.8,14
Michael Gallup,WR,DAL,1,58,58,79,0,17,10,17,10.9,18.8,14
Tre'Quan Smith,WR,NO,1,56,56,78,0,7,4,7,8.9,15.9,14
Cedrick Wilson Jr.,WR,DAL,1,5,5,7,0,20,0,20,0.0,0.0,14
Deon Cain,WR,PIT,1,15,15,25,0,7,7,7,2.2,14.7,14
DJ Moore,WR,CAR,1,70,70,99,1,9,7,10,8.1,11.6,14
Christian Kirk,WR,ARI,1,56,56,97,2,16,16,18,8.9,15.9,14
Mark Andrews,TE,BAL,1,9,9,15,0,33,11,33,1.4,15.6,14
Dallas Goedert,TE,PHI,1,60,60,68,0,10,5,10,4.1,6.8,14
Jaylen Samuels,RB,PIT,1,27,27,46,26,7,33,33,3.4,12.6,14
Mike Gesicki,TE,MIA,1,50,50,69,0,10,2,10,0.6,1.2,14
Troy Fumagalli,TE,DEN,1,16,16,27,0,6,6,6,0.3,1.9,14
Hayden Hurst,TE,BAL,1,28,28,46,0,11,11,11,13.3,47.5,14
Braxton Berrios,WR,NYJ,1,2,2,3,0,50,0,50,0.0,0.0,14
D.J. Chark Jr.,WR,JAC,1,58,58,88,0,17,16,17,7.5,12.9,14
Nyheim Hines,RB,IND,1,35,35,56,11,14,23,26,0.5,1.4,14
Josh Allen,QB,BUF,1,73,73,100,3,0,56,56,10.7,14.7,14
Bo Scarbrough,RB,DET,1,34,34,48,56,9,59,65,7.0,20.6,14
Justin Jackson,RB,LAC,1,12,12,20,25,0,25,25,2.5,20.8,14
Allen Lazard,WR,GB,1,33,33,54,0,9,6,9,1.9,5.8,14
Richie James Jr.,WR,SF,1,11,11,17,9,0,9,9,-0.1,-0.9,14
Auden Tate,WR,CIN,1,29,29,40,0,14,3,14,1.6,5.5,14
Rashaad Penny,RB,SEA,1,1,1,2,0,100,100,100,1.6,160.0,14
Sony Michel,RB,NE,1,9,9,14,56,11,67,67,0.9,10.0,14
Dalton Schultz,TE,DAL,1,3,3,4,0,0,0,0,0.0,0.0,14
Ian Thomas,TE,CAR,1,61,61,86,0,16,8,16,11.7,19.2,14
Javon Wims,WR,CHI,1,31,31,44,0,10,0,10,0.0,0.0,14
Jordan Thomas,TE,HOU,1,7,7,9,0,0,0,0,0.0,0.0,14
Jordan Akins,TE,HOU,1,48,48,63,0,19,8,19,4.9,10.2,14
Robert Foster,WR,BUF,1,19,19,26,0,21,0,21,0.0,0.0,14
DaeSean Hamilton,WR,DEN,1,44,44,75,0,9,5,9,3.6,8.2,14
Keke Coutee,WR,HOU,1,55,55,72,0,15,9,15,4.8,8.7,14
Chase Edmonds,RB,ARI,1,11,11,19,9,18,9,27,0.9,8.2,14
Jordan Wilkins,RB,IND,1,9,9,14,11,0,11,11,0.1,1.1,14
Phillip Lindsay,RB,DEN,1,31,31,53,52,6,58,58,11.5,37.1,14
Durham Smythe,TE,MIA,1,41,41,57,0,2,2,2,0.2,0.5,14
Noah Fant,TE,DEN,1,29,29,49,0,14,14,14,17.3,59.7,14
Marquez Valdes-Scantling,WR,GB,1,10,10,16,0,0,0,0,0.0,0.0,14
Damion Ratley,WR,CLE,1,16,16,30,0,6,0,6,0.0,0.0,14
Tyler Conklin,TE,MIN,1,35,35,49,0,9,9,9,1.3,3.7,14
Justin Watson,WR,TB,1,43,43,54,0,19,12,19,11.9,27.7,14
Russell Gage,WR,ATL,1,35,35,51,0,11,6,11,1.7,4.9,14
Boston Scott,RB,PHI,1,38,38,43,26,16,42,42,18.8,49.5,14
Chris Lacy,WR,DET,1,3,3,4,0,0,0,0,0.0,0.0,14
Darvin Kidsy,WR,WAS,1,1,1,2,0,0,0,0,0.0,0.0,14
Gus Edwards,RB,BAL,1,20,20,33,20,0,20,20,2.0,10.0,14
Vyncint Smith,WR,NYJ,1,35,35,49,0,9,3,9,3.7,10.6,14
Byron Pringle,WR,KC,1,1,1,1,0,100,100,100,1.4,140.0,14
Ryan Nall,RB,CHI,1,1,1,1,0,0,0,0,0.0,0.0,14
Mike Boone,RB,MIN,1,6,6,8,83,0,83,83,1.3,21.7,14
Tanner Hudson,TE,TB,1,6,6,8,0,0,0,0,0.0,0.0,14
Christian Blake,WR,ATL,1,12,12,17,0,0,0,0,0.0,0.0,14
Reggie Bonnafon,RB,CAR,1,2,2,3,50,0,50,50,0.6,30.0,14
Kyle Allen,QB,CAR,1,71,71,100,8,0,66,66,20.1,28.3,14
Ross Dwelley,TE,SF,1,9,9,14,0,0,0,0,0.0,0.0,14
Cam Sims,WR,WAS,1,3,3,5,0,0,0,0,0.0,0.0,14
Dontrell Hilliard,RB,CLE,1,3,3,6,0,0,0,0,0.0,0.0,14
Jaeden Graham,TE,ATL,1,8,8,12,0,0,0,0,0.0,0.0,14
KhaDarel Hodge,WR,CLE,1,13,13,24,0,8,0,8,0.0,0.0,14
Malik Turner,WR,SEA,1,14,14,21,0,21,7,21,1.0,7.1,14
Dwayne Haskins,QB,WAS,1,63,63,100,2,0,44,44,9.7,15.4,14
A.J. Brown,WR,TEN,1,51,51,84,2,14,12,16,28.6,56.1,14
D.K. Metcalf,WR,SEA,1,52,52,79,0,12,12,12,7.8,15.0,14
N'Keal Harry,WR,NE,1,2,2,3,0,50,50,50,1.2,60.0,14
Drew Lock,QB,DEN,1,59,59,100,5,0,51,51,24.9,42.2,14
Marquise Brown,WR,BAL,1,43,43,70,0,7,7,7,-0.2,-0.5,14
Kelvin Harmon,WR,WAS,1,53,53,84,0,8,2,8,3.0,5.7,14
J.J. Arcega-Whiteside,WR,PHI,1,79,79,90,0,4,3,4,2.9,3.7,14
David Montgomery,RB,CHI,1,45,45,64,44,2,44,47,6.6,14.7,14
Deebo Samuel,WR,SF,1,50,50,76,4,16,14,20,10.9,21.8,14
Justice Hill,RB,BAL,1,6,6,10,50,0,50,50,0.8,13.3,14
Riley Ridley,WR,CHI,1,29,29,41,0,3,3,3,0.5,1.7,14
Devin Singletary,RB,BUF,1,60,60,82,28,13,38,42,11.8,19.7,14
Miles Sanders,RB,PHI,1,50,50,57,30,10,38,40,6.9,13.8,14
Kaden Smith,TE,NYG,1,50,50,96,0,10,4,10,0.9,1.8,14
Patrick Laird,RB,MIA,1,59,59,82,25,8,32,34,8.6,14.6,14
Alexander Hollins,WR,MIN,1,5,5,7,0,20,0,20,0.0,0.0,14
Foster Moreau,TE,OAK,1,25,25,40,0,12,12,12,7.4,29.6,14
Ty Johnson,RB,DET,1,21,21,30,10,5,14,14,1.0,4.8,14
Andy Isabella,WR,ARI,1,12,12,21,0,8,8,8,0.5,4.2,14
Parris Campbell,WR,IND,1,31,31,49,0,16,10,16,1.2,3.9,14
Terry McLaurin,WR,WAS,1,60,60,95,0,12,7,12,11.7,19.5,14
Qadree Ollison,RB,ATL,1,10,10,14,40,0,40,40,0.6,6.0,14
Jesper Horsted,TE,CHI,1,31,31,44,0,13,13,13,3.6,11.6,14
Ryquell Armstead,RB,JAC,1,15,15,23,13,13,13,27,0.7,4.7,14
Keelan Doss,WR,OAK,1,28,28,45,0,11,11,11,2.6,9.3,14
Gardner Minshew II,QB,JAC,1,66,66,100,9,0,65,65,13.6,20.6,14
Trevon Wesco,TE,NYJ,1,11,11,15,0,0,0,0,0.0,0.0,14
Alec Ingold,RB,OAK,1,8,8,13,13,0,13,13,-0.1,-1.3,14
Mecole Hardman,WR,KC,1,14,14,18,0,7,7,7,10.8,77.1,14
Jakobi Meyers,WR,NE,1,37,37,56,0,8,3,8,3.5,9.5,14
