,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
135,Laquon Treadwell,WR,MIN,1,1,1,2,0,100,0,100,0.0,0.0
136,Ezekiel Elliott,RB,DAL,1,60,60,95,22,12,33,33,8.4,14.0
137,Jared Goff,QB,LAR,1,70,70,100,6,0,71,71,21.1,30.1
138,Carson Wentz,QB,PHI,1,72,72,99,8,0,64,64,19.0,26.4
139,Michael Thomas,WR,NO,1,61,61,87,0,28,20,28,19.6,32.1
140,Tyler Boyd,WR,CIN,1,83,83,92,0,18,11,18,24.8,29.9
141,Devontae Booker,RB,DEN,1,4,4,6,0,50,25,50,0.2,5.0
142,Pharoh Cooper,WR,ARI,1,21,21,30,0,10,10,10,1.4,6.7
143,Hunter Henry,TE,LAC,1,53,53,87,0,13,9,13,4.5,8.5
144,Sterling Shepard,WR,NYG,1,70,70,100,0,9,9,9,13.6,19.4
145,Austin Hooper,TE,ATL,1,52,52,68,0,17,13,17,8.2,15.8
146,Tajae Sharpe,WR,TEN,1,39,39,63,0,15,13,15,18.9,48.5
147,Dak Prescott,QB,DAL,1,62,62,98,2,0,73,73,11.3,18.2
148,C.J. Prosise,RB,SEA,1,11,11,19,36,0,36,36,1.4,12.7
149,Tyler Higbee,TE,LAR,1,62,62,89,0,18,15,18,10.4,16.8
150,Will Fuller V,WR,HOU,1,19,19,29,0,11,11,11,1.1,5.8
151,Kenyan Drake,RB,ARI,1,56,56,81,43,7,48,50,30.4,54.3
152,Jacoby Brissett,QB,IND,1,61,61,95,5,2,51,51,14.7,24.1
153,Nick Vannett,TE,PIT,1,15,15,22,0,7,7,7,1.8,12.0
154,Chris Moore,WR,BAL,1,1,1,1,0,0,0,0,0.0,0.0
155,Tyler Ervin,RB,GB,1,7,7,9,0,14,14,14,0.6,8.6
156,Demarcus Robinson,WR,KC,1,35,35,53,0,6,3,6,1.3,3.7
157,Seth DeValve,TE,JAC,1,39,39,63,0,15,8,15,4.5,11.5
158,Robby Anderson,WR,NYJ,1,57,57,93,0,7,4,7,9.2,16.1
159,Cody Core,WR,NYG,1,5,5,7,0,0,0,0,0.0,0.0
160,Alex Erickson,WR,CIN,1,68,68,76,0,13,9,13,5.5,8.1
161,Derek Watt,RB,LAC,1,5,5,8,0,0,0,0,0.0,0.0
162,Tyreek Hill,WR,KC,1,59,59,89,0,8,8,8,7.2,12.2
163,Johnny Holton,WR,PIT,1,7,7,10,0,0,0,0,0.0,0.0
164,DeAndre Washington,RB,OAK,1,40,40,63,58,8,63,65,16.6,41.5
165,Marcus Johnson,WR,IND,1,46,46,72,0,9,2,9,0.2,0.4
166,Geronimo Allison,WR,GB,1,33,33,43,0,6,0,6,2.0,6.1
167,Danny Vitale,RB,GB,1,8,8,10,0,13,0,13,0.0,0.0
168,Peyton Barber,RB,TB,1,8,8,11,63,0,63,63,-0.7,-8.8
169,J.P. Holtz,TE,CHI,1,27,27,43,0,4,4,4,1.3,4.8
170,Kalif Raymond,WR,TEN,1,8,8,13,0,25,25,25,1.2,15.0
171,Jalen Richard,RB,OAK,1,24,24,38,21,17,38,38,2.9,12.1
172,C.J. Ham,RB,MIN,1,17,17,31,0,24,12,24,1.2,7.1
173,J.D. McKissic,RB,DET,1,7,7,14,0,0,0,0,0.0,0.0
174,Joshua Perkins,TE,PHI,1,28,28,38,0,7,0,7,0.0,0.0
175,Mike Williams,WR,LAC,1,53,53,87,0,8,6,8,5.1,9.6
176,Leonard Fournette,RB,JAC,1,58,58,94,26,10,31,36,10.5,18.1
177,O.J. Howard,TE,TB,1,61,61,84,0,11,5,11,4.6,7.5
178,Mitchell Trubisky,QB,CHI,1,63,63,100,10,0,63,63,8.3,13.2
179,Corey Davis,WR,TEN,1,44,44,71,0,9,7,9,4.0,9.1
180,John Ross,WR,CIN,1,71,71,79,3,18,11,21,9.0,12.7
181,Christian McCaffrey,RB,CAR,1,63,63,90,21,24,44,44,17.3,27.5
182,Deshaun Watson,QB,HOU,1,66,66,100,11,0,59,59,10.1,15.3
183,Patrick Mahomes II,QB,KC,1,65,65,98,3,0,54,54,25.4,39.1
184,Joe Mixon,RB,CIN,1,39,39,43,54,5,59,59,7.3,18.7
185,Alvin Kamara,RB,NO,1,44,44,63,25,16,39,41,23.0,52.3
186,Jamaal Williams,RB,GB,1,21,21,27,29,10,38,38,5.2,24.8
187,Kareem Hunt,RB,CLE,1,34,34,57,6,12,18,18,4.1,12.1
188,JuJu Smith-Schuster,WR,PIT,1,53,53,79,0,8,4,8,2.2,4.2
189,Zay Jones,WR,OAK,1,33,33,52,0,9,9,9,1.4,4.2
190,Isaiah Ford,WR,MIA,1,38,38,41,0,16,13,16,6.8,17.9
191,Cooper Kupp,WR,LAR,1,43,43,61,0,9,9,9,9.1,21.2
192,Curtis Samuel,WR,CAR,1,53,53,76,4,9,8,13,2.1,4.0
193,Dede Westbrook,WR,JAC,1,43,43,69,0,9,5,9,0.5,1.2
194,Josh Reynolds,WR,LAR,1,29,29,41,0,10,7,10,3.2,11.0
195,Marlon Mack,RB,IND,1,31,31,48,52,6,58,58,16.1,51.9
196,James Conner,RB,PIT,1,9,9,13,67,0,67,67,3.2,35.6
197,Brian Hill,RB,ATL,1,14,14,18,50,0,50,50,6.6,47.1
198,Tarik Cohen,RB,CHI,1,34,34,54,6,12,15,18,3.3,9.7
199,Gerald Everett,TE,LAR,1,4,4,6,0,25,0,25,0.0,0.0
200,Jonnu Smith,TE,TEN,1,51,51,82,0,8,6,8,12.3,24.1
201,Jeremy Sprinkle,TE,WAS,1,46,46,66,0,7,4,7,1.4,3.0
202,Austin Ekeler,RB,LAC,1,33,33,54,12,18,27,30,6.9,20.9
203,Kenny Golladay,WR,DET,1,48,48,96,0,25,13,25,12.6,26.3
204,Mack Hollins,WR,MIA,1,5,5,5,0,0,0,0,0.0,0.0
205,Krishawn Hogan,WR,NO,1,7,7,10,0,14,14,14,0.4,5.7
206,George Kittle,TE,SF,1,55,55,96,0,15,9,15,13.9,25.3
207,Robert Tonyan,TE,GB,1,23,23,30,0,0,0,0,0.0,0.0
208,Jacob Hollister,TE,SEA,1,43,43,75,0,14,12,14,6.4,14.9
209,Cody Hollister,WR,TEN,1,3,3,5,0,0,0,0,0.0,0.0
210,Josh Malone,WR,NYJ,1,5,5,8,0,0,0,0,0.0,0.0
211,Cethan Carter,TE,CIN,1,19,19,21,0,0,0,0,0.0,0.0
212,Tim Patrick,WR,DEN,1,47,47,66,0,13,11,13,4.8,10.2
213,Mo Alie-Cox,TE,IND,1,35,35,55,0,3,3,3,2.1,6.0
214,Darrell Daniels,TE,ARI,1,23,23,33,0,4,0,4,0.0,0.0
215,Isaiah McKenzie,WR,BUF,1,31,31,56,0,6,6,6,1.1,3.5
216,Blake Jarwin,TE,DAL,1,19,19,30,0,5,5,5,1.4,7.4
217,Jamal Agnew,WR,DET,1,4,4,8,0,0,0,0,0.0,0.0
218,Aaron Jones,RB,GB,1,52,52,68,44,6,48,50,26.0,50.0
219,Eric Saubert,TE,CHI,1,18,18,29,0,11,6,11,1.1,6.1
220,Alex Armah Jr.,RB,CAR,1,4,4,6,0,0,0,0,0.0,0.0
221,Ricky Seals-Jones,TE,CLE,1,19,19,32,0,11,5,11,2.3,12.1
222,Johnny Mundt,TE,LAR,1,31,31,44,0,0,0,0,0.0,0.0
223,Chris Carson,RB,SEA,1,18,18,32,44,6,50,50,6.0,33.3
224,David Moore,WR,SEA,1,10,10,18,10,20,20,30,2.0,20.0
225,Anthony Firkser,TE,TEN,1,13,13,21,0,8,0,8,0.0,0.0
226,Keelan Cole Sr.,WR,JAC,1,25,25,40,4,8,8,12,2.9,11.6
227,Dare Ogunbowale,RB,TB,1,27,27,37,0,19,11,19,3.4,12.6
228,Andre Patton,WR,LAC,1,46,46,75,0,4,4,4,1.8,3.9
229,Zach Pascal,WR,IND,1,50,50,78,0,6,2,6,0.6,1.2
230,Kendrick Bourne,WR,SF,1,30,30,53,0,10,7,10,2.9,9.7
231,Cyril Grayson Jr.,WR,TB,1,3,3,4,0,0,0,0,0.0,0.0
232,Taysom Hill,QB,NO,1,25,25,36,8,8,24,24,4.0,16.0
233,Greg Ward,WR,PHI,1,51,51,70,2,10,10,12,7.6,14.9
234,Dan Arnold,TE,ARI,1,18,18,26,0,17,6,17,2.0,11.1
235,Patrick Ricard,RB,BAL,1,27,27,36,0,0,0,0,0.0,0.0
236,Fred Brown,WR,DEN,1,1,1,1,0,0,0,0,0.0,0.0
237,Brandon Zylstra,WR,CAR,1,17,17,24,0,6,6,6,0.3,1.8
238,Lamar Jackson,QB,BAL,1,73,73,99,23,0,66,66,29.8,40.8
239,Mason Rudolph,QB,PIT,1,33,33,49,6,0,67,67,9.2,27.9
240,Sam Darnold,QB,NYJ,1,61,61,100,7,0,49,49,9.6,15.7
241,Baker Mayfield,QB,CLE,1,60,60,100,3,0,58,58,15.1,25.2
