player,fg,fg_att,XPT,fantasy_points,team,position,week,year
Matthew Wright,1.3,1.6,2.0,6.0,JAC,K,5,2021
Ka'imi Fairbairn,1.3,1.5,1.5,5.4,HOU,K,5,2021
Ryan Succop,1.8,2.2,3.1,8.7,TB,K,6,2021
Matt Gay,1.8,2.1,2.8,8.2,LAR,K,6,2021
Mason Crosby,2.0,2.3,2.3,8.1,GB,K,6,2021
Justin Tucker,1.8,2.1,2.7,8.1,BAL,K,6,2021
Harrison Butker,1.6,1.8,3.2,8.1,KC,K,6,2021
Tyler Bass,1.6,2.0,3.1,8.0,BUF,K,6,2021
Greg Zuerlein,1.8,2.2,2.4,7.9,DAL,K,6,2021
Nick Folk,1.9,2.3,2.0,7.8,NE,K,6,2021
Chris Boswell,1.8,2.2,2.3,7.8,PIT,K,6,2021
Michael Badgley,1.7,2.3,2.6,7.7,IND,K,6,2021
Brandon McManus,1.7,2.0,2.5,7.7,DEN,K,6,2021
Evan McPherson,1.7,2.0,2.5,7.6,CIN,K,6,2021
Zane Gonzalez,1.7,2.1,2.3,7.5,CAR,K,6,2021
Randy Bullock,1.8,2.0,2.2,7.4,TEN,K,6,2021
Dustin Hopkins,1.6,2.0,2.6,7.4,LAC,K,6,2021
Greg Joseph,1.7,2.0,2.3,7.3,MIN,K,6,2021
Graham Gano,1.7,2.0,2.1,7.2,NYG,K,6,2021
Jason Sanders,1.6,1.9,2.2,7.2,MIA,K,6,2021
Daniel Carlson,1.8,2.1,1.9,7.1,LV,K,6,2021
Chase McLaughlin,1.6,1.8,2.4,7.0,CLE,K,6,2021
Jake Elliott,1.7,2.0,1.8,6.9,PHI,K,6,2021
Cairo Santos,1.7,1.9,1.9,6.9,CHI,K,6,2021
Jason Myers,1.6,1.8,2.1,6.8,SEA,K,6,2021
Matt Prater,1.4,1.7,2.5,6.7,ARI,K,6,2021
Austin Seibert,1.5,1.7,2.1,6.5,DET,K,6,2021
Matthew Wright,1.3,1.4,2.2,6.0,JAC,K,6,2021
Ka'imi Fairbairn,1.3,1.5,1.8,5.7,HOU,K,6,2021
Justin Tucker,2.0,2.4,2.8,9.0,BAL,K,7,2021
Matt Gay,1.9,2.2,3.3,9.0,LAR,K,7,2021
Mason Crosby,2.0,2.4,2.8,8.9,GB,K,7,2021
Matt Prater,1.7,2.0,3.6,8.7,ARI,K,7,2021
Randy Bullock,1.7,2.1,3.0,8.3,TEN,K,7,2021
Nick Folk,2.0,2.3,2.4,8.2,NE,K,7,2021
Ryan Succop,1.7,2.0,3.1,8.2,TB,K,7,2021
JJ Molson,1.7,2.1,3.0,8.2,GB,K,7,2021
Harrison Butker,1.6,1.8,3.3,8.1,KC,K,7,2021
Jason Sanders,1.8,2.1,2.3,7.6,MIA,K,7,2021
Daniel Carlson,1.7,2.0,2.4,7.5,LV,K,7,2021
Younghoe Koo,1.6,1.9,2.6,7.4,ATL,K,7,2021
Zane Gonzalez,1.7,2.0,2.2,7.3,CAR,K,7,2021
Wil Lutz,1.7,2.0,2.1,7.3,NO,K,7,2021
Joey Slye,1.6,1.9,2.3,7.0,WAS,K,7,2021
Graham Gano,1.6,1.9,2.1,7.0,NYG,K,7,2021
Brandon McManus,1.6,1.8,2.2,7.0,DEN,K,7,2021
Jake Elliott,1.6,1.9,2.0,6.9,PHI,K,7,2021
Jason Myers,1.6,1.9,2.0,6.9,SEA,K,7,2021
Chris Blewitt,1.6,2.0,1.9,6.9,CLE,K,7,2021
Chase McLaughlin,1.5,1.7,2.1,6.6,CLE,K,7,2021
Evan McPherson,1.4,1.7,2.2,6.5,CIN,K,7,2021
Michael Badgley,1.5,1.8,1.9,6.3,IND,K,7,2021
Cairo Santos,1.4,1.7,1.8,6.1,CHI,K,7,2021
Austin Seibert,1.4,1.6,1.7,6.0,DET,K,7,2021
Brian Johnson,1.3,1.5,2.1,5.9,WAS,K,7,2021
Ka'imi Fairbairn,1.5,1.8,1.5,5.9,HOU,K,7,2021
Matt Ammendola,1.4,1.6,1.5,5.6,NYJ,K,7,2021
Matt Gay,2.0,2.4,3.0,9.0,LAR,K,8,2021
Tyler Bass,1.8,2.1,3.3,8.5,BUF,K,8,2021
Ryan Succop,1.6,1.9,2.9,7.9,TB,K,8,2021
Greg Zuerlein,1.7,2.1,2.8,7.8,DAL,K,8,2021
Greg Joseph,1.8,2.1,2.3,7.7,MIN,K,8,2021
Randy Bullock,1.8,2.0,2.4,7.7,TEN,K,8,2021
Nick Folk,1.8,2.2,2.1,7.7,NE,K,8,2021
Joey Slye,1.8,2.1,2.1,7.6,WAS,K,8,2021
Matt Prater,1.6,1.9,2.8,7.6,ARI,K,8,2021
Evan McPherson,1.7,2.0,2.5,7.6,CIN,K,8,2021
Austin Seibert,1.8,2.0,2.1,7.6,DET,K,8,2021
Michael Badgley,1.6,2.0,2.6,7.5,IND,K,8,2021
Harrison Butker,1.6,1.8,2.7,7.5,KC,K,8,2021
Younghoe Koo,1.7,2.0,2.3,7.5,ATL,K,8,2021
Jason Sanders,1.8,2.1,2.2,7.4,MIA,K,8,2021
Chase McLaughlin,1.7,2.0,2.2,7.4,CLE,K,8,2021
Graham Gano,1.7,1.9,2.3,7.3,NYG,K,8,2021
Chris Boswell,1.6,1.9,2.4,7.2,PIT,K,8,2021
Zane Gonzalez,1.7,2.0,2.0,7.2,CAR,K,8,2021
Brandon McManus,1.6,1.8,2.3,7.0,DEN,K,8,2021
Chris Blewitt,1.7,2.1,1.8,7.0,CLE,K,8,2021
Brian Johnson,1.6,1.8,2.3,6.9,WAS,K,8,2021
Jake Elliott,1.6,1.9,2.0,6.9,PHI,K,8,2021
Jason Myers,1.4,1.5,2.6,6.9,SEA,K,8,2021
Mason Crosby,1.5,1.7,2.5,6.8,GB,K,8,2021
Cairo Santos,1.6,1.9,1.8,6.7,CHI,K,8,2021
Dustin Hopkins,1.4,1.6,2.4,6.7,LAC,K,8,2021
Ka'imi Fairbairn,1.6,1.9,1.7,6.5,HOU,K,8,2021
Matthew Wright,1.4,1.6,1.6,5.9,JAC,K,8,2021
Matt Ammendola,1.5,1.8,1.3,5.9,NYJ,K,8,2021
Tyler Bass,2.1,2.5,3.0,9.4,BUF,K,9,2021
Greg Zuerlein,1.9,2.5,2.9,8.7,DAL,K,9,2021
Justin Tucker,1.9,2.2,3.1,8.7,BAL,K,9,2021
Matt Gay,1.7,2.0,3.2,8.3,LAR,K,9,2021
Daniel Carlson,1.9,2.3,2.2,8.0,LV,K,9,2021
Chris Boswell,1.9,2.2,2.4,8.0,PIT,K,9,2021
Michael Badgley,1.8,2.2,2.5,7.8,IND,K,9,2021
Jason Sanders,1.8,2.2,2.3,7.8,MIA,K,9,2021
Robbie Gould,1.8,2.3,2.3,7.6,SF,K,9,2021
Graham Gano,1.8,2.1,2.1,7.5,NYG,K,9,2021
Evan McPherson,1.7,2.1,2.4,7.5,CIN,K,9,2021
Randy Bullock,1.8,2.0,2.2,7.5,TEN,K,9,2021
Harrison Butker,1.6,1.8,2.6,7.4,KC,K,9,2021
Nick Folk,1.7,2.0,2.2,7.4,NE,K,9,2021
Zane Gonzalez,1.8,2.0,2.0,7.2,CAR,K,9,2021
Mason Crosby,1.6,1.8,2.5,7.2,GB,K,9,2021
Dustin Hopkins,1.6,1.9,2.2,7.1,LAC,K,9,2021
Brandon McManus,1.7,2.0,2.0,7.1,DEN,K,9,2021
Jake Elliott,1.7,2.0,2.1,7.1,PHI,K,9,2021
Greg Joseph,1.7,1.9,2.2,7.1,MIN,K,9,2021
Younghoe Koo,1.7,2.0,2.0,7.1,ATL,K,9,2021
Chase McLaughlin,1.5,1.8,2.3,6.9,CLE,K,9,2021
Ka'imi Fairbairn,1.5,1.8,2.0,6.5,HOU,K,9,2021
