player,position,team,games,snaps,snaps_per_game,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,year
Matt Barkley,QB,BUF,2.0,78.0,39.0,55.0,3.0,0.0,68.0,68.0,9.0,11.5,2019
Zach Ertz,TE,PHI,15.0,932.0,62.0,85.0,0.0,14.0,9.0,14.0,127.6,13.7,2019
Tyler Eifert,TE,CIN,16.0,491.0,31.0,45.0,0.0,13.0,9.0,13.0,63.6,13.0,2019
Levine Toilolo,TE,SF,13.0,191.0,15.0,21.0,0.0,1.0,1.0,1.0,1.0,0.5,2019
Vance McDonald,TE,PIT,14.0,684.0,49.0,78.0,0.0,8.0,6.0,8.0,45.5,6.7,2019
Kyle Juszczyk,RB,SF,12.0,388.0,32.0,49.0,1.0,6.0,6.0,7.0,30.6,7.9,2019
Luke Willson,TE,SEA,8.0,243.0,30.0,44.0,0.0,4.0,3.0,4.0,7.9,3.3,2019
Latavius Murray,RB,NO,16.0,433.0,27.0,41.0,34.0,10.0,42.0,44.0,123.2,28.5,2019
Ryan Griffin,TE,NYJ,13.0,662.0,51.0,79.0,0.0,6.0,5.0,6.0,64.0,9.7,2019
Ryan Griffin,QB,TB,2.0,10.0,5.0,6.0,40.0,0.0,80.0,80.0,0.6,6.0,2019
Demetrius Harris,TE,CLE,15.0,548.0,37.0,55.0,0.0,5.0,3.0,5.0,34.9,6.4,2019
Zach Line,RB,NO,12.0,215.0,18.0,27.0,3.0,5.0,6.0,8.0,5.6,2.6,2019
James Develin,RB,NE,2.0,58.0,29.0,41.0,3.0,0.0,3.0,3.0,0.3,0.5,2019
Jack Doyle,TE,IND,16.0,798.0,50.0,74.0,0.0,9.0,5.0,9.0,68.8,8.6,2019
Patrick DiMarco,RB,BUF,16.0,167.0,10.0,16.0,2.0,4.0,5.0,6.0,4.8,2.9,2019
Teddy Bridgewater,QB,NO,9.0,400.0,44.0,65.0,7.0,0.0,56.0,56.0,92.5,23.1,2019
Blake Bortles,QB,LAR,3.0,11.0,4.0,5.0,18.0,0.0,36.0,36.0,-0.8,-7.3,2019
AJ McCarron,QB,HOU,2.0,69.0,35.0,55.0,7.0,0.0,61.0,61.0,17.9,25.9,2019
