Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Isaac Nauta,TE,DET,7,47,7,11,0,4,2,4,0.3,0.6
Jarrett Stidham,QB,NE,4,60,15,26,8,0,60,60,11.3,18.8
Trayveon Williams,RB,CIN,10,59,6,9,44,8,53,53,16.7,28.3
Benny Snell Jr.,RB,PIT,16,281,18,25,40,5,43,44,64.9,23.1
Irv Smith Jr.,TE,MIN,13,545,42,64,0,8,6,8,68.5,12.6
Preston Williams,WR,MIA,8,336,42,67,0,10,5,10,56.8,16.9
Caleb Wilson,TE,PHI,5,9,2,3,0,0,0,0,0.0,0.0
Jace Sternberger,TE,GB,12,202,17,25,0,7,6,7,17.4,8.6
Diontae Johnson,WR,PIT,15,733,49,71,0,20,12,20,133.8,18.3
Travis Homer,RB,SEA,9,138,15,23,18,7,25,25,23.8,17.2
KeeSean Johnson,WR,ARI,8,214,27,38,0,11,7,11,17.3,8.1
Darwin Thompson,RB,KC,13,80,6,9,34,14,43,48,26.2,32.8
Alexander Mattison,RB,MIN,13,229,18,27,42,7,48,48,73.9,32.3
Stanley Morgan Jr.,WR,CIN,6,18,3,5,0,0,0,0,0.0,0.0
Chase Claypool,WR,PIT,16,692,43,63,1,16,10,17,152.9,22.1
Devine Ozigbo,RB,JAC,8,27,3,5,4,33,37,37,4.3,15.9
Dawson Knox,TE,BUF,12,489,41,58,0,9,5,9,42.8,8.8
Tyler Johnson,WR,TB,14,264,19,28,0,6,5,6,28.9,10.9
Bryan Edwards,WR,LV,12,260,22,32,0,6,4,6,25.3,9.7
Justin Herbert,QB,LAC,15,"1,097",73,99,5,0,59,59,342.8,31.2
Miles Boykin,WR,BAL,16,546,34,53,0,6,3,6,50.6,9.3
Ashton Dulin,WR,IND,13,105,8,12,2,6,5,8,6.4,6.1
Jakob Johnson,RB,NE,15,350,23,37,0,3,2,3,9.5,2.7
Kahale Warring,TE,HOU,7,52,7,12,0,13,6,13,3.5,6.7
Chandler Cox,RB,MIA,8,108,14,21,0,2,2,2,0.9,0.8
Zach Gentry,TE,PIT,2,20,10,14,0,0,0,0,0.0,0.0
Cullen Gillaspia,RB,HOU,7,7,1,2,0,14,14,14,0.6,8.6
Juwann Winfree,WR,GB,2,8,4,6,0,0,0,0,0.0,0.0
Tony Pollard,RB,DAL,16,364,23,32,28,11,35,39,92.8,25.5
Darius Slayton,WR,NYG,16,877,55,86,0,11,6,11,91.0,10.4
Bisi Johnson,WR,MIN,16,241,15,22,0,8,6,8,20.9,8.7
Scotty Miller,WR,TB,16,440,28,41,1,12,8,13,69.5,15.8
Trenton Irwin,WR,CIN,1,5,5,7,0,40,20,40,0.5,10.0
Andrew Beck,TE,DEN,10,67,7,10,0,0,0,0,0.0,0.0
David Blough,QB,DET,1,15,15,28,7,0,73,73,2.8,18.7
Stephen Carlson,TE,CLE,16,91,6,9,0,2,1,2,3.1,3.4
Penny Hart,WR,SEA,13,62,5,7,2,2,3,3,2.2,3.5
Jeff Smith,WR,NYJ,12,317,26,43,0,12,5,12,16.7,5.3
