player,team,position,games,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,total_receiving_tgt,receiving_tgt_per_game,total_receiving_tgt_rank,receiving_tgt_per_game_rank
Chase Claypool,PIT,WR,15,5.0,9.0,15.0,0.0,6.0,7.0,0.0,5.0,5.0,0.0,9.0,8.0,3.0,9.0,2.0,6.0,9.0,7.0,105.0,7.0,35.5,43.5
Amari Cooper,DAL,WR,15,17.0,5.0,4.0,3.0,6.0,8.0,0.0,13.0,5.0,4.0,0.0,0.0,2.0,7.0,5.0,11.0,7.0,7.0,104.0,6.933333333333334,38.0,46.0
Michael Gallup,DAL,WR,9,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,8.0,9.0,9.0,5.0,5.0,4.0,0.0,62.0,6.888888888888889,101.5,47.0
George Kittle,SF,TE,14,5.0,4.0,9.0,10.0,0.0,0.0,0.0,0.0,8.0,7.0,4.0,2.0,12.0,15.0,6.0,3.0,2.0,7.0,94.0,6.714285714285714,46.0,48.0
Tyler Lockett,SEA,WR,16,5.0,11.0,4.0,5.0,10.0,7.0,3.0,13.0,0.0,8.0,5.0,5.0,8.0,9.0,0.0,6.0,3.0,5.0,107.0,6.6875,34.0,49.0
Zach Ertz,ARI,TE,17,2.0,2.0,7.0,8.0,6.0,6.0,5.0,4.0,5.0,6.0,9.0,0.0,2.0,7.0,11.0,13.0,9.0,10.0,112.0,6.588235294117647,29.0,50.5
Mike Gesicki,MIA,TE,17,3.0,6.0,12.0,6.0,7.0,9.0,8.0,4.0,8.0,7.0,6.0,3.0,11.0,0.0,8.0,4.0,7.0,3.0,112.0,6.588235294117647,29.0,50.5
Corey Davis,NYJ,WR,9,7.0,5.0,10.0,7.0,7.0,0.0,6.0,0.0,0.0,7.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,59.0,6.555555555555555,110.0,52.0
Robby Anderson,CAR,WR,17,3.0,6.0,2.0,11.0,7.0,11.0,9.0,1.0,3.0,6.0,6.0,4.0,0.0,12.0,8.0,10.0,2.0,9.0,110.0,6.470588235294118,32.0,53.5
Kyle Pitts,ATL,TE,17,8.0,6.0,3.0,9.0,10.0,0.0,8.0,6.0,7.0,7.0,5.0,6.0,7.0,6.0,7.0,6.0,4.0,5.0,110.0,6.470588235294118,32.0,53.5
DeAndre Hopkins,ARI,WR,10,8.0,4.0,6.0,7.0,9.0,4.0,9.0,2.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,64.0,6.4,93.5,55.0
Kadarius Toney,NYG,WR,9,2.0,0.0,3.0,9.0,13.0,3.0,0.0,5.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,57.0,6.333333333333333,118.0,56.0
Laviska Shenault Jr.,JAC,WR,16,10.0,7.0,4.0,7.0,3.0,10.0,0.0,4.0,4.0,8.0,5.0,9.0,5.0,7.0,7.0,0.0,3.0,7.0,100.0,6.25,41.0,57.0
DeVonta Smith,PHI,WR,17,8.0,7.0,6.0,10.0,9.0,4.0,9.0,3.0,6.0,6.0,6.0,4.0,4.0,0.0,5.0,7.0,6.0,4.0,104.0,6.117647058823529,38.0,58.5
