player,team,games,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,total_receiving_tgt,receiving_tgt_per_game,total_receiving_tgt_rank,receiving_tgt_per_game_rank
Justin Jackson,LAC,13,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,9.0,3.0,1.0,24.0,1.8461538461538463,53.5,64.0
Elijah Mitchell,SF,11,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,2.0,0.0,20.0,1.8181818181818181,61.0,65.0
Ty Montgomery,NO,14,1.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,2.0,0.0,0.0,2.0,25.0,1.7857142857142858,51.5,66.0
Royce Freeman,HOU,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,10.0,1.6666666666666667,82.0,67.5
Carlos Hyde,JAC,12,2.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,20.0,1.6666666666666667,61.0,67.5
Nick Chubb,CLE,14,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,0.0,4.0,1.0,4.0,1.0,1.0,23.0,1.6428571428571428,55.0,69.0
Craig Reynolds,DET,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,8.0,1.6,89.5,70.5
Boston Scott,PHI,10,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,1.6,71.5,70.5
DeeJay Dallas,SEA,14,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,4.0,4.0,0.0,0.0,22.0,1.5714285714285714,56.0,72.0
Scottie Phillips,HOU,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,120.5,74.0
Demetric Felton,CLE,14,0.0,2.0,3.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,21.0,1.5,57.5,74.0
Damien Williams,CHI,12,5.0,3.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,18.0,1.5,65.0,74.0
