player,team,games,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,total_receiving_tgt,receiving_tgt_per_game,total_receiving_tgt_rank,receiving_tgt_per_game_rank
Van Jefferson,LAR,17,3.0,3.0,6.0,6.0,4.0,4.0,7.0,6.0,7.0,7.0,0.0,9.0,8.0,3.0,2.0,6.0,5.0,3.0,86.0,5.0588235294117645,39.5,58.0
Kenny Golladay,NYG,14,6.0,8.0,5.0,7.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,7.0,5.0,8.0,8.0,8.0,1.0,5.0,70.0,5.0,50.0,59.5
Tre'Quan Smith,NO,10,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,7.0,8.0,5.0,7.0,3.0,3.0,0.0,0.0,7.0,50.0,5.0,85.0,59.5
Brandon Aiyuk,SF,17,0.0,2.0,6.0,3.0,4.0,0.0,1.0,7.0,8.0,4.0,7.0,6.0,6.0,10.0,2.0,5.0,6.0,7.0,84.0,4.9411764705882355,42.0,61.0
Jerry Jeudy,DEN,10,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,9.0,0.0,3.0,6.0,6.0,4.0,4.0,0.0,5.0,49.0,4.9,86.0,62.0
Marquez Callaway,NO,17,2.0,4.0,5.0,2.0,8.0,0.0,7.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,9.0,5.0,10.0,1.0,82.0,4.823529411764706,43.5,63.0
Mecole Hardman,KC,17,3.0,8.0,4.0,3.0,12.0,5.0,5.0,7.0,6.0,3.0,3.0,0.0,1.0,2.0,4.0,5.0,1.0,11.0,80.0,4.705882352941177,46.0,64.0
Allen Robinson II,CHI,12,11.0,4.0,6.0,3.0,5.0,7.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,4.0,55.0,4.583333333333333,74.5,65.0
Emmanuel Sanders,BUF,14,8.0,6.0,6.0,6.0,5.0,8.0,0.0,4.0,8.0,2.0,5.0,3.0,6.0,1.0,0.0,4.0,0.0,0.0,64.0,4.571428571428571,58.5,66.0
Zay Jones,LV,15,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0,3.0,2.0,7.0,5.0,7.0,9.0,8.0,10.0,8.0,68.0,4.533333333333333,51.5,67.0
Deonte Harty,NO,13,2.0,2.0,3.0,8.0,1.0,0.0,0.0,7.0,8.0,4.0,5.0,5.0,8.0,0.0,0.0,0.0,2.0,4.0,57.0,4.384615384615385,68.5,68.0
K.J. Osborn,MIN,17,9.0,6.0,2.0,7.0,4.0,7.0,0.0,3.0,2.0,1.0,4.0,2.0,7.0,9.0,3.0,7.0,5.0,4.0,73.0,4.294117647058823,47.5,69.0
Marquez Valdes-Scantling,GB,11,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,9.0,0.0,5.0,7.0,0.0,3.0,1.0,47.0,4.2727272727272725,89.5,70.0
Laquon Treadwell,JAC,12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,8.0,5.0,6.0,9.0,5.0,6.0,5.0,51.0,4.25,82.5,71.0
Rondale Moore,ARI,14,5.0,8.0,2.0,3.0,6.0,4.0,3.0,4.0,5.0,4.0,11.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,59.0,4.214285714285714,61.5,72.0
Julio Jones,TEN,10,6.0,8.0,4.0,0.0,0.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,9.0,42.0,4.2,96.5,73.0
Kalif Raymond,DET,16,4.0,2.0,10.0,6.0,2.0,7.0,8.0,1.0,0.0,6.0,1.0,4.0,2.0,5.0,3.0,5.0,0.0,5.0,67.0,4.1875,53.5,74.0
Cedrick Wilson Jr.,DAL,14,3.0,2.0,4.0,2.0,1.0,7.0,0.0,3.0,5.0,0.0,7.0,10.0,0.0,2.0,0.0,3.0,6.0,6.0,58.0,4.142857142857143,64.5,75.0
Ray-Ray McCloud,PIT,16,0.0,0.0,4.0,1.0,2.0,2.0,0.0,0.0,1.0,12.0,2.0,0.0,4.0,8.0,3.0,8.0,10.0,9.0,66.0,4.125,55.5,76.5
Danny Amendola,HOU,8,5.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,7.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,33.0,4.125,113.0,76.5
Donovan Peoples-Jones,CLE,14,1.0,1.0,2.0,0.0,6.0,5.0,0.0,0.0,3.0,5.0,0.0,5.0,0.0,7.0,8.0,6.0,5.0,4.0,57.0,4.071428571428571,68.5,78.5
