rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,year,team
71.0,Cole Beasley,36.0,63.0,314.0,8.7,54.0,2.0,4.0,0.0,0.0,0.0,0.0,15.0,55.4,3.7,63.2,WR,2017,team
72.0,Cordarrelle Patterson,31.0,42.0,309.0,10.0,59.0,3.0,0.0,13.0,121.0,2.0,0.0,16.0,55.0,3.4,95.1,WR,2017,team
73.0,Torrey Smith,36.0,68.0,430.0,11.9,59.0,6.0,2.0,1.0,-3.0,0.0,0.0,16.0,54.7,3.4,0.0,WR,2017,team
74.0,Roger Lewis,36.0,72.0,416.0,11.6,34.0,6.0,2.0,0.0,0.0,0.0,0.0,15.0,53.6,3.6,0.0,WR,2017,team
75.0,Trent Taylor,43.0,60.0,430.0,10.0,33.0,2.0,2.0,0.0,0.0,0.0,1.0,15.0,53.0,3.5,0.0,WR,2017,team
77.0,Donte Moncrief,26.0,47.0,391.0,15.0,60.0,5.0,2.0,0.0,0.0,0.0,0.0,12.0,51.1,4.3,0.0,WR,2017,team
78.0,Brandon Coleman,23.0,37.0,364.0,15.8,54.0,8.0,3.0,0.0,0.0,0.0,2.0,16.0,50.8,3.2,0.0,WR,2017,team
79.0,Pierre Garcon,40.0,67.0,500.0,12.5,59.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,50.0,6.3,0.0,WR,2017,team
80.0,Brice Butler,15.0,23.0,317.0,21.1,53.0,7.0,3.0,0.0,0.0,0.0,0.0,13.0,49.7,3.8,0.0,WR,2017,team
82.0,John Brown,21.0,55.0,299.0,14.2,52.0,2.0,3.0,1.0,10.0,0.0,0.0,10.0,48.9,4.9,1.3,WR,2017,team
83.0,Taylor Gabriel,33.0,51.0,378.0,11.5,40.0,4.0,1.0,8.0,49.0,0.0,0.0,16.0,48.7,3.0,0.1,WR,2017,team
85.0,Chris Moore,18.0,38.0,248.0,13.8,30.0,5.0,3.0,2.0,-9.0,0.0,0.0,13.0,47.9,3.7,0.1,WR,2017,team
86.0,Seth Roberts,43.0,65.0,455.0,10.6,29.0,6.0,1.0,0.0,0.0,0.0,2.0,15.0,47.5,3.2,0.0,WR,2017,team
87.0,Bruce Ellington,29.0,57.0,330.0,11.4,35.0,6.0,2.0,3.0,17.0,0.0,0.0,11.0,46.7,4.2,0.0,WR,2017,team
88.0,Josh Bellamy,24.0,46.0,376.0,15.7,46.0,4.0,1.0,1.0,6.0,0.0,0.0,15.0,44.2,2.9,0.0,WR,2017,team
89.0,Zay Jones,27.0,74.0,316.0,11.7,33.0,3.0,2.0,0.0,0.0,0.0,0.0,15.0,43.6,2.9,6.0,WR,2017,team
90.0,Cody Latimer,19.0,31.0,287.0,15.1,32.0,6.0,2.0,0.0,0.0,0.0,0.0,11.0,42.7,3.9,0.0,WR,2017,team
91.0,Corey Coleman,23.0,58.0,305.0,13.3,44.0,4.0,2.0,0.0,0.0,0.0,0.0,9.0,42.5,4.7,0.0,WR,2017,team
92.0,Tavarres King,18.0,37.0,240.0,13.3,57.0,2.0,3.0,2.0,3.0,0.0,0.0,8.0,42.3,5.3,0.0,WR,2017,team
93.0,Rashard Higgins,27.0,50.0,312.0,11.6,56.0,4.0,2.0,1.0,4.0,0.0,1.0,15.0,41.6,2.8,0.7,WR,2017,team
94.0,Dontrelle Inman,25.0,44.0,343.0,13.7,26.0,4.0,1.0,0.0,0.0,0.0,0.0,12.0,40.3,3.4,0.0,WR,2017,team
95.0,Justin Hardy,20.0,29.0,221.0,11.1,27.0,3.0,3.0,0.0,0.0,0.0,0.0,16.0,40.1,2.5,0.0,WR,2017,team
96.0,Dede Westbrook,27.0,51.0,339.0,12.6,29.0,6.0,1.0,0.0,0.0,0.0,0.0,7.0,39.9,5.7,0.1,WR,2017,team
97.0,Josh Gordon,18.0,42.0,335.0,18.6,54.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,39.5,7.9,1.8,WR,2017,team
98.0,Aldrick Robinson,19.0,48.0,260.0,13.7,45.0,3.0,2.0,0.0,0.0,0.0,0.0,16.0,38.0,2.4,0.0,WR,2017,team
99.0,Kenny Britt,20.0,43.0,256.0,12.8,38.0,3.0,2.0,0.0,0.0,0.0,0.0,12.0,37.6,3.1,0.0,WR,2017,team
100.0,Johnny Holton,9.0,18.0,218.0,24.2,64.0,3.0,3.0,0.0,0.0,0.0,2.0,16.0,35.8,2.2,0.0,WR,2017,team
101.0,Ricardo Louis,27.0,61.0,357.0,13.2,37.0,7.0,0.0,0.0,0.0,0.0,0.0,16.0,35.7,2.2,0.0,WR,2017,team
102.0,Corey Davis,34.0,65.0,375.0,11.0,37.0,4.0,0.0,0.0,0.0,0.0,1.0,11.0,35.5,3.2,29.9,WR,2017,team
103.0,Chester Rogers,23.0,37.0,284.0,12.3,61.0,2.0,1.0,3.0,8.0,0.0,0.0,11.0,35.2,3.2,0.6,WR,2017,team
104.0,Tyler Boyd,22.0,32.0,225.0,10.2,49.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,34.5,3.5,71.3,WR,2017,team
105.0,Taywan Taylor,16.0,28.0,231.0,14.4,53.0,4.0,1.0,8.0,43.0,0.0,0.0,16.0,33.4,2.1,0.0,WR,2017,team
106.0,Jordan Matthews,25.0,36.0,282.0,11.3,47.0,3.0,1.0,0.0,0.0,0.0,1.0,10.0,32.2,3.2,0.0,WR,2017,team
107.0,Jarius Wright,18.0,25.0,198.0,11.0,30.0,3.0,2.0,0.0,0.0,0.0,0.0,16.0,31.8,2.0,0.0,WR,2017,team
109.0,Andre Holmes,13.0,23.0,120.0,9.2,36.0,1.0,3.0,0.0,0.0,0.0,0.0,14.0,30.0,2.1,0.0,WR,2017,team
111.0,Tavon Austin,13.0,22.0,47.0,3.6,13.0,0.0,0.0,59.0,270.0,1.0,4.0,16.0,29.7,1.9,0.1,WR,2017,team
112.0,Mack Hollins,16.0,22.0,226.0,14.1,64.0,3.0,1.0,0.0,0.0,0.0,0.0,16.0,28.6,1.8,0.2,WR,2017,team
113.0,Russell Shepard,17.0,32.0,202.0,11.9,40.0,1.0,1.0,2.0,19.0,0.0,0.0,15.0,28.1,1.9,0.0,WR,2017,team
114.0,Michael Campanaro,19.0,27.0,173.0,9.1,18.0,0.0,1.0,5.0,42.0,0.0,0.0,13.0,27.5,2.1,0.0,WR,2017,team
115.0,De'Anthony Thomas,14.0,16.0,143.0,10.2,57.0,2.0,2.0,1.0,4.0,0.0,0.0,16.0,26.7,1.7,0.0,WR,2017,team
116.0,Kendrick Bourne,16.0,34.0,257.0,16.1,54.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,25.7,2.3,23.7,WR,2017,team
117.0,Damiere Byrd,10.0,17.0,105.0,10.5,31.0,2.0,2.0,1.0,12.0,0.0,0.0,8.0,23.7,3.0,0.1,WR,2017,team
118.0,Jeremy Kerley,22.0,27.0,217.0,9.9,31.0,2.0,1.0,0.0,0.0,0.0,2.0,8.0,23.7,3.0,0.0,WR,2017,team
119.0,Alex Erickson,12.0,16.0,180.0,15.0,37.0,3.0,1.0,5.0,16.0,0.0,1.0,16.0,23.6,1.5,0.0,WR,2017,team
120.0,Geronimo Allison,23.0,39.0,253.0,11.0,72.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0,23.3,1.6,0.0,WR,2017,team
121.0,Braxton Miller,19.0,29.0,162.0,8.5,57.0,1.0,1.0,1.0,1.0,0.0,0.0,11.0,22.3,2.0,0.0,WR,2017,team
122.0,Demarcus Robinson,21.0,39.0,212.0,10.1,33.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,21.2,1.3,0.8,WR,2017,team
124.0,Laquon Treadwell,20.0,35.0,200.0,10.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,1.3,2.5,WR,2017,team
125.0,Eli Rogers,18.0,36.0,149.0,8.3,18.0,0.0,1.0,0.0,0.0,0.0,1.0,14.0,18.9,1.4,0.0,WR,2017,team
126.0,Louis Murphy,8.0,17.0,121.0,15.1,40.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,18.1,2.6,0.0,WR,2017,team
127.0,Curtis Samuel,15.0,26.0,115.0,7.7,23.0,2.0,0.0,4.0,64.0,0.0,0.0,9.0,17.9,2.0,15.7,WR,2017,team
128.0,Chris Conley,11.0,16.0,175.0,15.9,35.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,17.5,3.5,0.4,WR,2017,team
129.0,Tommylee Lewis,10.0,15.0,116.0,11.6,52.0,2.0,1.0,2.0,14.0,0.0,1.0,15.0,17.0,1.1,0.0,WR,2017,team
130.0,Josh Reynolds,11.0,24.0,104.0,9.5,28.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,16.4,1.0,6.9,WR,2017,team
131.0,Jaydon Mickens,6.0,11.0,77.0,12.8,41.0,1.0,2.0,0.0,0.0,0.0,2.0,10.0,15.7,1.6,0.0,WR,2017,team
132.0,Brandon Marshall,18.0,33.0,154.0,8.6,18.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.4,3.1,2.6,WR,2017,team
134.0,Jordan Taylor,13.0,20.0,142.0,10.9,30.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,14.2,1.4,0.0,WR,2017,team
135.0,Brandon Tate,6.0,14.0,81.0,13.5,24.0,2.0,1.0,0.0,0.0,0.0,0.0,13.0,14.1,1.1,0.0,WR,2017,team
136.0,Darrius Heyward-Bey,2.0,3.0,47.0,23.5,44.0,1.0,0.0,2.0,32.0,1.0,0.0,16.0,13.9,0.9,0.0,WR,2017,team
137.0,Kamar Aiken,15.0,44.0,133.0,8.9,21.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,13.3,0.9,0.0,WR,2017,team
138.0,Brenton Bersin,8.0,14.0,128.0,16.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,12.8,1.6,0.0,WR,2017,team
139.0,Josh Malone,6.0,17.0,63.0,10.5,25.0,1.0,1.0,2.0,2.0,0.0,0.0,11.0,12.5,1.1,0.0,WR,2017,team
140.0,Maurice Harris,4.0,6.0,62.0,15.5,36.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,12.2,2.0,0.0,WR,2017,team
141.0,Marvin Hall,2.0,9.0,60.0,30.0,40.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,12.0,1.5,0.0,WR,2017,team
142.0,Hunter Sharp,5.0,9.0,54.0,10.8,21.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,11.4,3.8,0.0,WR,2017,team
143.0,ArDarius Stewart,6.0,13.0,82.0,13.7,46.0,2.0,0.0,7.0,27.0,0.0,0.0,15.0,10.9,0.7,0.0,WR,2017,team
144.0,Travis Rudolph,8.0,21.0,101.0,12.6,29.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,10.1,1.4,0.0,WR,2017,team
145.0,Jaelen Strong,3.0,4.0,38.0,12.7,19.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.8,4.9,0.0,WR,2017,team
146.0,Freddie Martino,5.0,6.0,96.0,19.2,39.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,9.6,1.2,0.1,WR,2017,team
147.0,Mike Williams,11.0,23.0,95.0,8.6,20.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,9.5,1.0,91.9,WR,2017,team
148.0,Chad Hansen,9.0,17.0,94.0,10.4,24.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,9.4,0.6,0.0,WR,2017,team
149.0,Mike Thomas,5.0,7.0,93.0,18.6,50.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,9.3,1.2,0.1,WR,2017,team
150.0,Kaelin Clay,6.0,20.0,85.0,14.2,28.0,1.0,0.0,3.0,27.0,0.0,1.0,13.0,9.2,0.7,0.0,WR,2017,team
151.0,Bobo Wilson,1.0,1.0,18.0,18.0,18.0,0.0,1.0,3.0,8.0,0.0,0.0,3.0,8.6,2.9,0.1,WR,2017,team
152.0,Chris Thompson,5.0,6.0,84.0,16.8,32.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,8.4,0.6,0.0,WR,2017,team
153.0,Kasen Williams,9.0,18.0,84.0,9.3,14.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.4,1.2,0.0,WR,2017,team
154.0,Trevor Davis,5.0,7.0,70.0,14.0,29.0,2.0,0.0,2.0,13.0,0.0,0.0,16.0,8.3,0.5,0.0,WR,2017,team
155.0,Justin Hunter,4.0,10.0,23.0,5.8,7.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,8.3,1.2,0.0,WR,2017,team
156.0,Michael Floyd,10.0,17.0,78.0,7.8,19.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.8,0.7,0.0,WR,2017,team
157.0,Breshad Perriman,10.0,35.0,77.0,7.7,14.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.7,0.7,2.5,WR,2017,team
158.0,Brian Quick,6.0,8.0,76.0,12.7,31.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,7.6,0.7,0.0,WR,2017,team
159.0,Tanner McEvoy,5.0,9.0,113.0,22.6,53.0,2.0,0.0,0.0,0.0,0.0,1.0,15.0,7.3,0.5,0.0,WR,2017,team
161.0,Amara Darboh,8.0,13.0,71.0,8.9,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7.1,0.4,0.0,WR,2017,team
162.0,Brittan Golden,5.0,9.0,70.0,14.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,0.5,0.0,WR,2017,team
163.0,Pharoh Cooper,11.0,19.0,84.0,7.6,26.0,1.0,0.0,1.0,6.0,0.0,1.0,16.0,7.0,0.4,0.1,WR,2017,team
164.0,Sammie Coates,6.0,11.0,70.0,11.7,38.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,0.6,0.0,WR,2017,team
165.0,Leonte Carroo,7.0,14.0,69.0,9.9,21.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,6.9,0.5,0.0,WR,2017,team
166.0,Bryce Treggs,5.0,18.0,79.0,15.8,20.0,1.0,0.0,1.0,6.0,0.0,1.0,6.0,6.5,1.1,0.0,WR,2017,team
167.0,Chad Williams,3.0,7.0,31.0,10.3,15.0,0.0,0.0,2.0,33.0,0.0,0.0,6.0,6.4,1.1,0.0,WR,2017,team
169.0,Markus Wheaton,3.0,17.0,51.0,17.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,4.6,0.4,0.0,WR,2017,team
170.0,Jared Abbrederis,3.0,7.0,44.0,14.7,25.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,4.4,0.6,0.0,WR,2017,team
171.0,Michael Clark,4.0,14.0,41.0,10.3,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.1,2.1,0.0,WR,2017,team
172.0,Quan Bray,3.0,4.0,39.0,13.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,3.9,0.4,0.0,WR,2017,team
173.0,Bernard Reedy,2.0,2.0,21.0,10.5,15.0,0.0,0.0,3.0,17.0,0.0,0.0,11.0,3.8,0.3,0.0,WR,2017,team
174.0,Tanner Gentry,3.0,6.0,35.0,11.7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.5,0.9,0.0,WR,2017,team
175.0,Noah Brown,4.0,9.0,33.0,8.3,14.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.3,0.3,0.1,WR,2017,team
177.0,Nick Williams,3.0,4.0,30.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,WR,2017,team
178.0,Ryan Switzer,6.0,7.0,41.0,6.8,12.0,0.0,0.0,4.0,5.0,0.0,1.0,16.0,2.6,0.2,0.0,WR,2017,team
179.0,Jordan Leslie,1.0,1.0,26.0,26.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.6,1.3,0.0,WR,2017,team
180.0,Marcus Johnson,5.0,8.0,45.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.5,0.3,0.6,WR,2017,team
181.0,Chris Matthews,3.0,6.0,25.0,8.3,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.5,0.4,0.0,WR,2017,team
182.0,DeAndrew White,1.0,7.0,24.0,24.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.4,1.2,0.0,WR,2017,team
183.0,Jehu Chesson,2.0,4.0,18.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.8,0.2,0.0,WR,2017,team
185.0,Darius Powe,2.0,4.0,13.0,6.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,1.3,0.0,WR,2017,team
186.0,Jeff Janis,2.0,5.0,12.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.2,0.1,0.0,WR,2017,team
187.0,Arrelious Benn,1.0,2.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.2,0.1,0.0,WR,2017,team
188.0,Shelton Gibson,2.0,3.0,11.0,5.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.1,0.2,0.0,WR,2017,team
