Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
100,Geoff Swaim(TEN),2,2,25,12.5,18,0,0,0,0,0,0,15,2.5,0.2,0.3%
101,Antony Auclair(HOU),2,2,25,12.5,14,0,0,0,0,0,0,8,2.5,0.3,0.0%
102,MarQueis Gray(FA),1,3,10,10.0,10,0,0,5,14,0,0,16,2.4,0.2,0.0%
103,Chris Manhertz(JAC),2,4,17,8.5,11,0,0,0,0,0,0,16,1.7,0.1,0.0%
104,Ryan Hewitt(FA),2,2,22,11.0,16,0,0,0,0,0,0,13,1.6,0.1,0.0%
105,Cole Hikutini(FA),2,3,15,7.5,10,0,0,0,0,0,0,4,1.5,0.4,0.0%
106,Garrett Griffin(NO),1,1,4,4.0,4,0,0,0,0,0,0,3,0.4,0.1,0.0%
107,Ryan Malleck(FA),1,1,3,3.0,3,0,0,0,0,0,0,2,0.3,0.2,0.0%
108,Jeff Cumberland(FA),2,3,2,1.0,2,0,0,0,0,0,0,7,0.2,0.0,0.0%
109,Charlie Taumoepeau(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
110,Noah Togiai(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
111,Charlie Woerner(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
112,Noah Gray(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
113,Luke Farrell(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
114,Mitchell Wilcox(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
115,Juwan Johnson(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9%
116,Dalton Keene(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
117,Tyler Mabry(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
118,Thaddeus Moss(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
119,Kyle Markway(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
120,Stephen Sullivan(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
121,Ben Ellefson(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
122,Kyle Pitts(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.4%
123,Pat Freiermuth(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.7%
124,Tommy Hudson(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
125,Rysen John(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
126,Nakia Griffin-Stewart(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
127,Brevin Jordan(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4%
128,Eli Wolf(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
129,Jake Bargas(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
130,Nick Bowers(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
131,Farrod Green(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
132,Ryan Becker(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
133,Sean McKeon(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
134,Giovanni Ricci(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
135,Tyler Davis(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
136,Reggie Gilliam(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
137,Rashod Berry(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
138,Scotty Washington(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
