rank,player,rushing_att,rushing_yds,rushing_ya,rushing_lg,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_yr,receiving_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,year,position
66,D'Onta Foreman,78,327,4.2,39,3,2,6,8,83,13.8,0,1,10,51.0,5.1,66.5,TEN,2017,RB
67,DeAndre Washington,57,153,2.7,11,0,2,34,45,197,5.8,1,1,15,51.0,3.4,11.0,FA,2017,RB
68,Andre Ellington,20,55,2.8,14,0,1,39,59,369,9.5,0,0,12,48.4,4.0,0.1,FA,2017,RB
69,Charcandrick West,18,72,4.0,21,1,2,27,34,150,5.6,2,0,13,46.2,3.6,0.0,FA,2017,RB
70,Jamaal Charles,69,296,4.3,19,0,1,23,28,129,5.6,0,2,14,44.5,3.2,0.1,FA,2017,RB
71,Shane Vereen,45,164,3.6,17,0,0,44,53,253,5.8,0,0,16,39.7,2.5,0.0,FA,2017,RB
72,Damien Williams,46,181,3.9,69,1,0,20,28,155,7.8,1,0,11,39.6,3.6,4.4,CHI,2017,RB
73,Robert Kelley,62,194,3.1,21,1,3,4,7,18,4.5,0,0,7,39.2,5.6,0.0,FA,2017,RB
74,Corey Grant,30,248,8.3,58,3,2,3,4,41,13.7,0,1,16,38.9,2.4,0.0,FA,2017,RB
75,Charles Sims,21,95,4.5,21,1,0,35,47,249,7.1,1,1,16,38.4,2.4,0.0,FA,2017,RB
76,Jacquizz Rodgers,64,244,3.8,36,1,1,9,11,74,8.2,0,0,16,37.8,2.4,0.0,FA,2017,RB
77,Alfred Blue,71,262,3.7,48,1,1,7,9,54,7.7,0,0,11,37.6,3.4,0.0,FA,2017,RB
78,Mike Davis,68,240,3.5,33,3,0,15,18,131,8.7,0,0,6,37.1,6.2,49.7,ATL,2017,RB
79,Benny Cunningham Jr.,9,29,3.2,12,0,0,20,26,240,12.0,2,1,14,36.9,2.6,0.0,FA,2017,RB
80,Kyle Juszczyk,7,31,4.4,12,0,0,33,42,315,9.5,1,2,14,36.6,2.6,1.0,SF,2017,RB
81,Mike Tolbert,66,247,3.7,25,1,1,14,17,78,5.6,0,1,12,36.5,3.0,0.0,FA,2017,RB
82,Malcolm Brown,63,246,3.9,20,1,1,9,11,53,5.9,0,0,11,35.9,3.3,3.6,MIA,2017,RB
83,Wendell Smallwood,47,174,3.7,26,2,1,13,18,103,7.9,0,0,8,33.7,4.2,0.0,FA,2017,RB
84,Chris Carson,49,208,4.2,30,1,0,7,8,59,8.4,1,0,4,32.7,8.2,31.7,SEA,2017,RB
