,Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
28,29,Matt Ryan(ATL),13,23,56.5,197,8.6,0,0,5,2,7,0,1,1,6.6,6.6,36.3%
29,30,Tua Tagovailoa(MIA),18,38,47.4,205,5.4,0,1,4,2,1,0,1,1,5.3,5.3,44.2%
30,31,Sam Darnold(CAR),17,26,65.4,132,5.1,0,1,7,2,7,0,1,1,3.0,3.0,5.5%
31,32,Brian Hoyer(NE),3,4,75.0,63,15.8,0,0,0,2,1,0,0,1,2.6,2.6,0.0%
32,33,Jordan Love(GB),2,4,50.0,19,4.8,0,0,0,2,9,0,0,1,1.7,1.7,1.3%
33,34,Marcus Mariota(LV),0,1,0.0,0,0.0,0,0,0,3,16,0,0,1,1.6,1.6,0.2%
34,35,Cam Newton(CAR),0,0,0,0,0,0,0,0,1,5,0,0,1,0.5,0.5,20.3%
35,36,Kellen Mond(MIN),2,3,66.7,5,1.7,0,0,0,0,0,0,0,1,0.2,0.2,0.2%
36,37,Kyle Trask(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
37,38,Jalen Morton(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
38,39,Justin Fields(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0%
39,40,Reid Sinnett(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
40,41,Ben DiNucci(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
41,42,Sam Ehlinger(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
42,43,Ian Book(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
43,44,Feleipe Franks(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
44,45,Steven Montez(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
45,46,Will Grier(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
46,47,John Wolford(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
47,48,Dwayne Haskins(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
48,49,Daniel Jones(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6%
49,50,Brett Rypien(DEN),0,2,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
50,51,Easton Stick(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
51,52,Trace McSorley(ARI),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.3%
52,53,Alex McGough(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
53,54,Mike White(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
54,55,Danny Etling(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
55,56,Kurt Benkert(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
56,57,Kyle Allen(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
57,58,Eric Dungey(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
58,59,Jake Luton(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
