,Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
34,Drew LockDEN,1.4,1.0,10.5,0.1,0.0,0.3,1.2,0.0,0.0,0.9
35,Geno SmithSEA,1.2,0.8,14.6,0.1,0.0,0.2,0.7,0.0,0.0,0.9
36,Feleipe FranksATL,1.0,0.7,12.8,0.1,0.1,0.2,1.1,0.0,0.0,0.9
37,Cooper RushDAL,1.5,0.9,13.0,0.1,0.0,0.2,0.3,0.0,0.0,0.9
38,Case KeenumCLE,1.2,0.8,9.5,0.1,0.0,0.1,0.7,0.0,0.0,0.9
39,Jordan LoveGB,1.4,0.9,12.7,0.1,0.0,0.3,0.6,0.0,0.0,0.8
40,Josh RosenATL,1.6,1.0,11.3,0.1,0.1,0.2,0.9,0.0,0.0,0.8
41,Chad HenneKC,1.6,1.0,11.7,0.1,0.0,0.2,0.6,0.0,0.0,0.8
42,Marcus MariotaLV,0.8,0.5,9.4,0.1,0.0,0.5,1.8,0.0,0.0,0.8
43,Tua TagovailoaMIA,1.8,1.2,10.4,0.1,0.1,0.2,0.5,0.0,0.0,0.8
44,Tyler HuntleyBAL,1.3,0.8,13.0,0.0,0.0,0.3,1.2,0.0,0.0,0.7
45,Brian HoyerNE,1.3,0.8,9.5,0.1,0.1,0.3,0.2,0.0,0.0,0.7
46,Kyle AllenWAS,1.4,0.9,8.7,0.1,0.1,0.1,0.4,0.0,0.0,0.7
47,C.J. BeathardJAC,1.6,0.9,11.4,0.1,0.0,0.2,0.5,0.0,0.1,0.7
48,John WolfordLAR,1.4,0.8,11.0,0.0,0.0,0.3,0.5,0.0,0.0,0.6
49,David BloughDET,1.5,0.9,10.6,0.0,0.0,0.2,0.9,0.0,0.0,0.5
50,Josh JohnsonBAL,1.4,0.8,8.5,0.0,0.1,0.2,0.9,0.0,0.0,0.3
51,Logan WoodsideTEN,0.7,0.4,5.0,0.0,0.0,0.3,0.2,0.0,0.0,0.2
52,Sean MannionMIN,0.6,0.3,3.7,0.0,0.0,0.1,0.1,0.0,0.0,0.2
