rank,player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
19,Devin Singletary,188,870,4.6,46,0,7,40,50,228,5.7,1,0,17,157.8,9.3,89.1,BUF,RB,2021
20,David Montgomery,225,849,3.8,41,0,7,42,51,301,7.2,0,1,14,154.0,11.0,98.7,CHI,RB,2021
21,AJ Dillon,187,803,4.3,36,0,5,34,37,313,9.2,2,1,17,151.6,8.9,87.4,GB,RB,2021
22,Darrel Williams,144,558,3.9,21,0,6,47,57,452,9.6,2,0,17,149.0,8.8,79.6,KC,RB,2021
23,D'Andre Swift,151,617,4.1,57,0,5,62,78,452,7.3,2,1,13,146.9,11.3,97.2,DET,RB,2021
24,Elijah Mitchell,207,963,4.7,39,0,5,19,20,137,7.2,1,0,12,146.0,12.2,88.5,SF,RB,2021
25,James Robinson,164,767,4.7,58,0,8,31,46,222,7.2,0,2,14,142.9,10.2,76.3,JAC,RB,2021
26,Darrell Henderson Jr.,149,688,4.6,29,0,5,29,40,176,6.1,3,0,12,134.4,11.2,76.0,LAR,RB,2021
27,Sony Michel,208,845,4.1,39,0,4,21,33,128,6.1,1,1,17,125.3,7.4,89.4,LAR,RB,2021
28,Myles Gaskin,173,612,3.5,30,0,3,49,63,234,4.8,4,1,17,124.6,7.3,83.2,MIA,RB,2021
29,Tony Pollard,130,719,5.5,58,0,2,39,46,337,8.6,0,0,15,123.6,8.2,75.3,DAL,RB,2021
30,Michael Carter,147,639,4.3,55,0,4,36,55,325,9.0,0,1,14,118.4,8.5,79.1,NYJ,RB,2021
31,Rashaad Penny,119,749,6.3,62,0,6,6,8,48,8.0,0,0,10,115.7,11.6,78.9,SEA,RB,2021
32,Devonta Freeman,133,576,4.3,32,0,5,34,42,190,5.6,1,0,16,112.6,7.0,74.2,BAL,RB,2021
33,Chuba Hubbard,172,612,3.6,26,0,5,25,37,174,7.0,1,1,16,112.6,7.0,58.1,CAR,RB,2021
34,Saquon Barkley,162,593,3.7,41,0,2,41,57,263,6.4,2,1,14,107.6,7.7,97.6,NYG,RB,2021
35,Devontae Booker,145,593,4.1,31,0,2,40,45,268,6.7,1,0,16,104.1,6.5,23.3,NYG,RB,2021
36,Rhamondre Stevenson,133,606,4.6,21,0,5,14,18,123,8.8,0,1,12,100.9,8.4,50.4,NE,RB,2021
37,Chase Edmonds,116,592,5.1,54,0,2,43,53,311,7.2,0,1,12,100.3,8.4,85.1,ARI,RB,2021
38,Clyde Edwards-Helaire,119,517,4.3,17,0,4,19,23,118,6.2,2,2,10,97.5,9.8,86.8,KC,RB,2021
39,Mike Davis,138,503,3.6,18,0,3,44,58,259,5.9,1,3,17,94.2,5.5,49.7,ATL,RB,2021
40,Alexander Mattison,134,491,3.7,48,0,3,32,39,228,7.1,1,1,16,93.9,5.9,75.0,MIN,RB,2021
41,Jamaal Williams,153,601,3.9,20,0,3,26,28,157,6.0,0,0,13,93.8,7.2,58.2,DET,RB,2021
42,Latavius Murray,119,501,4.2,46,0,6,10,13,75,7.5,0,0,14,93.6,6.7,22.2,BAL,RB,2021
43,Miles Sanders,137,754,5.5,38,0,0,26,34,158,6.1,0,1,12,91.2,7.6,77.0,PHI,RB,2021
44,Christian McCaffrey,99,442,4.5,18,0,1,37,41,343,9.3,1,0,7,90.5,12.9,47.2,CAR,RB,2021
45,Kenneth Gainwell,68,291,4.3,18,0,5,33,50,253,7.7,1,1,16,90.4,5.7,12.8,PHI,RB,2021
46,Kareem Hunt,78,386,4.9,33,0,5,22,27,174,7.9,0,0,8,88.0,11.0,82.1,CLE,RB,2021
47,Boston Scott,87,373,4.3,23,0,7,13,16,83,6.4,0,1,11,85.6,7.8,27.7,PHI,RB,2021
48,D'Ernest Johnson,100,534,5.3,30,0,3,19,25,137,7.2,0,0,13,85.1,6.5,18.7,CLE,RB,2021
49,J.D. McKissic,48,212,4.4,15,0,2,43,53,397,9.2,2,0,11,84.9,7.7,32.9,WAS,RB,2021
50,D'Onta Foreman,133,566,4.3,35,0,3,9,11,123,13.7,0,1,9,84.9,9.4,66.5,TEN,RB,2021
51,Brandon Bolden,44,226,5.1,24,0,1,41,49,405,9.9,2,0,16,83.1,5.2,10.7,NE,RB,2021
52,Ty Johnson,61,238,3.9,24,0,2,34,55,372,10.9,2,1,15,83.0,5.5,15.8,NYJ,RB,2021
53,Zack Moss,96,345,3.6,17,0,4,23,32,197,8.6,1,1,13,82.2,6.3,36.8,BUF,RB,2021
54,Mark Ingram II,160,554,3.5,28,0,2,27,35,162,6.0,0,1,14,81.6,5.8,39.1,NO,RB,2021
55,Rex Burkhead,122,427,3.5,36,0,3,25,32,186,7.4,0,0,15,79.3,5.3,31.5,HOU,RB,2021
56,Nyheim Hines,56,276,4.9,34,0,2,40,57,310,7.8,1,2,17,72.6,4.3,44.8,IND,RB,2021
57,Kenyan Drake,63,254,4.0,21,0,2,30,40,291,9.7,1,0,12,72.5,6.0,29.4,LV,RB,2021
58,Ronald Jones II,101,428,4.2,30,0,4,10,13,64,6.4,0,2,15,69.2,4.6,83.5,TB,RB,2021
59,Khalil Herbert,103,433,4.2,29,0,2,14,16,96,6.9,0,0,16,64.9,4.1,13.4,CHI,RB,2021
60,Justin Jackson,68,364,5.4,75,0,2,22,25,178,8.1,0,1,14,64.2,4.6,42.5,LAC,RB,2021
61,Jordan Howard,86,406,4.7,25,0,3,2,5,19,9.5,0,0,7,60.5,8.6,18.7,PHI,RB,2021
62,Alex Collins,108,411,3.8,25,0,2,9,10,87,9.7,0,1,11,59.8,5.4,18.8,SEA,RB,2021
63,Samaje Perine,55,246,4.5,46,0,1,27,31,196,7.3,1,0,15,56.2,3.7,15.2,CIN,RB,2021
64,Duke Johnson Jr.,71,330,4.6,27,0,3,4,5,41,10.3,0,0,5,55.1,11.0,7.4,MIA,RB,2021
65,Dontrell Hilliard,56,350,6.3,68,0,2,19,26,87,4.6,0,1,8,53.7,6.7,27.5,TEN,RB,2021
66,Ameer Abdullah,51,166,3.3,15,0,0,38,53,289,7.6,1,0,17,51.5,3.0,10.4,CAR,RB,2021
67,David Johnson,67,228,3.4,15,0,0,32,42,225,7.0,1,1,13,49.3,3.8,35.4,HOU,RB,2021
68,Derrick Gore,51,256,5.0,51,0,2,8,9,105,13.1,0,0,8,48.1,6.0,4.0,KC,RB,2021
69,Jaret Patterson,68,266,3.9,13,0,2,10,12,73,7.3,0,0,14,45.9,3.3,23.7,WAS,RB,2021
70,Travis Homer,21,177,8.4,73,0,1,16,20,161,10.1,0,0,14,45.8,3.3,0.3,SEA,RB,2021
71,Jeremy McNichols,41,156,3.8,14,0,0,28,38,240,8.6,1,0,13,45.6,3.5,7.6,TEN,RB,2021
72,Damien Williams,40,164,4.1,23,0,2,16,23,103,6.4,1,0,12,44.7,3.7,4.4,CHI,RB,2021
73,Jeff Wilson Jr.,79,294,3.7,17,0,2,7,8,31,4.4,0,0,9,44.5,4.9,56.1,SF,RB,2021
74,Kyle Juszczyk,8,22,2.8,6,0,1,30,38,296,9.9,1,0,15,43.8,2.9,1.0,SF,RB,2021
75,Chris Carson,54,232,4.3,33,0,3,6,6,29,4.8,0,1,4,42.1,10.5,31.7,SEA,RB,2021
76,Phillip Lindsay,88,249,2.8,35,0,1,4,5,45,11.3,1,0,14,41.4,3.0,9.0,MIA,RB,2021
77,Tevin Coleman,84,356,4.2,20,0,0,11,16,49,4.5,0,0,11,40.5,3.7,18.5,NYJ,RB,2021
78,Peyton Barber,55,212,3.9,27,0,2,10,13,67,6.7,0,0,10,39.9,4.0,1.2,LV,RB,2021
79,DeeJay Dallas,33,138,4.2,15,0,2,21,23,133,6.3,0,0,17,39.1,2.3,2.3,SEA,RB,2021
80,Dare Ogunbowale,43,137,3.2,12,0,1,13,21,114,8.8,1,0,13,37.1,2.9,31.1,JAC,RB,2021
81,Giovani Bernard,8,58,7.3,24,0,0,23,29,123,5.3,3,0,10,36.1,3.6,5.4,TB,RB,2021
82,Matt Breida,26,125,4.8,28,0,1,7,9,72,10.3,2,1,7,35.7,5.1,8.2,BUF,RB,2021
83,Chris Evans,17,77,4.5,13,0,0,15,17,151,10.1,2,0,9,34.8,3.9,0.5,CIN,RB,2021
84,Carlos Hyde,72,253,3.5,18,0,1,12,22,65,5.4,0,2,12,33.8,2.8,6.9,JAC,RB,2021
85,Le'Veon Bell,39,101,2.6,12,0,2,5,7,30,6.0,1,0,8,33.1,4.1,5.4,TB,RB,2021
86,Ty'Son Williams,35,185,5.3,35,0,1,9,12,84,9.3,0,0,8,32.9,4.1,5.2,BAL,RB,2021
87,Ke'Shawn Vaughn,36,180,5.0,55,0,2,4,8,26,6.5,0,0,6,32.6,5.4,7.8,TB,RB,2021
88,Demetric Felton,7,24,3.4,12,0,0,18,21,181,10.1,2,0,15,32.5,2.2,0.7,CLE,RB,2021
89,Craig Reynolds,55,230,4.2,35,0,0,7,8,52,7.4,0,0,5,28.2,5.6,12.7,DET,RB,2021
90,Elijhaa Penny,24,99,4.1,12,0,1,9,13,30,3.3,1,0,13,26.9,2.1,0.1,NYG,RB,2021
91,Salvon Ahmed,54,149,2.8,16,0,0,12,19,117,9.8,0,0,11,26.6,2.4,1.6,MIA,RB,2021
92,JaMycal Hasty,16,68,4.3,21,0,1,23,29,157,6.8,0,1,11,26.5,2.4,4.2,SF,RB,2021
93,Trey Sermon,41,167,4.1,16,0,1,3,4,26,8.7,0,0,6,25.3,4.2,13.9,SF,RB,2021
94,Royce Freeman,56,169,3.0,13,0,0,10,16,77,7.7,0,0,12,24.6,2.1,5.2,HOU,RB,2021
95,Corey Clement,33,140,4.2,38,0,0,6,7,29,4.8,1,0,11,22.9,2.1,0.8,DAL,RB,2021
96,Jerick McKinnon,12,62,5.2,18,0,0,13,20,107,8.2,1,0,9,22.9,2.5,0.8,KC,RB,2021
97,Adrian Peterson,38,98,2.6,16,0,2,4,4,8,2.0,0,0,4,22.6,5.7,4.9,SEA,RB,2021
98,Eno Benjamin,34,118,3.5,21,0,1,6,7,42,7.0,0,0,8,22.0,2.8,1.2,ARI,RB,2021
99,Jermar Jefferson,15,74,4.9,28,0,2,4,5,23,5.8,0,0,5,21.7,4.3,6.7,DET,RB,2021
100,Malcolm Brown,33,125,3.8,24,0,1,3,5,10,3.3,0,0,6,19.5,3.3,3.6,MIA,RB,2021
101,James White,10,38,3.8,10,0,1,12,14,94,7.8,0,0,3,19.2,6.4,7.9,NE,RB,2021
102,Kene Nwangwu,13,61,4.7,19,0,0,4,5,9,2.3,0,0,9,19.0,2.1,1.0,MIN,RB,2021
103,Tony Jones Jr.,54,142,2.6,11,0,0,5,8,29,5.8,0,0,10,17.1,1.7,2.9,NO,RB,2021
104,Austin Walter,26,101,3.9,14,0,1,2,3,9,4.5,0,0,4,17.0,4.3,1.4,NYJ,RB,2021
105,Jonathan Williams,17,79,4.6,23,0,1,4,6,28,7.0,0,0,5,16.7,3.3,0.6,WAS,RB,2021
106,C.J. Ham,7,34,4.9,30,0,0,17,18,125,7.4,0,0,15,15.9,1.1,0.1,MIN,RB,2021
107,Qadree Ollison,21,105,5.0,19,0,1,4,6,12,3.0,0,1,6,15.7,2.6,0.3,ATL,RB,2021
108,Patrick Taylor Jr.,23,89,3.9,12,0,1,2,2,3,1.5,0,0,5,15.2,3.0,0.3,GB,RB,2021
109,Alec Ingold,2,1,0.5,1,0,0,10,12,85,8.5,1,0,7,14.6,2.1,0.1,LV,RB,2021
110,Larry Rountree III,36,87,2.4,13,0,1,1,2,-1,-1.0,0,0,10,14.6,1.5,0.7,LAC,RB,2021
111,J.J. Taylor,19,37,1.9,15,0,2,4,4,8,2.0,0,1,5,14.5,2.9,0.7,NE,RB,2021
112,Godwin Igwebuike,18,118,6.6,42,0,1,7,10,60,8.6,0,2,15,14.0,0.9,3.4,DET,RB,2021
113,Ty Montgomery,15,44,2.9,9,0,0,16,26,95,5.9,0,0,14,13.9,1.0,0.6,NO,RB,2021
114,Patrick Ricard,2,4,2.0,2,0,0,8,13,63,7.9,1,0,8,12.7,1.6,0.1,BAL,RB,2021
115,Wayne Gallman Jr.,28,104,3.7,17,0,0,1,3,21,21.0,0,0,9,12.5,1.4,1.0,MIN,RB,2021
116,Joshua Kelley,33,102,3.1,14,0,0,5,6,38,7.6,0,1,8,12.0,1.5,1.1,LAC,RB,2021
117,Michael Burton,8,26,3.3,7,0,1,3,3,31,10.3,0,0,10,11.7,1.2,0.1,KC,RB,2021
118,Jalen Richard,9,40,4.4,23,0,0,12,14,72,6.0,0,0,9,11.2,1.2,0.7,LV,RB,2021
119,Benny Snell Jr.,36,98,2.7,9,0,0,2,4,13,6.5,0,0,16,11.1,0.7,0.9,PIT,RB,2021
120,Marlon Mack,28,101,3.6,22,0,0,2,5,8,4.0,0,0,6,10.9,1.8,1.6,IND,RB,2021
121,Ryquell Armstead,15,80,5.3,26,0,0,3,4,16,5.3,0,0,2,9.6,4.8,0.0,JAC,RB,2021
122,Deon Jackson,13,31,2.4,10,0,1,0,0,0,0.0,0,0,5,9.1,1.8,0.0,IND,RB,2021
123,JaQuan Hardy,4,29,7.3,22,0,1,0,0,0,0.0,0,0,2,8.9,4.5,0.0,DAL,RB,2021
124,Andy Janovich,2,0,0.0,1,0,1,3,4,9,3.0,0,0,6,8.9,1.5,0.1,CLE,RB,2021
125,Keith Smith,9,31,3.4,8,0,0,9,10,56,6.2,0,0,13,8.7,0.7,0.0,ATL,RB,2021
126,Alex Armah Jr.,5,21,4.2,9,0,0,1,1,1,1.0,1,0,10,8.2,0.8,0.0,WAS,RB,2021
127,Johnny Stanton,3,5,1.7,3,0,0,2,2,7,3.5,1,0,3,7.2,2.4,0.0,CLE,RB,2021
128,Jonathan Ward,9,33,3.7,7,0,0,3,4,34,11.3,0,0,9,6.7,0.7,0.1,ARI,RB,2021
129,Ito Smith,1,4,4.0,4,0,1,0,0,0,0.0,0,0,1,6.4,6.4,0.0,DAL,RB,2021
130,Mike Boone,4,35,8.8,16,0,0,2,2,22,11.0,0,0,3,5.7,1.9,1.5,DEN,RB,2021
131,Trayveon Williams,15,51,3.4,10,0,0,1,2,4,4.0,0,0,4,5.5,1.4,0.1,CIN,RB,2021
132,Jason Huntley,13,51,3.9,18,0,0,0,1,0,0.0,0,0,1,5.1,5.1,0.2,PHI,RB,2021
133,Rodney Smith,0,0,0.0,0,0,0,5,5,48,9.6,0,0,1,4.8,4.8,0.1,DET,RB,2021
134,Wendell Smallwood,5,25,5.0,13,0,0,4,5,22,5.5,0,0,2,4.7,2.4,0.0,WAS,RB,2021
135,Kalen Ballage,12,36,3.0,13,0,0,2,7,8,4.0,0,0,9,4.4,0.5,0.1,PIT,RB,2021
136,Jakob Johnson,0,0,0.0,0,0,0,4,5,43,10.8,0,0,7,4.3,0.6,0.0,NE,RB,2021
137,La'Mical Perine,8,31,3.9,14,0,0,0,0,0,0.0,0,0,2,3.1,1.6,0.2,NYJ,RB,2021
138,Kylin Hill,10,24,2.4,8,0,0,1,2,5,5.0,0,0,8,2.9,0.4,0.2,GB,RB,2021
139,Dwayne Washington,4,16,4.0,5,0,0,2,2,12,6.0,0,0,8,2.8,0.4,0.1,NO,RB,2021
140,Reggie Gilliam,3,3,1.0,2,0,0,3,5,23,7.7,0,0,8,2.6,0.3,0.0,BUF,RB,2021
141,Gabe Nabers,3,8,2.7,4,0,0,3,3,17,5.7,0,0,7,2.5,0.4,0.0,LAC,RB,2021
142,Jaylen Samuels,5,9,1.8,3,0,0,3,4,14,4.7,0,0,3,2.3,0.8,0.1,ARI,RB,2021
143,Scottie Phillips,6,13,2.2,4,0,0,2,3,9,4.5,0,0,3,2.2,0.7,0.0,HOU,RB,2021
144,Patrick Laird,1,4,4.0,4,0,0,3,3,17,5.7,0,0,3,2.1,0.7,0.0,MIA,RB,2021
145,Adam Prentice,3,5,1.7,2,0,0,3,3,16,5.3,0,0,5,2.1,0.4,0.0,NO,RB,2021
146,Raheem Mostert,2,20,10.0,11,0,0,0,0,0,0.0,0,0,1,2.0,2.0,13.0,SF,RB,2021
147,Nick Bawden,0,0,0.0,0,0,0,1,1,20,20.0,0,0,1,2.0,2.0,0.0,NYJ,RB,2021
148,Darrynton Evans,2,7,3.5,5,0,0,2,2,11,5.5,0,0,2,1.8,0.9,0.9,TEN,RB,2021
149,Derek Watt,1,1,1.0,1,0,0,3,3,15,5.0,0,0,11,1.6,0.1,0.1,PIT,RB,2021
150,Reggie Bonnafon,1,4,4.0,4,0,0,2,2,12,6.0,0,0,1,1.6,1.6,0.0,WAS,RB,2021
151,Trey Ragas,1,9,9.0,9,0,0,2,2,6,3.0,0,0,1,1.5,1.5,0.0,LV,RB,2021
152,Anthony McFarland Jr.,3,3,1.0,3,0,0,1,1,11,11.0,0,0,3,1.4,0.5,0.2,PIT,RB,2021
153,John Kelly,2,13,6.5,11,0,0,0,0,0,0.0,0,0,1,1.3,1.3,0.0,CLE,RB,2021
154,Cam Akers,5,3,0.6,2,0,0,3,3,10,3.3,0,0,2,1.3,0.7,13.8,LAR,RB,2021
155,Jacques Patrick,2,12,6.0,8,0,0,0,0,0,0.0,0,0,1,1.2,1.2,0.0,BAL,RB,2021
156,Mekhi Sargent,5,11,2.2,3,0,0,0,1,0,0.0,0,0,5,1.1,0.2,0.5,JAC,RB,2021
157,Buddy Howell,5,11,2.2,4,0,0,0,0,0,0.0,0,0,5,1.1,0.2,0.0,LAR,RB,2021
158,Gary Brightwell,1,4,4.0,4,0,0,1,1,6,6.0,0,0,7,1.0,0.1,0.0,NYG,RB,2021
159,Ryan Nall,1,4,4.0,4,0,0,1,1,4,4.0,0,0,5,0.8,0.2,0.0,CHI,RB,2021
160,Damarea Crockett,3,7,2.3,6,0,0,0,0,0,0.0,0,0,1,0.7,0.7,0.0,DEN,RB,2021
161,Jake Funk,2,5,2.5,6,0,0,0,0,0,0.0,0,0,5,0.5,0.1,0.2,LAR,RB,2021
162,Devine Ozigbo,1,-3,-3.0,0,0,0,1,1,7,7.0,0,0,2,0.4,0.2,0.0,NE,RB,2021
163,Nathan Cottrell,1,3,3.0,3,0,0,0,0,0,0.0,0,0,3,0.3,0.1,0.0,JAC,RB,2021
164,Pete Guerriero,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,PIT,RB,2021
165,Sewo Olonilua,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,DAL,RB,2021
166,Raymond Calais,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,LAR,RB,2021
167,Rico Dowdle,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,DAL,RB,2021
168,Antonio Williams,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,NYG,RB,2021
169,Sandro Platzgummer,0,0,0.0,0,0,0,0,0,0,0.0,0,0,3,0.0,0.0,0.0,NYG,RB,2021
170,Pooka Williams Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,CIN,RB,2021
171,Giovanni Ricci,0,0,0.0,0,0,0,0,2,0,0.0,0,0,9,0.0,0.0,0.0,CAR,RB,2021
172,Jake Bargas,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,MIN,RB,2021
173,Josh Hokit,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,SF,RB,2021
174,Dalyn Dawkins,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1,DET,RB,2021
175,Justice Hill,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1,BAL,RB,2021
176,Elijah Holyfield,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,CIN,RB,2021
177,Jason Cabinda,3,23,7.7,21,0,0,4,7,16,4.0,1,0,10,0.0,0.0,0.0,DET,RB,2021
178,Jordan Wilkins,0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.0,TEN,RB,2021
179,Gus Edwards,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,9.6,BAL,RB,2021
180,Travis Etienne Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,7.8,JAC,RB,2021
181,J.K. Dobbins,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,10.3,BAL,RB,2021
182,LeVante Bellamy,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,DEN,RB,2021
183,Caleb Huntley,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,ATL,RB,2021
184,Michael Warren II,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,DET,RB,2021
185,Javon Leake,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,DET,RB,2021
186,Tavien Feaster,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,ARI,RB,2021
187,Darius Anderson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,HOU,RB,2021
188,Darius Bradwell,0,0,0.0,0,0,0,0,1,0,0.0,0,0,2,0.0,0.0,0.0,CAR,RB,2021
189,Adrian Killins Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,DEN,RB,2021
190,Artavis Pierce,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,CLE,RB,2021
191,Dexter Williams,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,CLE,RB,2021
192,Aca'Cedric Ware,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,TB,RB,2021
193,Trevon Wesco,0,0,0.0,0,0,0,3,5,35,11.7,0,0,8,0.0,0.0,0.0,NYJ,RB,2021
194,Mike Weber,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,NYG,RB,2021
195,Darwin Thompson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.0,SEA,RB,2021
196,Sutton Smith,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,LV,RB,2021
197,Cullen Gillaspia,0,0,0.0,0,0,0,0,0,0,0.0,0,0,4,0.0,0.0,0.0,NYG,RB,2021
198,Andrew Beck,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,DEN,RB,2021
199,John Lovett,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,MIA,RB,2021
200,Javian Hawkins,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1,TEN,RB,2021
201,A.J. Rose Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,MIN,RB,2021
202,Josh Johnson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,SEA,RB,2021
203,Tre Harbison III,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,CLE,RB,2021
204,B.J. Emmons,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,JAC,RB,2021
205,Nick Ralston,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,DAL,RB,2021
206,Tory Carter,0,0,0.0,0,0,0,0,1,0,0.0,0,0,5,0.0,0.0,0.0,TEN,RB,2021
207,Gerrid Doaks,0,0,0.0,0,0,0,0,0,0,0.0,0,0,4,0.0,0.0,0.0,MIA,RB,2021
208,Mason Stokke,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,CAR,RB,2021
209,Spencer Brown,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,CAR,RB,2021
210,Bo Scarbrough,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,LV,RB,2021
211,Taiwan Jones,0,0,0.0,0,0,0,0,0,0,0.0,0,0,7,0.0,0.0,0.0,BUF,RB,2021
212,Isaac Odim,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,LAC,RB,2021
213,Chad Spann,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,HOU,RB,2021
214,Jay Finley,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,CIN,RB,2021
215,Shane Bannon,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,KC,RB,2021
216,Andre Anderson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,BUF,RB,2021
217,Garrett Mills,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,NE,RB,2021
218,Nick Bellore,0,0,0.0,0,0,0,1,1,4,4.0,0,0,10,0.0,0.0,0.0,SEA,RB,2021
219,Jamize Olawale,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,DAL,RB,2021
