rank,player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
56.0,Justice Hill,7.0,27.0,3.9,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.7,2.7,0.1,BAL,RB,1,2019
57.0,Tony Pollard,13.0,24.0,1.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4,2.4,75.3,DAL,RB,1,2019
58.0,J.D. McKissic,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,24.0,12.0,0.0,0.0,1.0,2.4,2.4,32.9,DET,RB,1,2019
59.0,Frank Gore,11.0,20.0,1.8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,12.2,BUF,RB,1,2019
60.0,Rashaad Penny,6.0,18.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,1.8,78.9,SEA,RB,1,2019
61.0,Nyheim Hines,4.0,13.0,3.3,6.0,0.0,0.0,4.0,4.0,4.0,1.0,0.0,0.0,1.0,1.7,1.7,44.8,IND,RB,1,2019
62.0,Joe Mixon,6.0,10.0,1.7,6.0,0.0,0.0,2.0,3.0,7.0,3.5,0.0,0.0,1.0,1.7,1.7,98.1,CIN,RB,1,2019
63.0,Anthony Sherman,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,15.0,0.0,0.0,1.0,1.5,1.5,0.0,KC,RB,1,2019
64.0,Jamaal Williams,5.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,15.0,7.5,0.0,0.0,1.0,1.5,1.5,58.2,GB,RB,1,2019
65.0,Sony Michel,15.0,14.0,0.9,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,1.4,89.4,NE,RB,1,2019
66.0,Dion Lewis,3.0,7.0,2.3,6.0,0.0,0.0,3.0,4.0,6.0,2.0,0.0,0.0,1.0,1.3,1.3,2.0,TEN,RB,1,2019
67.0,Kalen Ballage,5.0,-1.0,-0.2,6.0,0.0,0.0,1.0,1.0,13.0,13.0,0.0,0.0,1.0,1.2,1.2,0.1,MIA,RB,1,2019
68.0,Devonta Freeman,8.0,19.0,2.4,5.0,0.0,0.0,3.0,4.0,12.0,4.0,0.0,1.0,1.0,1.1,1.1,74.2,ATL,RB,1,2019
69.0,Patrick DiMarco,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,4.5,0.0,0.0,1.0,0.9,0.9,0.0,BUF,RB,1,2019
