Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
109,Miles Austin(FA),13,31,224,17.2,39,4,1,0,0,0,0,11,28.4,2.6,0.0%
110,Phillip Dorsett II(HOU),18,39,225,12.5,35,4,1,3,17,0,1,11,28.2,2.6,0.0%
111,Nick Williams(FA),17,25,159,9.4,29,2,2,0,0,0,0,14,27.9,2.0,0.0%
112,Marc Mariani(FA),22,33,300,13.6,26,6,0,0,0,0,1,16,27.7,1.7,0.0%
113,Andrew Hawkins(FA),27,43,276,10.2,25,2,0,0,0,0,1,8,27.6,3.5,0.0%
114,Jeremy Kerley(FA),16,26,152,9.5,25,2,2,0,0,0,0,16,27.2,1.7,0.0%
115,Ty Montgomery(NO),15,19,136,9.1,31,1,2,3,14,0,0,6,27.0,4.5,0.6%
116,Greg Jennings(FA),19,36,208,10.9,31,3,1,0,0,0,0,16,26.8,1.7,0.0%
117,Chris Conley(HOU),17,31,199,11.7,44,2,1,0,0,0,0,16,25.9,1.6,0.4%
118,Brice Butler(FA),12,26,258,21.5,67,6,0,0,0,0,0,7,25.8,3.7,0.0%
119,Rashad Ross(FA),8,13,184,23.0,71,3,1,0,0,0,0,13,24.4,1.9,0.0%
120,Stedman Bailey(FA),12,25,182,15.2,68,3,1,0,0,0,0,8,24.2,3.0,0.0%
121,Taylor Gabriel(FA),28,48,241,8.6,56,2,0,0,0,0,1,13,24.1,1.9,0.1%
122,Adam Thielen(MIN),12,18,144,12.0,30,1,0,4,89,0,0,16,23.3,1.5,82.7%
123,Griff Whalen(FA),19,26,205,10.8,38,1,1,0,0,0,2,14,22.5,1.6,0.0%
124,Rashad Greene(FA),19,35,93,4.9,18,0,2,0,0,0,0,9,21.3,2.4,0.0%
125,Chris Matthews(FA),13,25,151,11.6,21,3,1,0,0,0,0,13,21.1,1.6,0.0%
126,Jordan Norwood(FA),22,32,207,9.4,34,1,0,0,0,0,0,11,20.7,1.9,0.0%
127,Jaron Brown(ARI),11,23,144,13.1,39,3,1,0,0,0,0,16,20.4,1.3,0.0%
128,Bennie Fowler III(SF),16,25,203,12.7,41,1,0,0,0,0,0,16,20.3,1.3,0.0%
129,Louis Murphy(FA),10,18,198,19.8,54,4,0,0,0,0,0,6,19.8,3.3,0.0%
130,Andre Caldwell(FA),10,22,72,7.2,24,1,2,1,3,0,0,14,19.5,1.4,0.0%
131,Justin Hardy(FA),21,36,194,9.2,23,2,0,0,0,0,0,9,19.4,2.2,0.0%
132,Donteea Dye(FA),11,30,132,12.0,44,1,1,0,0,0,0,10,19.2,1.9,0.0%
133,Javontee Herndon(FA),24,33,195,8.1,21,1,0,1,13,0,1,8,18.8,2.4,0.0%
134,TJ Jones(FA),10,18,132,13.2,29,3,1,1,-3,0,1,10,16.9,1.7,0.0%
135,Kenbrell Thompkins(FA),17,33,165,9.7,43,2,0,0,0,0,0,7,16.5,2.4,0.0%
136,Devin Smith(FA),9,28,115,12.8,22,1,1,0,0,0,1,10,15.5,1.6,0.0%
137,Devin Street(FA),7,13,114,16.3,25,1,1,0,0,0,1,15,15.4,1.0,0.0%
138,Tyrell Williams(FA),2,6,90,45.0,80,1,1,0,0,0,0,7,15.0,2.1,4.8%
139,Myles White(FA),7,20,88,12.6,28,2,1,0,0,0,0,12,14.8,1.2,0.0%
140,Marlon Moore(FA),7,10,81,11.6,20,1,1,0,0,0,0,14,14.1,1.0,0.0%
141,Aaron Dobson(FA),13,21,141,10.8,24,1,0,0,0,0,0,8,14.1,1.8,0.0%
142,Bruce Ellington(FA),13,19,153,11.8,44,3,0,1,7,0,1,13,14.0,1.1,0.0%
143,Andre Roberts(LAC),11,21,135,12.3,38,1,0,0,0,0,0,9,13.5,1.5,0.1%
144,Ricardo Lockette(FA),4,7,69,17.3,40,2,1,0,0,0,0,8,12.9,1.6,0.0%
145,Keith Mumphery(FA),14,32,129,9.2,26,1,0,0,0,0,0,16,12.9,0.8,0.0%
146,Charles Johnson(FA),9,13,127,14.1,35,3,0,0,0,0,0,11,12.7,1.2,0.0%
147,Cody Latimer(FA),6,11,59,9.8,15,0,1,2,1,0,0,14,12.0,0.9,0.0%
148,Cameron Meredith(FA),11,16,120,10.9,22,2,0,0,0,0,0,11,12.0,1.1,0.0%
149,Brandon Tate(FA),2,3,59,29.5,55,1,1,0,0,0,0,16,11.9,0.7,0.0%
150,Jason Avant(FA),15,24,119,7.9,20,1,0,0,0,0,0,16,11.9,0.7,0.0%
151,Marcus Easley(FA),1,3,58,58.0,58,1,1,0,0,0,0,13,11.8,0.9,0.0%
152,Darius Jennings(DET),14,21,117,8.4,16,0,0,0,0,0,0,4,11.7,2.9,0.0%
153,Jerome Simpson(FA),5,19,54,10.8,16,0,1,0,0,0,0,6,11.4,1.9,0.0%
154,Michael Campanaro(FA),5,6,35,7.0,11,0,0,2,17,1,0,4,11.2,2.8,0.0%
155,Marlon Brown(FA),14,30,112,8.0,22,2,0,0,0,0,0,10,11.2,1.1,0.0%
156,Jared Abbrederis(FA),9,16,111,12.3,32,1,0,0,0,0,0,10,11.1,1.1,0.0%
157,Lucky Whitehead(FA),6,8,16,2.7,8,0,0,10,107,0,1,15,10.3,0.7,0.0%
158,Brian Quick(FA),10,32,102,10.2,37,1,0,0,0,0,0,13,10.2,0.8,0.0%
159,Wes Welker(FA),13,22,102,7.8,14,0,0,0,0,0,0,8,10.2,1.3,0.0%
